ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName_NO3,USGSPCode_NO3,ResultMeasureValue_NO3,ResultMeasure_MeasureUnitCode_NO3,CharacteristicName_PO4,USGSPCode_PO4,ResultMeasureValue_PO4,ResultMeasure_MeasureUnitCode_PO4,MonitoringLocationName,HUCEightDigitCode,ResolvedMonitoringLocationTypeName,StateName,CountyName,lat,lon
1970-05-04,USGS-04295000,Nitrate,00618,0.136,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1970-05-05,USGS-04294402,Nitrate,00618,0.3,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1970-05-05,USGS-04294408,Nitrate,00618,0.2,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1970-05-05,USGS-04294410,Nitrate,00618,0.2,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1970-05-26,USGS-01316808,Nitrate,00618,0.316,mg/l as N,NA,NA,NA,NA,LOON LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.6617327,-73.8379054
1970-05-26,USGS-01316815,Nitrate,00618,0.068,mg/l as N,NA,NA,NA,NA,FRIENDS LAKE NEAR CHESTERTOWN NY,02020001,"Lake, Reservoir, Impoundment",New York,Warren County,43.636733,-73.839849
1970-06-02,USGS-04294408,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
1970-06-02,USGS-04294410,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR CROWN POINT NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.9236694,-73.4051209
1970-06-02,USGS-04295000,Nitrate,00618,0.09,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1970-06-03,USGS-04294402,Nitrate,00618,0.2,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1970-06-29,USGS-04295000,Nitrate,00618,0.294,mg/l as N,NA,NA,NA,NA,RICHELIEU R (LAKE CHAMPLAIN) AT ROUSES POINT NY,04150409,"Lake, Reservoir, Impoundment",New York,Clinton County,44.9962778,-73.3598056
1970-07-09,USGS-04294402,Nitrate,00618,0.5,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR WHITEHALL NY,04150401,"Lake, Reservoir, Impoundment",New York,Washington County,43.5820111,-73.4215021
1970-07-09,USGS-04294408,Nitrate,00618,0,mg/l as N,NA,NA,NA,NA,LAKE CHAMPLAIN NEAR TICONDEROGA NY,04150408,"Lake, Reservoir, Impoundment",New York,Essex County,43.8350602,-73.3873408
