ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName_Na,USGSPCode_Na,ResultMeasureValue_Na,ResultMeasure_MeasureUnitCode_Na,CharacteristicName_Cl,USGSPCode_Cl,ResultMeasureValue_Cl,ResultMeasure_MeasureUnitCode_Cl,MonitoringLocationName,HUCEightDigitCode,ResolvedMonitoringLocationTypeName,StateName,CountyName,lat,lon
1995-01-09,USGS-01208049,Sodium,00930,12,mg/l,Chloride,00940,18,mg/l,"NAUGATUCK RIVER NR WATERVILLE,CT.",01100005,Stream,Connecticut,New Haven County,41.6153749,-73.0578857
1995-01-09,USGS-01208500,Sodium,00930,18,mg/l,Chloride,00940,26,mg/l,"NAUGATUCK RIVER AT BEACON FALLS, CT",01100005,Stream,Connecticut,New Haven County,41.4423,-73.0622833
1995-01-10,USGS-01193050,Sodium,00930,10,mg/l,Chloride,00940,16,mg/l,"CONNECTICUT RIVER AT MIDDLE HADDAM, CT",01080205,Stream,Connecticut,Middlesex County,41.5417656,-72.5531454
1995-01-10,USGS-01193500,Sodium,00930,7.4,mg/l,Chloride,00940,12,mg/l,"SALMON RIVER NEAR EAST HAMPTON, CT",01080205,Stream,Connecticut,Middlesex County,41.5523212,-72.4492529
1995-01-12,USGS-01208950,Sodium,00930,12,mg/l,Chloride,00940,21,mg/l,"SASCO BROOK NEAR SOUTHPORT, CT",01100006,Stream,Connecticut,Fairfield County,41.1528744,-73.3059495
1995-01-12,USGS-01208960,Sodium,00930,15,mg/l,Chloride,00940,27,mg/l,"SASCO BROOK AT SOUTHPORT, CT",01100006,Stream,Connecticut,Fairfield County,41.13843,-73.2973379
1995-01-13,USGS-01188000,Sodium,00930,17,mg/l,Chloride,00940,27,mg/l,"BUNNELL BROOK NEAR BURLINGTON, CT",01080207,Stream,Connecticut,Hartford County,41.786209,-72.9648261
1995-01-13,USGS-01189030,Sodium,00930,27,mg/l,Chloride,00940,35,mg/l,"PEQUABUCK R AT FARMINGTON, CT",01080207,Stream,Connecticut,Hartford County,41.716766,-72.8398216
1995-01-17,USGS-01200600,Sodium,00930,12,mg/l,Chloride,00940,20,mg/l,"HOUSATONIC RIVER NEAR NEW MILFORD, CT",01100005,Stream,Connecticut,Litchfield County,41.5931499,-73.4495669
1995-01-18,USGS-01184000,Sodium,00930,7.8,mg/l,Chloride,00940,11,mg/l,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",01080205,Stream,Connecticut,Hartford County,41.9873186,-72.6053669
1995-01-18,USGS-01184490,Sodium,00930,13,mg/l,Chloride,00940,26,mg/l,"BROAD BROOK AT BROAD BROOK, CT",01080205,Stream,Connecticut,Hartford County,41.9138972,-72.5497
1995-01-18,USGS-01189000,Sodium,00930,21,mg/l,Chloride,00940,26,mg/l,"PEQUABUCK R AT FORESTVILLE, CT.",01080207,Stream,Connecticut,Hartford County,41.673154,-72.9006574
1995-01-18,USGS-01208873,Sodium,00930,25,mg/l,Chloride,00940,44,mg/l,"ROOSTER RIVER AT FAIRFIELD, CT",01100006,Stream,Connecticut,Fairfield County,41.1798189,-73.2190022
1995-01-19,USGS-01127000,Sodium,00930,9.6,mg/l,Chloride,00940,15,mg/l,"QUINEBAUG RIVER AT JEWETT CITY, CT",01100001,Stream,Connecticut,New London County,41.5974917,-71.9840944
1995-01-20,USGS-01188090,Sodium,00930,6.3,mg/l,Chloride,00940,11,mg/l,"FARMINGTON RIVER AT UNIONVILLE, CT",01080207,Stream,Connecticut,Hartford County,41.7555472,-72.8870417
1995-01-20,USGS-01189995,Sodium,00930,8.2,mg/l,Chloride,00940,13,mg/l,"FARMINGTON RIVER AT TARIFFVILLE, CT",01080207,Stream,Connecticut,Hartford County,41.9082833,-72.7593528
1995-01-25,USGS-01209710,Sodium,00930,17,mg/l,Chloride,00940,32,mg/l,"NORWALK RIVER AT WINNIPAUK,CT.",01100006,Stream,Connecticut,Fairfield County,41.1353743,-73.426231
1995-01-27,USGS-01122610,Sodium,00930,7,mg/l,Chloride,00940,11,mg/l,"SHETUCKET R AT SOUTH WINDHAM, CT",01100002,Stream,Connecticut,Windham County,41.6823208,-72.1659111
1995-01-27,USGS-01192500,Sodium,00930,23,mg/l,Chloride,00940,34,mg/l,"HOCKANUM RIVER NEAR EAST HARTFORD, CT",01080205,Stream,Connecticut,Hartford County,41.7831548,-72.5873114
1995-01-30,USGS-01201487,Sodium,00930,23,mg/l,Chloride,00940,38,mg/l,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT",01100005,Stream,Connecticut,Fairfield County,41.4658222,-73.4032028
1995-01-30,USGS-01203000,Sodium,00930,5.4,mg/l,Chloride,00940,8.9,mg/l,"SHEPAUG R NR ROXBURY, CT",01100005,Stream,Connecticut,Litchfield County,41.5498174,-73.3298403
1995-01-31,USGS-01205500,Sodium,00930,7.6,mg/l,Chloride,00940,12,mg/l,"HOUSATONIC RIVER AT STEVENSON, CT",01100005,Stream,Connecticut,New Haven County,41.3838028,-73.1666389
1995-02-07,USGS-01124000,Sodium,00930,13,mg/l,Chloride,00940,23,mg/l,"QUINEBAUG RIVER AT QUINEBAUG, CT",01100001,Stream,Connecticut,Windham County,42.0223189,-71.9556289
1995-02-07,USGS-01125100,Sodium,00930,19,mg/l,Chloride,00940,25,mg/l,"FRENCH RIVER AT NORTH GROSVENORDALE, CT",01100001,Stream,Connecticut,Windham County,41.9784639,-71.900513900000007
1995-02-07,USGS-01184490,Sodium,00930,12,mg/l,Chloride,00940,25,mg/l,"BROAD BROOK AT BROAD BROOK, CT",01080205,Stream,Connecticut,Hartford County,41.9138972,-72.5497
1995-02-07,USGS-01189000,Sodium,00930,19,mg/l,Chloride,00940,25,mg/l,"PEQUABUCK R AT FORESTVILLE, CT.",01080207,Stream,Connecticut,Hartford County,41.673154,-72.9006574
1995-02-08,USGS-01196500,Sodium,00930,24,mg/l,Chloride,00940,43,mg/l,"QUINNIPIAC RIVER AT WALLINGFORD, CT",01100004,Stream,Connecticut,New Haven County,41.4502639,-72.841275
1995-02-08,USGS-01200600,Sodium,00930,10,mg/l,Chloride,00940,16,mg/l,"HOUSATONIC RIVER NEAR NEW MILFORD, CT",01100005,Stream,Connecticut,Litchfield County,41.5931499,-73.4495669
1995-02-08,USGS-01208873,Sodium,00930,37,mg/l,Chloride,00940,64,mg/l,"ROOSTER RIVER AT FAIRFIELD, CT",01100006,Stream,Connecticut,Fairfield County,41.1798189,-73.2190022
1995-02-09,USGS-01119375,Sodium,00930,8.8,mg/l,Chloride,00940,13,mg/l,"WILLIMANTIC R AT MERROW, CT",01100002,Stream,Connecticut,Tolland County,41.8353757,-72.3100804
1995-02-09,USGS-01196222,Sodium,00930,20,mg/l,Chloride,00940,35,mg/l,"QUINNIPIAC R NR MERIDEN, CT",01100004,Stream,Connecticut,New Haven County,41.5292642,-72.8634344
1995-02-13,USGS-01208990,Sodium,00930,11,mg/l,Chloride,00940,22.5,mg/l,"SAUGATUCK RIVER NEAR REDDING, CT",01100006,Stream,Connecticut,Fairfield County,41.29454,-73.3951203
1995-02-13,USGS-01209710,Sodium,00930,20,mg/l,Chloride,00940,40,mg/l,"NORWALK RIVER AT WINNIPAUK,CT.",01100006,Stream,Connecticut,Fairfield County,41.1353743,-73.426231
1995-02-16,USGS-01208950,Sodium,00930,16,mg/l,Chloride,00940,28,mg/l,"SASCO BROOK NEAR SOUTHPORT, CT",01100006,Stream,Connecticut,Fairfield County,41.1528744,-73.3059495
1995-02-16,USGS-01208960,Sodium,00930,17,mg/l,Chloride,00940,32,mg/l,"SASCO BROOK AT SOUTHPORT, CT",01100006,Stream,Connecticut,Fairfield County,41.13843,-73.2973379
1995-02-17,USGS-01184000,Sodium,00930,7.8,mg/l,Chloride,00940,13,mg/l,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",01080205,Stream,Connecticut,Hartford County,41.9873186,-72.6053669
1995-02-27,USGS-01192500,Sodium,00930,20,mg/l,Chloride,00940,31,mg/l,"HOCKANUM RIVER NEAR EAST HARTFORD, CT",01080205,Stream,Connecticut,Hartford County,41.7831548,-72.5873114
1995-03-06,USGS-01192704,Sodium,00930,16,mg/l,Chloride,00940,27,mg/l,MATTABESSET RIVER AT ROUTE 372 AT EAST BERLIN,01080205,Stream,Connecticut,Hartford County,41.6081545,-72.7150953
1995-03-07,USGS-01208049,Sodium,00930,14,mg/l,Chloride,00940,21,mg/l,"NAUGATUCK RIVER NR WATERVILLE,CT.",01100005,Stream,Connecticut,New Haven County,41.6153749,-73.0578857
1995-03-07,USGS-01208500,Sodium,00930,25,mg/l,Chloride,00940,38,mg/l,"NAUGATUCK RIVER AT BEACON FALLS, CT",01100005,Stream,Connecticut,New Haven County,41.4423,-73.0622833
1995-03-08,USGS-01120800,Sodium,00930,5.1,mg/l,Chloride,00940,8.6,mg/l,NATCHAUG R AT CHAPLIN CT,01100002,Stream,Connecticut,Windham County,41.8009316,-72.118132
1995-03-08,USGS-01125520,Sodium,00930,15,mg/l,Chloride,00940,34,mg/l,QUINEBAUG RIVER AT COTTON BRIDGE ROAD NR POMFRET,01100001,Stream,Connecticut,Windham County,41.8584315,-71.9239617
1995-03-08,USGS-01208873,Sodium,00930,23,mg/l,Chloride,00940,43,mg/l,"ROOSTER RIVER AT FAIRFIELD, CT",01100006,Stream,Connecticut,Fairfield County,41.1798189,-73.2190022
1995-03-09,USGS-01188090,Sodium,00930,5.8,mg/l,Chloride,00940,8.9,mg/l,"FARMINGTON RIVER AT UNIONVILLE, CT",01080207,Stream,Connecticut,Hartford County,41.7555472,-72.8870417
1995-03-09,USGS-01189030,Sodium,00930,9.6,mg/l,Chloride,00940,14,mg/l,"PEQUABUCK R AT FARMINGTON, CT",01080207,Stream,Connecticut,Hartford County,41.716766,-72.8398216
1995-03-10,USGS-01122610,Sodium,00930,5.9,mg/l,Chloride,00940,9.1,mg/l,"SHETUCKET R AT SOUTH WINDHAM, CT",01100002,Stream,Connecticut,Windham County,41.6823208,-72.1659111
1995-03-10,USGS-01127000,Sodium,00930,9.9,mg/l,Chloride,00940,14,mg/l,"QUINEBAUG RIVER AT JEWETT CITY, CT",01100001,Stream,Connecticut,New London County,41.5974917,-71.9840944
1995-03-13,USGS-01200600,Sodium,00930,8.9,mg/l,Chloride,00940,13,mg/l,"HOUSATONIC RIVER NEAR NEW MILFORD, CT",01100005,Stream,Connecticut,Litchfield County,41.5931499,-73.4495669
1995-03-13,USGS-01203000,Sodium,00930,5.6,mg/l,Chloride,00940,8.75,mg/l,"SHEPAUG R NR ROXBURY, CT",01100005,Stream,Connecticut,Litchfield County,41.5498174,-73.3298403
1995-03-14,USGS-01192500,Sodium,00930,21,mg/l,Chloride,00940,31,mg/l,"HOCKANUM RIVER NEAR EAST HARTFORD, CT",01080205,Stream,Connecticut,Hartford County,41.7831548,-72.5873114
