time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-20T15:32:42.251Z,10.5091,-86.2461,10,4.6,mb,,196,0.942,0.6,us,us7000gmg1,2022-02-20T16:13:36.040Z,off the coast of Costa Rica,earthquake,6.5,2,0.07,64,reviewed,us,us
2022-02-20T13:35:56.054Z,31.66679216,-104.385682,6.157275391,3,ml,10,130,0.098133998,0.2,tx,tx2022dokb,2022-02-20T14:34:27.040Z,"56 km S of Whites City, New Mexico",earthquake,1.255050405,1.728620603,0.1,7,reviewed,tx,tx
2022-02-20T12:58:15.813Z,61.7987,-151.7999,108,4.2,ml,,,,0.43,ak,ak0222cjwd3a,2022-02-20T16:58:36.830Z,"30 km SW of Skwentna, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2022-02-20T12:48:47.533Z,10.3896,126.4558,10,4.7,mb,,132,3.41,0.55,us,us7000gmff,2022-02-20T13:34:54.040Z,"61 km NE of Santa Monica, Philippines",earthquake,10.3,1.9,0.081,46,reviewed,us,us
2022-02-20T12:45:27.683Z,32.699,46.1203,10,4.4,mb,,89,2.434,0.52,us,us7000gmf6,2022-02-20T13:02:24.040Z,"35 km NE of Al K?t, Iraq",earthquake,7,1.9,0.098,30,reviewed,us,us
2022-02-20T12:37:56.180Z,-9.0985,124.7651,35,4.5,mb,,55,0.816,0.52,us,us7000gmf4,2022-02-20T13:26:37.040Z,"14 km W of Atambua, Indonesia",earthquake,6.4,2,0.15,13,reviewed,us,us
2022-02-20T11:58:21.247Z,-18.4339,-71.2312,30.04,5.1,mww,,135,0.846,0.59,us,us7000gmez,2022-02-20T14:41:07.643Z,"88 km S of Pacocha, Peru",earthquake,7.3,5.1,0.062,25,reviewed,us,us
2022-02-20T11:47:08.904Z,55.277,-157.8121,26.1,5.3,ml,,,,0.87,ak,ak0222cj8k1s,2022-02-20T13:03:00.043Z,"109 km SE of Perryville, Alaska",earthquake,,1,,,reviewed,ak,ak
2022-02-20T11:27:00.422Z,36.4763,70.6878,199,4.3,mb,,77,0.654,0.72,us,us7000gmer,2022-02-20T11:42:51.040Z,"45 km SSW of Jurm, Afghanistan",earthquake,6.6,5.9,0.122,19,reviewed,us,us
2022-02-20T10:52:20.670Z,17.92583333,-66.27683333,7.55,2.6,md,20,185,,0.24,pr,pr71336083,2022-02-20T12:29:34.580Z,"6 km SSE of Salinas, Puerto Rico",earthquake,0.46,0.8,0.055151489,11,reviewed,pr,pr
2022-02-20T10:49:42.098Z,23.8919,122.5565,29.58,4.5,mwr,,98,0.707,0.82,us,us7000gmek,2022-02-20T11:08:38.040Z,"77 km SW of Yonakuni, Japan",earthquake,4,5,0.066,22,reviewed,us,us
2022-02-20T10:45:17.229Z,63.2186,-151.6158,14.2,2.6,ml,,,,1.09,ak,ak0222cimpp9,2022-02-20T10:52:51.546Z,"36 km S of Denali National Park, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-02-20T10:33:24.570Z,-21.1738,-68.6072,140.46,4.2,mb,,57,0.832,0.43,us,us7000gmee,2022-02-20T11:20:35.040Z,"145 km NNE of Calama, Chile",earthquake,5.6,6.7,0.153,12,reviewed,us,us
2022-02-20T10:23:10.343Z,56.9207,-156.1075,67.5,2.9,ml,,161,1.418,0.6,us,us7000gmeb,2022-02-20T10:36:43.040Z,"102 km SE of Ugashik, Alaska",earthquake,5.4,19.9,0.064,32,reviewed,us,us
2022-02-20T10:09:41.490Z,18.938,-68.6228,5,3.98,md,32,163,0.488,0.5,pr,pr2022051003,2022-02-20T15:13:20.977Z,"32 km N of Otra Banda, Dominican Republic",earthquake,0.9,1.69,0.13,25,reviewed,pr,pr
2022-02-20T09:37:50.061Z,38.1543,-117.9365,10.8,3.4,ml,22,79.86,0.024,0.1332,nn,nn00834205,2022-02-20T11:16:57.397Z,"30 km SSE of Mina, Nevada",earthquake,,0.7,0.34,9,reviewed,nn,nn
2022-02-20T09:37:25.727Z,36.5087,70.1132,212.97,4.4,mb,,77,0.719,0.45,us,us7000gme4,2022-02-20T10:09:50.040Z,"23 km ESE of Farkh?r, Afghanistan",earthquake,7.5,5.6,0.09,35,reviewed,us,us
2022-02-20T08:39:10.150Z,17.94783333,-66.8845,10.51,2.54,md,13,209,,0.14,pr,pr71336038,2022-02-20T12:10:59.707Z,"3 km S of Maria Antonia, Puerto Rico",earthquake,0.53,0.33,0.491268024,7,reviewed,pr,pr
2022-02-20T08:21:00.400Z,18.84966667,-66.48866667,45.97,3.05,md,16,237,,0.14,pr,pr71336028,2022-02-20T10:31:00.550Z,"42 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,0.61,1.26,0.046439572,10,reviewed,pr,pr
2022-02-20T08:14:19.390Z,19.1765,-66.1243,24,3.93,md,26,243,0.8684,0.51,pr,pr2022051002,2022-02-20T11:16:45.155Z,"78 km N of San Juan, Puerto Rico",earthquake,1.64,32.43,0.09,17,reviewed,pr,pr
2022-02-20T07:33:32.340Z,19.0225,-155.3225,2.42,3.23,ml,49,254,,0.21,hv,hv72923157,2022-02-20T09:35:20.100Z,"25 km SE of P?hala, Hawaii",earthquake,1.35,1.42,0.153120014,36,reviewed,hv,hv
2022-02-20T07:23:00.520Z,19.02866667,-155.3228333,5.89,3.29,ml,50,254,,0.18,hv,hv72923152,2022-02-20T09:24:48.998Z,"25 km SE of P?hala, Hawaii",earthquake,0.42,0.68,0.165237358,36,reviewed,hv,hv
2022-02-20T06:42:23.620Z,19.18549919,-155.477829,36.43999863,2.52,ml,48,85,,0.119999997,hv,hv72923122,2022-02-20T06:52:04.040Z,"1 km S of P?hala, Hawaii",earthquake,0.47,0.550000012,3.38,21,automatic,hv,hv
2022-02-20T06:39:33.851Z,23.928,122.5581,10,4.7,mb,,52,0.677,0.63,us,us7000gmd3,2022-02-20T07:21:05.040Z,"74 km SW of Yonakuni, Japan",earthquake,4.7,1.9,0.072,58,reviewed,us,us
2022-02-20T05:05:03.039Z,60.9529,-151.383,53,3.1,ml,,,,0.74,ak,ak0222cfexzq,2022-02-20T13:09:36.526Z,"18 km SW of Tyonek, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-02-20T04:49:48.100Z,36.9230003,-121.5253296,4.87,2.83,md,70,57,0.04841,0.19,nc,nc73695371,2022-02-20T15:27:58.429Z,"9km N of San Juan Bautista, CA",earthquake,0.24,0.54,0.13,85,automatic,nc,nc
2022-02-20T04:07:31.486Z,-3.5402,131.3474,10,4.7,mb,,84,1.091,1,us,us7000gmch,2022-02-20T04:37:09.040Z,"270 km E of Amahai, Indonesia",earthquake,6,1.9,0.153,17,reviewed,us,us
2022-02-20T03:12:57.493Z,-15.1427,-173.4848,10,4.9,mb,,61,2.054,0.99,us,us7000gmcb,2022-02-20T03:33:28.040Z,"95 km NNE of Hihifo, Tonga",earthquake,4.7,1.9,0.059,92,reviewed,us,us
2022-02-20T02:30:46.729Z,31.6359,-104.52,5,2.5,mb_lg,,70,0.036,0.42,us,us7000gmc1,2022-02-20T02:46:56.040Z,"61 km SSW of Whites City, New Mexico",earthquake,1.3,2,0.147,24,reviewed,us,us
2022-02-20T01:42:03.750Z,19.2955,-65.089,37,3.54,md,8,311,1.0067,0.34,pr,pr2022051001,2022-02-20T02:42:48.968Z,"106 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.79,20.36,0.04,2,reviewed,pr,pr
2022-02-20T01:24:52.260Z,17.98566667,-66.88233333,15.08,2.5,md,5,102,,0.05,pr,pr71335953,2022-02-20T04:17:29.694Z,"1 km NE of Maria Antonia, Puerto Rico",earthquake,0.59,0.54,0.101143282,4,reviewed,pr,pr
2022-02-20T01:23:24.506Z,38.2096,-117.741,7,2.5,ml,34,58.34,0.135,0.3454,nn,nn00834180,2022-02-20T01:53:15.040Z,"37 km ESE of Mina, Nevada",earthquake,,0.5,0.27,17,automatic,nn,nn
2022-02-20T00:50:04.425Z,-7.6182,117.3405,312.11,4.5,mb,,64,3.268,1.07,us,us7000gmbj,2022-02-20T01:04:27.040Z,"89 km N of Pototano, Indonesia",earthquake,8.3,8.2,0.077,49,reviewed,us,us
