time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-10T16:23:49.730Z,58.4328,-31.8817,10,5.2,mww,,69,7.696,0.66,us,us1000jd8e,2019-03-10T16:43:18.040Z,Reykjanes Ridge,earthquake,8.9,1.9,0.073,18,reviewed,us,us
2019-03-10T15:54:06.470Z,-10.0272,151.9087,10,4.8,mb,,110,5.803,0.78,us,us1000jd8d,2019-03-10T16:30:24.040Z,"139km SW of Kulumadau, Papua New Guinea",earthquake,9.6,1.9,0.116,23,reviewed,us,us
2019-03-10T15:21:17.460Z,-20.9709,-176.3606,215.23,4.5,mb,,78,6.173,1.15,us,us1000jd8b,2019-03-10T16:14:41.040Z,"120km W of Havelu, Tonga",earthquake,4.9,8.5,0.081,45,reviewed,us,us
2019-03-10T13:18:16.310Z,-35.2128,53.9282,10,5.4,mb,,27,11.315,1.25,us,us1000jd7v,2019-03-10T15:20:04.015Z,Southwest Indian Ridge,earthquake,3.7,1.7,0.05,137,reviewed,us,us
2019-03-10T13:08:02.610Z,-25.7702,-70.6001,35,4.8,mb,,139,0.376,1.15,us,us1000jd7k,2019-03-10T15:45:38.040Z,"42km SSW of Taltal, Chile",earthquake,5.3,2,0.077,53,reviewed,us,us
2019-03-10T12:48:00.910Z,-10.1389,152.0544,10,6.1,mww,,55,5.91,0.65,us,us1000jd7d,2019-03-10T15:15:21.040Z,"140km SSW of Kulumadau, Papua New Guinea",earthquake,7.1,1.4,0.071,19,reviewed,us,us
2019-03-10T12:32:13.480Z,18.9473,39.4001,10,4.6,mb,,104,7.288,1.17,us,us1000jd7a,2019-03-10T12:46:48.040Z,"177km W of Al Qunfidhah, Saudi Arabia",earthquake,7,1.9,0.074,54,reviewed,us,us
2019-03-10T09:52:13.250Z,44.1496,148.3014,39.39,5.1,mb,,165,4.109,0.69,us,us1000jd6u,2019-03-10T10:10:16.040Z,"124km SSE of Kuril'sk, Russia",earthquake,9.7,8,0.055,106,reviewed,us,us
2019-03-10T09:21:45.180Z,-9.5639,112.6636,66.35,5,mb,,91,1.828,1.09,us,us1000jd6f,2019-03-10T09:41:14.040Z,"128km S of Krajan Tambakrejo, Indonesia",earthquake,8.4,8,0.097,34,reviewed,us,us
2019-03-10T08:23:55.080Z,-17.8464,-178.6448,570.29,4.8,mb,,73,3.147,0.81,us,us1000jd5d,2019-03-10T08:41:20.040Z,"262km SE of Lambasa, Fiji",earthquake,12.5,8.2,0.035,251,reviewed,us,us
