time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-27T13:28:47.783Z,-8.6545,118.2768,141.19,4.6,mb,,99,3.901,1.11,us,us6000858g,2020-02-27T14:01:32.040Z,"11km S of Npongge, Indonesia",earthquake,7.6,9.4,0.132,17,reviewed,us,us
2020-02-27T12:43:58.157Z,-25.3014,179.9027,483.03,4.7,mb,,52,4.376,0.87,us,us60008582,2020-02-27T13:04:09.040Z,South of the Fiji Islands,earthquake,11.6,6.8,0.042,175,reviewed,us,us
2020-02-27T12:20:19.621Z,35.2993,27.9087,10,4.5,mb,,61,0.658,1.04,us,us6000857v,2020-02-27T12:50:29.040Z,"67km ESE of Karpathos, Greece",earthquake,4.3,1.9,0.096,32,reviewed,us,us
2020-02-27T10:17:37.725Z,39.9454,51.4863,51.97,4.6,mb,,96,5.18,1,us,us6000856p,2020-02-27T10:56:18.127Z,"111km ESE of Zyrya, Azerbaijan",earthquake,7.7,6.2,0.07,60,reviewed,us,us
2020-02-27T04:11:11.106Z,-12.2781,-14.7808,10,5.1,mb,,63,4.337,0.81,us,us60008535,2020-02-27T04:24:53.040Z,Southern Mid-Atlantic Ridge,earthquake,10.7,1.9,0.08,50,reviewed,us,us
2020-02-27T03:52:12.185Z,-23.98,-67.0219,227.2,4.8,mb,,46,1.475,0.56,us,us6000852t,2020-02-27T04:32:07.040Z,"76km WNW of San Antonio de los Cobres, Argentina",earthquake,9.2,8.7,0.227,6,reviewed,us,us
2020-02-27T02:36:19.239Z,0.5493,121.8484,88.17,4.7,mb,,100,1.203,0.72,us,us6000852b,2020-02-27T02:56:49.040Z,"30km E of Lemito, Indonesia",earthquake,8.2,5.7,0.089,38,reviewed,us,us
2020-02-27T02:08:45.943Z,38.1757,38.6435,10,4.6,mb,,85,0.947,0.73,us,us60008522,2020-02-27T02:37:37.503Z,"15km N of Sincik, Turkey",earthquake,4.3,1.4,0.089,38,reviewed,us,us
2020-02-27T01:37:00.582Z,-29.5154,-71.1962,75.68,4.8,mwr,,93,0.403,0.88,us,us6000851q,2020-02-27T05:45:14.710Z,"43km N of La Serena, Chile",earthquake,4.8,3.8,0.042,55,reviewed,us,us
2020-02-27T01:03:21.483Z,6.8745,125.0089,14.23,4.6,mb,,68,0.598,0.91,us,us60008511,2020-02-27T08:37:14.299Z,"11km E of Bagontapay, Philippines",earthquake,6.8,5.9,0.117,22,reviewed,us,us
2020-02-26T20:21:32.529Z,-30.9789,-71.4117,43.99,4.9,mwr,,83,0.359,0.84,us,us600084u3,2020-02-27T01:48:25.496Z,"46km SSW of Ovalle, Chile",earthquake,6,3.4,,,reviewed,us,guc
2020-02-26T17:14:43.789Z,2.6504,-79.5627,10,4.5,mb,,157,2.641,0.98,us,us600084nf,2020-02-26T17:56:17.040Z,"111km WNW of Francisco Pizarro, Colombia",earthquake,10.7,1.9,0.067,65,reviewed,us,us
2020-02-26T16:43:09.202Z,10.8928,-86.6071,10,4.6,mb,,189,1.297,1.05,us,us600084mv,2020-02-27T00:19:51.040Z,"89km WSW of San Juan del Sur, Nicaragua",earthquake,7.4,1.9,0.071,59,reviewed,us,us
