STATION,NAME,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/1/1938,1938,6,1.00,,80,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/2/1938,1938,6,2.00,,79,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/3/1938,1938,6,3.00,,74,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/4/1938,1938,6,4.00,,77,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/5/1938,1938,6,5.00,,72,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/6/1938,1938,6,6.00,,79,45
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/7/1938,1938,6,7.00,,89,63
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/8/1938,1938,6,8.00,,77,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/9/1938,1938,6,9.00,,72,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/10/1938,1938,6,10.00,,78,42
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/11/1938,1938,6,11.00,,77,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/12/1938,1938,6,12.00,,79,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/13/1938,1938,6,13.00,,74,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/14/1938,1938,6,14.00,,79,54
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/15/1938,1938,6,15.00,,84,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/16/1938,1938,6,16.00,,81,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/17/1938,1938,6,17.00,,82,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/18/1938,1938,6,18.00,,86,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/19/1938,1938,6,19.00,,79,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/20/1938,1938,6,20.00,,92,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/21/1938,1938,6,21.00,,97,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/22/1938,1938,6,22.00,,88,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/23/1938,1938,6,23.00,,91,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/24/1938,1938,6,24.00,,96,66
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/25/1938,1938,6,25.00,,92,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/26/1938,1938,6,26.00,,73,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/27/1938,1938,6,27.00,,61,53
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/28/1938,1938,6,28.00,,73,54
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/29/1938,1938,6,29.00,,77,48
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6/30/1938,1938,6,30.00,,82,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/1/1938,1938,7,1.00,,73,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/2/1938,1938,7,2.00,,78,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/3/1938,1938,7,3.00,,71,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/4/1938,1938,7,4.00,,70,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/5/1938,1938,7,5.00,,83,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/6/1938,1938,7,6.00,,82,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/7/1938,1938,7,7.00,,88,53
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/8/1938,1938,7,8.00,,89,64
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/9/1938,1938,7,9.00,,84,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/10/1938,1938,7,10.00,,85,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/11/1938,1938,7,11.00,,85,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/12/1938,1938,7,12.00,,84,66
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/13/1938,1938,7,13.00,,88,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/14/1938,1938,7,14.00,,84,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/15/1938,1938,7,15.00,,80,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/16/1938,1938,7,16.00,,86,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/17/1938,1938,7,17.00,,89,63
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/18/1938,1938,7,18.00,,72,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/19/1938,1938,7,19.00,,73,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/20/1938,1938,7,20.00,,90,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/21/1938,1938,7,21.00,,87,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/22/1938,1938,7,22.00,,82,66
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/23/1938,1938,7,23.00,,74,70
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/24/1938,1938,7,24.00,,81,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/25/1938,1938,7,25.00,,87,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/26/1938,1938,7,26.00,,89,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/27/1938,1938,7,27.00,,90,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/28/1938,1938,7,28.00,,89,67
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/29/1938,1938,7,29.00,,84,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/30/1938,1938,7,30.00,,84,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7/31/1938,1938,7,31.00,,92,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/1/1938,1938,8,1.00,,88,71
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/2/1938,1938,8,2.00,,93,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/3/1938,1938,8,3.00,,94,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/4/1938,1938,8,4.00,,93,73
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/5/1938,1938,8,5.00,,88,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/6/1938,1938,8,6.00,,89,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/7/1938,1938,8,7.00,,90,68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/8/1938,1938,8,8.00,,88,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/9/1938,1938,8,9.00,,82,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/10/1938,1938,8,10.00,,82,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/11/1938,1938,8,11.00,,83,63
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/12/1938,1938,8,12.00,,77,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/13/1938,1938,8,13.00,,83,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/14/1938,1938,8,14.00,,91,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/15/1938,1938,8,15.00,,95,66
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/16/1938,1938,8,16.00,,92,74
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/17/1938,1938,8,17.00,,88,69
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/18/1938,1938,8,18.00,,74,65
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/19/1938,1938,8,19.00,,81,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/20/1938,1938,8,20.00,,92,57
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/21/1938,1938,8,21.00,,88,60
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/22/1938,1938,8,22.00,,83,63
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/23/1938,1938,8,23.00,,85,56
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/24/1938,1938,8,24.00,,73,62
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/25/1938,1938,8,25.00,,76,54
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/26/1938,1938,8,26.00,,77,54
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/27/1938,1938,8,27.00,,86,59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/28/1938,1938,8,28.00,,74,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/29/1938,1938,8,29.00,,83,45
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/30/1938,1938,8,30.00,,82,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8/31/1938,1938,8,31.00,,79,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/1/1938,1938,9,1.00,,74,54
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/2/1938,1938,9,2.00,,72,45
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/3/1938,1938,9,3.00,,76,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/4/1938,1938,9,4.00,,83,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/5/1938,1938,9,5.00,,66,48
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/6/1938,1938,9,6.00,,73,38
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/7/1938,1938,9,7.00,,67,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/8/1938,1938,9,8.00,,63,44
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/9/1938,1938,9,9.00,,62,36
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/10/1938,1938,9,10.00,,74,35
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/11/1938,1938,9,11.00,,75,39
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/12/1938,1938,9,12.00,,67,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/13/1938,1938,9,13.00,,78,58
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/14/1938,1938,9,14.00,,74,51
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/15/1938,1938,9,15.00,,82,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/16/1938,1938,9,16.00,,62,54
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/17/1938,1938,9,17.00,,68,44
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/18/1938,1938,9,18.00,,64,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/19/1938,1938,9,19.00,,69,61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/20/1938,1938,9,20.00,,65,55
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/21/1938,1938,9,21.00,,62,52
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/22/1938,1938,9,22.00,,66,47
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/23/1938,1938,9,23.00,,62,50
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/24/1938,1938,9,24.00,,74,49
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/25/1938,1938,9,25.00,,64,40
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/26/1938,1938,9,26.00,,71,34
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/27/1938,1938,9,27.00,,67,53
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/28/1938,1938,9,28.00,,70,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/29/1938,1938,9,29.00,,70,46
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9/30/1938,1938,9,30.00,,58,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/1/1938,1938,10,1.00,,58,42
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/2/1938,1938,10,2.00,,57,87
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/3/1938,1938,10,3.00,,60,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/4/1938,1938,10,4.00,,65,35
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/5/1938,1938,10,5.00,,66,34
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/6/1938,1938,10,6.00,,50,38
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/7/1938,1938,10,7.00,,55,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/8/1938,1938,10,8.00,,64,27
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/9/1938,1938,10,9.00,,59,48
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10/10/1938,1938,10,10.00,,64,45
