STATION,NAME,DATE,TAVG
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/1/2017,36
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/2/2017,25
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/3/2017,34
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/4/2017,37
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/5/2017,25
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/6/2017,24
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/7/2017,17
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/8/2017,22
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/9/2017,15
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/10/2017,22
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/11/2017,41
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/12/2017,48
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/13/2017,40
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/14/2017,22
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/15/2017,26
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/16/2017,25
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/17/2017,27
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/18/2017,34
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/19/2017,38
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/20/2017,37
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/21/2017,42
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/22/2017,40
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/23/2017,38
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/24/2017,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/25/2017,34
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/26/2017,40
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/27/2017,38
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/28/2017,35
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/29/2017,33
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/30/2017,27
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/31/2017,20
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/1/2017,30
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/2/2017,28
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/3/2017,25
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/4/2017,23
