source: https://www.wunderground.com/history/monthly/us/ny/albany/KALB/date/2018-11,,,
"Data date coverage: Nov 1-30, 2018",,,
,,,
Day,Max,Avg,Min
1,59,54,48
2,64,56,48
3,57,49,41
4,51,44,36
5,48,40,31
6,54,49,44
7,59,50,41
8,49,40,31
9,42,35,28
10,42,39,35
11,41,34,26
12,47,38,29
13,44,38,32
14,33,28,22
15,29,25,20
16,40,33,26
17,44,41,37
18,37,34,30
19,40,36,32
20,39,36,33
21,40,29,17
22,19,14,8
23,28,16,4
24,40,30,20
25,42,38,34
26,45,40,34
27,40,37,34
28,40,37,34
29,43,40,36
30,39,36,32
