SAMPLE_ID,LAT_LONG,WELL_DEPTH_m,DIVISION_DISTRICT,PARAMETER,CONC
S98_00701,22.8731/90.7844,10.7,Chittagong-Lakshmipur,As_ugL,13
S98_00718,23.0194/90.8786,12.2,Chittagong-Lakshmipur,As_ugL,256
S98_00724,22.965/90.9597,12.2,Chittagong-Lakshmipur,As_ugL,38
S98_00727,22.9253/90.9744,262.1,Chittagong-Lakshmipur,As_ugL,8
S98_00733,22.8653/90.9372,7.9,Chittagong-Lakshmipur,As_ugL,6
S98_00734,22.8525/90.9058,182.9,Chittagong-Lakshmipur,As_ugL,6
S98_00736,22.8567/90.8642,7.9,Chittagong-Lakshmipur,As_ugL,15
S98_00749,22.9322/90.7767,7.9,Chittagong-Lakshmipur,As_ugL,65
S98_00752,22.9347/90.8294,318,Chittagong-Lakshmipur,As_ugL,6
S98_00756,22.9414/90.8644,14,Chittagong-Lakshmipur,As_ugL,142
S98_00777,23.5331/89.79,26.2,Dhaka-Faridpur,As_ugL,41
S98_00781,23.5347/89.8675,32,Dhaka-Faridpur,As_ugL,162
S98_00784,23.5969/89.8769,20.1,Dhaka-Faridpur,As_ugL,57
S98_00791,23.6603/89.7639,28,Dhaka-Faridpur,As_ugL,245
S98_00796,23.5825/89.8403,137.2,Dhaka-Faridpur,As_ugL,6
S98_00798,23.5872/89.8133,213.4,Dhaka-Faridpur,As_ugL,6
S98_00818,23.6669/89.8369,21.9,Dhaka-Faridpur,As_ugL,6
S98_00821,23.5753/89.7178,18.3,Dhaka-Faridpur,As_ugL,132
S98_00824,23.6139/89.7936,15.8,Dhaka-Faridpur,As_ugL,10
S98_00829,23.5819/89.835,36.6,Dhaka-Faridpur,As_ugL,6
S98_00854,24.6017/88.2767,34,Rajshahi-Nawabganj,As_ugL,35
S98_00858,24.6403/88.3783,42.7,Rajshahi-Nawabganj,As_ugL,6
S98_00871,24.6372/88.2381,29,Rajshahi-Nawabganj,As_ugL,6
S98_00877,24.6883/88.2633,29,Rajshahi-Nawabganj,As_ugL,6
S98_00881,24.6525/88.3139,38.1,Rajshahi-Nawabganj,As_ugL,6
S98_00883,24.5736/88.2067,33.5,Rajshahi-Nawabganj,As_ugL,8
S98_00890,24.5228/88.2683,19.8,Rajshahi-Nawabganj,As_ugL,6
S98_00891,24.5022/88.1817,21.3,Rajshahi-Nawabganj,As_ugL,14
S98_00894,24.4844/88.245,21.3,Rajshahi-Nawabganj,As_ugL,6
S98_00910,24.6114/88.3478,41.1,Rajshahi-Nawabganj,As_ugL,6
S98_02451,23.642/90.609,41,Dhaka-Narayanganj,As_ugL,324
S98_02452,23.723/90.522,59,Dhaka-Narayanganj,As_ugL,6
S98_02453,23.84/90.634,36,Dhaka-Narayanganj,As_ugL,6
S98_02454,23.688/90.522,66,Dhaka-Narayanganj,As_ugL,6
S98_02455,23.667/90.48,31,Dhaka-Narayanganj,As_ugL,6
S98_02456,23.812/90.217,58,Dhaka-Manikganj,As_ugL,6
S98_02457,23.617/90.499,62,Dhaka-Narayanganj,As_ugL,9
S98_02458,23.615/90.51,61,Dhaka-Narayanganj,As_ugL,6
S98_02459,23.902/89.986,15,Dhaka-Manikganj,As_ugL,NA
S98_02460,23.847/89.829,52,Dhaka-Manikganj,As_ugL,41
S98_02461,23.968/89.83,82,Dhaka-Manikganj,As_ugL,46
S98_02462,23.771/89.915,31,Dhaka-Manikganj,As_ugL,60
S98_02463,23.856/89.939,44,Dhaka-Manikganj,As_ugL,89
S98_02464,23.99/90.044,24,Dhaka-Manikganj,As_ugL,20
S98_02465,23.919/90.214,65,Dhaka-Dhaka,As_ugL,NA
S98_02466,23.835/90.261,115,Dhaka-Dhaka,As_ugL,6
S98_02467,23.696/90.347,43,Dhaka-Dhaka,As_ugL,6
S98_02468,23.616/90.125,60,Dhaka-Dhaka,As_ugL,184
S98_02469,23.651/90.132,20,Dhaka-Dhaka,As_ugL,133
S98_02470,22.966/89.479,262,Khulna-Khulna,As_ugL,6
S98_02471,22.737/89.519,187,Khulna-Khulna,As_ugL,6
S98_02472,22.576/89.325,49,Khulna-Khulna,As_ugL,130
S98_02473,22.811/89.038,34,Khulna-Satkhira,As_ugL,NA
S98_02474,22.932/89.668,26,Khulna-Khulna,As_ugL,114
S98_02475,22.576/89.499,41,Khulna-Khulna,As_ugL,12
S98_02476,22.8/89.645,131,Khulna-Khulna,As_ugL,89
S98_02477,22.837/89.55,312,Khulna-Khulna,As_ugL,6
S98_02478,22.887/89.535,282,Khulna-Khulna,As_ugL,6
S98_02479,22.871/89.508,60,Khulna-Khulna,As_ugL,73
S98_02480,22.819/89.421,59,Khulna-Khulna,As_ugL,6
S98_02481,22.778/89.706,39,Khulna-Bagerhat,As_ugL,121
S98_02482,22.52/89.021,20,Khulna-Satkhira,As_ugL,100
S98_02483,22.639/89.041,39,Khulna-Satkhira,As_ugL,176
S98_02484,22.824/89.748,34,Khulna-Bagerhat,As_ugL,124
S98_02485,22.546/89.652,26,Khulna-Bagerhat,As_ugL,505
S98_02486,23.373/89.371,115,Khulna-Magura,As_ugL,78
S98_02487,22.86/89.04,39,Khulna-Satkhira,As_ugL,147
S98_02488,22.343/89.112,13,Khulna-Satkhira,As_ugL,6
S98_02489,22.75/89.259,22,Khulna-Satkhira,As_ugL,106
S98_02490,22.538/89.24,56,Khulna-Satkhira,As_ugL,155
S98_02491,22.763/89.855,45,Khulna-Bagerhat,As_ugL,217
S98_02492,22.565/89.845,20,Khulna-Bagerhat,As_ugL,92
S98_02493,22.311/89.846,10,Khulna-Bagerhat,As_ugL,6
S98_02494,22.642/89.814,20,Khulna-Bagerhat,As_ugL,301
S98_02495,23.402/89.602,98,Khulna-Magura,As_ugL,61
S98_02496,23.17/89.042,45,Khulna-Jessore,As_ugL,111
S98_02497,23.042/89.391,50,Khulna-Jessore,As_ugL,136
S98_02498,23.27/89.246,51,Khulna-Jessore,As_ugL,9
S98_02499,23.419/88.821,94,Khulna-Chuadanga,As_ugL,30
S98_02500,23.399/88.977,44,Khulna-Jhenaidah,As_ugL,45
S98_02501,23.734/89.208,47,Khulna-Jhenaidah,As_ugL,6
S98_02502,23.611/89.021,39,Khulna-Jhenaidah,As_ugL,71
S98_02503,23.863/89.244,40,Khulna-Kushtia,As_ugL,6
S98_02504,22.722/89.847,18,Khulna-Bagerhat,As_ugL,59
S98_02505,22.55/89.59,18,Khulna-Bagerhat,As_ugL,6
S98_02506,23.121/89.649,50,Khulna-Narail,As_ugL,152
S98_02507,23.589/89.397,50,Khulna-Magura,As_ugL,6
S98_02508,24.009/88.876,100,Khulna-Kushtia,As_ugL,6
S98_02509,23.769/89.256,39,Khulna-Kushtia,As_ugL,6
S98_02510,24.018/89.007,39,Khulna-Kushtia,As_ugL,6
S98_02511,23.07/89.559,63,Khulna-Narail,As_ugL,6
S98_02512,23.12/88.974,22,Khulna-Jessore,As_ugL,54
S98_02513,22.906/89.216,49,Khulna-Jessore,As_ugL,166
S98_02514,23.603/88.774,40,Khulna-Chuadanga,As_ugL,50
S98_02515,23.678/88.869,39,Khulna-Chuadanga,As_ugL,41
S98_02516,23.781/88.734,39,Khulna-Meherpur,As_ugL,33
S98_02517,23.404/89.221,49,Khulna-Jhenaidah,As_ugL,55
S98_02518,23.181/89.543,54,Khulna-Narail,As_ugL,198
S98_02519,23.26/89.024,118,Khulna-Jessore,As_ugL,49
S98_02520,22.963/89.23,67,Khulna-Jessore,As_ugL,168
S98_02521,23.222/89.408,50,Khulna-Jessore,As_ugL,152
S98_02522,23.76/88.942,82,Khulna-Chuadanga,As_ugL,35
