STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00190736,"BLUE HILL, MA US",01/01/1893,0,38,22,
USC00190736,"BLUE HILL, MA US",01/02/1893,0.22,53,34,
USC00190736,"BLUE HILL, MA US",01/03/1893,0.73,32,13,
USC00190736,"BLUE HILL, MA US",01/04/1893,0,16,3,
USC00190736,"BLUE HILL, MA US",01/05/1893,0,27,13,
USC00190736,"BLUE HILL, MA US",01/06/1893,0,17,8,
USC00190736,"BLUE HILL, MA US",01/07/1893,0,20,6,
USC00190736,"BLUE HILL, MA US",01/08/1893,0,20,11,
USC00190736,"BLUE HILL, MA US",01/09/1893,0,27,3,
USC00190736,"BLUE HILL, MA US",01/10/1893,0,31,4,
USC00190736,"BLUE HILL, MA US",01/11/1893,0,7,-5,
USC00190736,"BLUE HILL, MA US",01/12/1893,0,12,-1,
USC00190736,"BLUE HILL, MA US",01/13/1893,0,11,3,
USC00190736,"BLUE HILL, MA US",01/14/1893,0,16,3,
USC00190736,"BLUE HILL, MA US",01/15/1893,0,13,7,
USC00190736,"BLUE HILL, MA US",01/16/1893,0,12,0,
USC00190736,"BLUE HILL, MA US",01/17/1893,0,13,-2,
USC00190736,"BLUE HILL, MA US",01/18/1893,0,13,3,
USC00190736,"BLUE HILL, MA US",01/19/1893,0,25,8,
USC00190736,"BLUE HILL, MA US",01/20/1893,0,18,5,
USC00190736,"BLUE HILL, MA US",01/21/1893,0,21,4,
USC00190736,"BLUE HILL, MA US",01/22/1893,0,26,4,
USC00190736,"BLUE HILL, MA US",01/23/1893,0,31,14,
USC00190736,"BLUE HILL, MA US",01/24/1893,0,33,23,
USC00190736,"BLUE HILL, MA US",01/25/1893,0,39,25,
USC00190736,"BLUE HILL, MA US",01/26/1893,0,37,20,
USC00190736,"BLUE HILL, MA US",01/27/1893,0,33,18,
USC00190736,"BLUE HILL, MA US",01/28/1893,0,21,12,
USC00190736,"BLUE HILL, MA US",01/29/1893,0.36,43,15,
USC00190736,"BLUE HILL, MA US",01/30/1893,0,42,26,
USC00190736,"BLUE HILL, MA US",01/31/1893,0,32,23,
USC00190736,"BLUE HILL, MA US",03/01/1893,0,36,27,
USC00190736,"BLUE HILL, MA US",03/02/1893,0,28,19,
USC00190736,"BLUE HILL, MA US",03/03/1893,0,32,14,
USC00190736,"BLUE HILL, MA US",03/04/1893,0,28,23,
USC00190736,"BLUE HILL, MA US",03/05/1893,0,24,9,
USC00190736,"BLUE HILL, MA US",03/06/1893,0,27,9,
USC00190736,"BLUE HILL, MA US",03/07/1893,0,39,22,
USC00190736,"BLUE HILL, MA US",03/08/1893,0,44,25,
USC00190736,"BLUE HILL, MA US",03/09/1893,1.81,40,31,
USC00190736,"BLUE HILL, MA US",03/10/1893,0.18,38,30,
USC00190736,"BLUE HILL, MA US",03/11/1893,0,34,31,
USC00190736,"BLUE HILL, MA US",03/12/1893,0.39,47,34,
USC00190736,"BLUE HILL, MA US",03/13/1893,0,48,42,
USC00190736,"BLUE HILL, MA US",03/14/1893,0,51,34,
USC00190736,"BLUE HILL, MA US",03/15/1893,0.92,43,18,
USC00190736,"BLUE HILL, MA US",03/16/1893,0,23,11,
USC00190736,"BLUE HILL, MA US",03/17/1893,0,33,16,
USC00190736,"BLUE HILL, MA US",03/18/1893,0,34,22,
USC00190736,"BLUE HILL, MA US",03/19/1893,0,28,13,
USC00190736,"BLUE HILL, MA US",03/20/1893,0,37,19,
