"https://www.ncei.noaa.gov/access/past-weather/42.55502054693938,-71.76079845408827,42.040922629398835,-70.48652687279844",,,
"BLUE HILL COOP, MA US (USC00190736)",,,
,TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches)
DATE,TMAX,TMIN,PRCP
1893-01-01,38,22,0
1893-01-02,53,,0.22
1893-01-03,,13,0.73
1893-01-04,16,3,0
1893-01-05,27,13,0
1893-01-06,17,8,0
1893-01-07,20,6,0
1893-01-08,20,11,0
1893-01-09,27,3,0
1893-01-10,31,4,0
1893-01-11,7,-5,0
1893-01-12,12,-1,0
1893-01-13,11,3,0
1893-01-14,16,3,0
1893-01-15,13,7,0
1893-01-16,12,0,0
1893-01-17,13,-2,0
1893-01-18,13,3,0
1893-01-19,25,8,0
1893-01-20,18,5,0
1893-01-21,21,4,0
1893-01-22,26,4,0
1893-01-23,31,14,0
1893-01-24,33,23,0
1893-01-25,39,25,0
1893-01-26,37,20,0
1893-01-27,33,18,0
1893-01-28,21,12,0
1893-01-29,43,15,0.36
1893-01-30,42,26,0
1893-01-31,32,23,0
1893-02-01,,,
1893-02-02,,,
1893-02-03,,,
1893-02-04,,,
1893-02-05,,,
1893-02-06,,,
1893-02-07,,,
1893-02-08,,,
1893-02-09,,,
1893-02-10,,,
1893-02-11,,,
1893-02-12,,,
1893-02-13,,,
1893-02-14,,,
1893-02-15,,,
1893-02-16,,,
1893-02-17,,,
1893-02-18,,,
1893-02-19,,,
1893-02-20,,,
1893-02-21,,,
1893-02-22,,,
1893-02-23,,,
1893-02-24,,,
1893-02-25,,,
1893-02-26,,,
1893-02-27,,,
1893-02-28,,,
1893-03-01,36,27,0
1893-03-02,28,19,0
1893-03-03,32,14,0
1893-03-04,28,23,0
1893-03-05,24,9,0
1893-03-06,27,9,0
1893-03-07,39,22,0
1893-03-08,44,25,0
1893-03-09,40,31,1.81
1893-03-10,38,30,0.18
1893-03-11,34,31,0
1893-03-12,47,34,0.39
1893-03-13,48,42,0
1893-03-14,51,34,0
1893-03-15,43,18,0.92
1893-03-16,23,11,0
1893-03-17,33,16,0
1893-03-18,34,22,0
1893-03-19,28,13,0
1893-03-20,37,19,0
1893-03-21,44,24,0.05
1893-03-22,40,29,0
1893-03-23,31,26,0
1893-03-24,54,29,0.08
1893-03-25,50,38,0
1893-03-26,39,30,0
1893-03-27,36,28,0
1893-03-28,31,24,0
1893-03-29,42,23,0
1893-03-30,49,29,0
1893-03-31,46,32,0
1893-04-01,60,33,0
1893-04-02,57,32,0
1893-04-03,47,25,0
1893-04-04,55,39,0.04
1893-04-05,53,36,0
1893-04-06,43,25,0.23
1893-04-07,32,24,0.32
1893-04-08,51,31,0.46
1893-04-09,55,40,0
1893-04-10,45,31,0
1893-04-11,49,32,0
1893-04-12,59,36,0
1893-04-13,48,36,0.01
1893-04-14,67,42,0.11
1893-04-15,43,31,0.63
1893-04-16,44,29,0
1893-04-17,39,32,0
1893-04-18,49,30,0
1893-04-19,54,31,0
1893-04-20,42,31,0.32
1893-04-21,53,33,0.64
1893-04-22,55,33,0
1893-04-23,54,33,0
1893-04-24,56,34,0
1893-04-25,48,36,0.09
1893-04-26,50,24,0
1893-04-27,42,35,0.18
1893-04-28,64,35,0.01
1893-04-29,62,47,0
1893-04-30,62,40,0.01
1893-05-01,45,39,0.08
1893-05-02,43,38,0.59
1893-05-03,41,38,0.36
1893-05-04,53,36,1.92
1893-05-05,56,42,0
1893-05-06,57,41,0.04
1893-05-07,54,37,0
1893-05-08,63,39,0
1893-05-09,65,42,0
1893-05-10,79,46,0
1893-05-11,82,57,0
1893-05-12,84,53,0
1893-05-13,56,43,0.28
1893-05-14,59,41,0.06
1893-05-15,71,45,0
1893-05-16,61,37,0.07
1893-05-17,69,48,0.89
1893-05-18,57,45,0.03
1893-05-19,59,45,0
1893-05-20,72,41,0
1893-05-21,84,48,0
1893-05-22,79,56,0
1893-05-23,83,54,0
1893-05-24,69,53,0.07
1893-05-25,69,47,0
1893-05-26,65,45,0.06
1893-05-27,52,45,0
1893-05-28,64,43,0.04
1893-05-29,61,46,0
1893-05-30,69,48,0
1893-05-31,64,46,0
1893-06-01,73,47,0
1893-06-02,74,45,0
1893-06-03,68,55,0.02
1893-06-04,72,56,0
1893-06-05,89,62,0
1893-06-06,87,67,0
1893-06-07,70,61,0
1893-06-08,73,53,0
1893-06-09,72,52,0
1893-06-10,81,56,0
1893-06-11,86,65,0
1893-06-12,66,53,0.11
1893-06-13,67,54,0.05
1893-06-14,71,53,0.37
1893-06-15,85,63,0
1893-06-16,73,50,0
1893-06-17,54,49,0.3
1893-06-18,71,52,0.01
1893-06-19,82,59,0
1893-06-20,89,65,0
1893-06-21,83,64,0
1893-06-22,66,53,1.05
1893-06-23,55,51,0.66
1893-06-24,61,52,0.1
1893-06-25,65,51,0.02
1893-06-26,59,50,0
1893-06-27,60,50,0
1893-06-28,63,50,0
1893-06-29,73,50,0
1893-06-30,74,53,0
1893-07-01,76,53,
1893-07-02,83,55,
1893-07-03,75,59,0.01
1893-07-04,77,62,
1893-07-05,78,57,0
1893-07-06,74,59,0.25
1893-07-07,80,57,
1893-07-08,80,60,
1893-07-09,81,65,0
1893-07-10,73,55,
1893-07-11,79,55,
1893-07-12,80,59,0.01
1893-07-13,77,58,0.32
1893-07-14,73,53,
1893-07-15,75,58,
1893-07-16,87,63,
1893-07-17,86,67,
1893-07-18,87,62,0.91
1893-07-19,81,63,0.05
1893-07-20,79,55,
1893-07-21,85,59,
1893-07-22,90,65,0.28
1893-07-23,73,55,0.18
1893-07-24,69,49,
1893-07-25,74,52,0.07
1893-07-26,89,59,0.06
1893-07-27,71,51,0.25
1893-07-28,79,55,
1893-07-29,68,60,0.09
1893-07-30,83,60,
1893-07-31,83,63,
1893-08-01,76,63,0.03
1893-08-02,80,58,0
1893-08-03,83,63,0
1893-08-04,80,58,0
1893-08-05,67,60,3.03
1893-08-06,81,59,0.42
1893-08-07,77,56,0.6
1893-08-08,81,55,0
1893-08-09,86,64,0
1893-08-10,87,66,0
1893-08-11,84,61,0
1893-08-12,81,66,0
1893-08-13,70,58,0.01
1893-08-14,72,48,0
1893-08-15,79,57,0
1893-08-16,67,54,0
1893-08-17,66,58,0.05
1893-08-18,64,57,0.05
1893-08-19,67,54,0.02
1893-08-20,68,56,0.07
1893-08-21,61,56,2
1893-08-22,77,56,0
1893-08-23,76,61,0
1893-08-24,73,61,0.31
1893-08-25,89,65,0
1893-08-26,83,68,0
1893-08-27,81,65,0
1893-08-28,82,66,0
1893-08-29,78,68,0.29
1893-08-30,73,56,0
1893-08-31,75,53,0
1893-09-01,69,54,0
1893-09-02,67,54,0.46
1893-09-03,65,43,0
1893-09-04,63,48,0
1893-09-05,77,50,0
1893-09-06,67,54,0
1893-09-07,65,49,0.4
1893-09-08,63,53,0
1893-09-09,71,47,0
1893-09-10,74,51,0
1893-09-11,61,45,0
1893-09-12,69,47,0
1893-09-13,71,48,0
1893-09-14,75,55,0
1893-09-15,73,60,0.05
1893-09-16,71,51,0.71
1893-09-17,62,47,0.01
1893-09-18,63,45,0
1893-09-19,67,55,0.11
1893-09-20,71,52,0
1893-09-21,61,40,0
1893-09-22,65,44,0.01
1893-09-23,68,55,0.02
1893-09-24,67,50,0
1893-09-25,65,53,0.09
1893-09-26,65,44,0.03
1893-09-27,51,45,0.02
1893-09-28,55,42,0
1893-09-29,49,41,0.02
1893-09-30,57,39,0.06
1893-10-01,56,40,0
1893-10-02,67,47,0
1893-10-03,57,45,0
1893-10-04,53,49,0.03
1893-10-05,64,48,0
1893-10-06,65,51,0
1893-10-07,70,53,0
1893-10-08,70,49,0
1893-10-09,76,51,0.01
1893-10-10,63,43,0
1893-10-11,68,41,0
1893-10-12,73,49,0
1893-10-13,70,49,0
1893-10-14,71,57,1.15
1893-10-15,59,47,0
1893-10-16,50,36,0
1893-10-17,52,32,0
1893-10-18,54,42,0
1893-10-19,50,37,0
1893-10-20,59,40,0
1893-10-21,69,47,0
1893-10-22,65,50,0
1893-10-23,59,50,0.51
1893-10-24,71,56,1.58
1893-10-25,66,46,0
1893-10-26,49,39,0
1893-10-27,59,41,0
1893-10-28,59,47,0.3
1893-10-29,49,36,
1893-10-30,44,29,
1893-10-31,41,25,
1893-11-01,54,31,
1893-11-02,61,41,
1893-11-03,65,47,
1893-11-04,49,36,0
1893-11-05,43,32,0.56
1893-11-06,53,34,0.39
1893-11-07,48,33,
1893-11-08,57,37,
1893-11-09,61,40,
1893-11-10,43,24,
1893-11-11,49,28,
1893-11-12,45,35,
1893-11-13,52,37,
1893-11-14,53,40,0
1893-11-15,45,30,0
1893-11-16,35,24,
1893-11-17,53,25,
1893-11-18,54,35,
1893-11-19,37,29,0.03
1893-11-20,33,27,
1893-11-21,39,33,0
1893-11-22,53,32,
1893-11-23,44,38,0.55
1893-11-24,37,28,
1893-11-25,32,22,
1893-11-26,27,18,
1893-11-27,38,16,
1893-11-28,56,25,
1893-11-29,49,36,
1893-11-30,50,38,
1893-12-01,42,29,0.43
1893-12-02,29,18,0
1893-12-03,50,20,0.68
1893-12-04,52,15,0.46
1893-12-05,19,11,0.45
1893-12-06,37,17,0.07
1893-12-07,43,26,0
1893-12-08,33,19,0
1893-12-09,39,28,0.34
1893-12-10,43,32,0.06
1893-12-11,39,13,0
1893-12-12,26,11,0
1893-12-13,21,0,0
1893-12-14,11,-6,0.04
1893-12-15,27,11,0.87
1893-12-16,52,22,0.45
1893-12-17,46,26,0.18
1893-12-18,26,12,0
1893-12-19,40,21,0.06
1893-12-20,33,14,0
1893-12-21,40,11,0
1893-12-22,37,29,0
1893-12-23,51,29,0
1893-12-24,53,39,0.02
1893-12-25,55,43,0
1893-12-26,52,16,0
1893-12-27,33,13,0
1893-12-28,39,21,0
1893-12-29,44,36,0.05
1893-12-30,37,22,0.24
1893-12-31,23,13,0.11
1894-01-01,29,16,0
1894-01-02,38,19,0
1894-01-03,39,27,0
1894-01-04,45,33,0
1894-01-05,44,33,0.07
1894-01-06,34,29,0.03
1894-01-07,37,29,0
1894-01-08,30,19,0
1894-01-09,25,16,0
1894-01-10,25,15,0.11
1894-01-11,30,12,0.07
1894-01-12,32,7,0.14
1894-01-13,20,-1,0
1894-01-14,32,14,0
1894-01-15,39,24,0
1894-01-16,41,32,0.27
1894-01-17,33,16,0
1894-01-18,33,15,0
1894-01-19,38,27,0.12
1894-01-20,29,17,0
1894-01-21,33,20,0
1894-01-22,45,29,0
1894-01-23,39,27,0
1894-01-24,53,31,0.09
1894-01-25,54,17,0.46
1894-01-26,27,9,0
1894-01-27,31,17,0.96
1894-01-28,27,14,0
1894-01-29,33,21,0.15
1894-01-30,37,20,0.71
1894-01-31,34,22,0
1894-02-01,25,21,0
1894-02-02,24,11,0
1894-02-03,37,19,0
1894-02-04,35,25,0.16
1894-02-05,25,8,0.06
1894-02-06,28,8,0
1894-02-07,41,20,0
1894-02-08,41,32,0
1894-02-09,37,29,0.12
1894-02-10,34,29,0.33
1894-02-11,34,24,0
1894-02-12,24,10,0.27
1894-02-13,24,6,0.83
1894-02-14,25,5,0.01
1894-02-15,34,22,0.75
1894-02-16,24,8,0
1894-02-17,31,-2,0
1894-02-18,47,31,0.39
1894-02-19,44,30,0.33
1894-02-20,38,28,0.1
1894-02-21,32,24,0
1894-02-22,37,17,0
1894-02-23,25,7,0
1894-02-24,7,-11,0
1894-02-25,19,-10,0
1894-02-26,27,11,0.18
1894-02-27,29,17,0
1894-02-28,39,22,0
1894-03-01,54,31,0
1894-03-02,51,31,0
1894-03-03,44,35,0
1894-03-04,53,31,0
1894-03-05,61,38,0
1894-03-06,66,41,0
1894-03-07,55,43,0
1894-03-08,42,32,0
1894-03-09,42,32,0
1894-03-10,51,33,0.01
1894-03-11,59,34,0.03
1894-03-12,49,37,0.03
1894-03-13,47,30,0
1894-03-14,40,30,0.08
1894-03-15,40,24,0.14
1894-03-16,47,25,0.01
1894-03-17,51,31,0
1894-03-18,59,34,0
1894-03-19,65,49,0
1894-03-20,52,33,0
1894-03-21,41,33,0.05
1894-03-22,51,33,0.06
1894-03-23,43,31,0.56
1894-03-24,47,27,0
1894-03-25,48,29,0.01
1894-03-26,38,24,0.02
1894-03-27,26,17,0
1894-03-28,36,15,0
1894-03-29,35,29,0.18
1894-03-30,42,25,0.03
1894-03-31,52,30,0
1894-04-01,62,42,0
1894-04-02,45,27,0
1894-04-03,43,16,0
1894-04-04,48,28,0.39
1894-04-05,53,43,0.12
1894-04-06,43,32,0.1
1894-04-07,47,25,0
1894-04-08,37,29,0.81
1894-04-09,35,28,0.16
1894-04-10,37,29,0
1894-04-11,34,30,0.14
1894-04-12,34,31,1.33
1894-04-13,35,31,0.1
1894-04-14,39,31,0
1894-04-15,47,36,0
1894-04-16,54,39,0
1894-04-17,55,41,0
1894-04-18,58,41,0
1894-04-19,56,39,0
1894-04-20,64,48,0
1894-04-21,60,50,0.02
1894-04-22,65,46,0.06
1894-04-23,64,43,0
1894-04-24,56,42,0.01
1894-04-25,61,37,0.09
1894-04-26,70,44,0
1894-04-27,76,48,0
1894-04-28,72,49,0
1894-04-29,58,41,0
1894-04-30,68,36,0
1894-05-01,80,51,0
1894-05-02,87,62,0
1894-05-03,70,47,0
1894-05-04,55,38,0.1
1894-05-05,72,43,0.07
1894-05-06,68,45,0.18
1894-05-07,77,53,0
1894-05-08,73,55,0
1894-05-09,70,49,0
1894-05-10,61,44,0
1894-05-11,63,38,0
1894-05-12,74,47,0
1894-05-13,79,49,0
1894-05-14,60,40,0
1894-05-15,63,38,0
1894-05-16,72,43,0
1894-05-17,72,51,0
1894-05-18,63,,0.02
1894-05-19,,50,0.54
1894-05-20,53,41,0.03
1894-05-21,47,41,0.01
1894-05-22,66,37,0
1894-05-23,71,46,0.02
1894-05-24,59,45,0.51
1894-05-25,55,46,0
1894-05-26,62,45,0
1894-05-27,70,47,0
1894-05-28,71,50,0
1894-05-29,60,51,0.91
1894-05-30,70,42,0
1894-05-31,55,44,0.74
1894-06-01,63,46,0.18
1894-06-02,64,47,0.12
1894-06-03,67,51,0.16
1894-06-04,80,53,0
1894-06-05,62,50,0
1894-06-06,63,42,0.01
1894-06-07,60,46,0.03
1894-06-08,71,45,0
1894-06-09,80,52,0
1894-06-10,82,58,0
1894-06-11,89,63,0
1894-06-12,79,52,0
1894-06-13,56,46,0
1894-06-14,78,49,0
1894-06-15,84,56,0
1894-06-16,88,63,0
1894-06-17,93,69,0
1894-06-18,86,66,0
1894-06-19,77,62,0
1894-06-20,76,63,0
1894-06-21,81,59,0.12
1894-06-22,87,62,0
1894-06-23,91,68,0.05
1894-06-24,77,52,0
1894-06-25,67,51,0
1894-06-26,84,63,0
1894-06-27,80,67,0
1894-06-28,87,65,0.05
1894-06-29,71,56,0.02
1894-06-30,78,56,0
1894-07-01,90,66,0
1894-07-02,89,66,0.17
1894-07-03,86,66,0.03
1894-07-04,87,64,0
1894-07-05,77,58,0
1894-07-06,78,57,0
1894-07-07,80,58,0.07
1894-07-08,67,52,0
1894-07-09,75,52,0
1894-07-10,75,54,0
1894-07-11,83,56,0
1894-07-12,78,65,0
1894-07-13,95,68,0
1894-07-14,82,65,0.24
1894-07-15,85,64,0
1894-07-16,75,61,0
1894-07-17,80,58,0
1894-07-18,82,62,0
1894-07-19,92,65,0
1894-07-20,97,71,0
1894-07-21,91,63,0.21
1894-07-22,67,55,0.68
1894-07-23,75,56,0
1894-07-24,79,59,0.79
1894-07-25,86,65,0.25
1894-07-26,80,68,0
1894-07-27,80,60,0
1894-07-28,95,67,0
1894-07-29,93,69,0.54
1894-07-30,85,67,0
1894-07-31,84,65,0
1894-08-01,70,61,0
1894-08-02,77,59,0
1894-08-03,77,66,0.6
1894-08-04,71,60,0.05
1894-08-05,76,56,0
1894-08-06,82,58,0
1894-08-07,85,60,0
1894-08-08,87,63,0
1894-08-09,80,57,0.09
1894-08-10,75,51,0.02
1894-08-11,71,51,0
1894-08-12,70,55,0
1894-08-13,65,60,0.59
1894-08-14,71,60,0.09
1894-08-15,74,59,0.03
1894-08-16,73,61,0
1894-08-17,70,54,0
1894-08-18,78,55,0
1894-08-19,83,63,0
1894-08-20,75,59,0.92
1894-08-21,64,50,0
1894-08-22,72,42,0
1894-08-23,84,58,0
1894-08-24,85,65,0
1894-08-25,85,62,0
1894-08-26,69,58,0
1894-08-27,63,50,0
1894-08-28,75,55,0
1894-08-29,64,54,0
1894-08-30,67,54,0
1894-08-31,75,,0
1894-09-01,73,55,0
1894-09-02,80,61,0
1894-09-03,71,53,0
1894-09-04,76,52,0
1894-09-05,80,63,0
1894-09-06,77,60,0.13
1894-09-07,81,59,0
1894-09-08,74,57,0.27
1894-09-09,86,65,0
1894-09-10,85,66,0.03
1894-09-11,73,57,0
1894-09-12,70,49,0
1894-09-13,72,52,0
1894-09-14,67,53,0
1894-09-15,78,60,0.5
1894-09-16,64,57,0
1894-09-17,65,60,0.05
1894-09-18,69,57,0
1894-09-19,61,57,0.38
1894-09-20,77,58,1.28
1894-09-21,76,57,0
1894-09-22,81,63,0
1894-09-23,79,60,0
1894-09-24,68,54,0
1894-09-25,62,44,0
1894-09-26,54,38,0
1894-09-27,61,44,0
1894-09-28,69,51,0
1894-09-29,75,54,0
1894-09-30,62,51,0.05
1894-10-01,62,45,0
1894-10-02,60,45,0
1894-10-03,65,48,0
1894-10-04,67,57,0.17
1894-10-05,68,52,0.28
1894-10-06,61,45,0.01
1894-10-07,62,40,0
1894-10-08,66,45,0
1894-10-09,62,52,0.6
1894-10-10,59,46,1.37
1894-10-11,59,43,0
1894-10-12,59,36,0
1894-10-13,59,46,0.58
1894-10-14,59,42,0.56
1894-10-15,48,34,0
1894-10-16,57,33,0
1894-10-17,64,46,0
1894-10-18,56,39,0
1894-10-19,65,40,0
1894-10-20,75,49,0
1894-10-21,60,47,0
1894-10-22,55,44,0
1894-10-23,48,42,0
1894-10-24,52,45,0
1894-10-25,47,43,0.67
1894-10-26,50,45,1.72
1894-10-27,61,37,0
1894-10-28,63,49,0
1894-10-29,56,45,0
1894-10-30,50,42,0.08
1894-10-31,61,47,0.52
1894-11-01,55,39,0
1894-11-02,62,40,0
1894-11-03,63,48,0.38
1894-11-04,54,40,0
1894-11-05,46,37,0.85
1894-11-06,39,27,1.03
1894-11-07,33,21,0
1894-11-08,28,23,0.31
1894-11-09,32,27,0.35
1894-11-10,39,31,0.52
1894-11-11,36,26,0
1894-11-12,29,19,0
1894-11-13,39,23,0.01
1894-11-14,40,32,0.12
1894-11-15,44,31,0
1894-11-16,58,38,0
1894-11-17,50,39,0.13
1894-11-18,39,27,0
1894-11-19,43,25,0
1894-11-20,30,9,0
1894-11-21,51,22,0.2
1894-11-22,46,35,0
1894-11-23,55,35,0
1894-11-24,48,32,0.02
1894-11-25,38,30,0.13
1894-11-26,31,21,0
1894-11-27,49,22,0
1894-11-28,41,18,0
1894-11-29,22,14,0
1894-11-30,27,11,0.05
1894-12-01,30,22,0.03
1894-12-02,33,29,0.47
1894-12-03,31,20,0.01
1894-12-04,35,19,0
1894-12-05,41,23,0
1894-12-06,42,26,0
1894-12-07,39,25,0
1894-12-08,36,30,0.04
1894-12-09,34,19,0.6
1894-12-10,27,16,0.11
1894-12-11,36,18,0.11
