Source:  https://www.nytimes.com/interactive/2020/world/coronavirus-maps.html,,,,,,
,,,,,,
Country,Cases,Deaths,,,,
China,"78,497","2,744",,,,
South Korea,"1,766",13,,,,
Japan,894,3,,,,
Italy,453,12,,,,
Iran,245,26,,,,
Singapore,93,0,,,,
Hong Kong,92,2,,,,
United States,60,0,,,,
Thailand,40,0,,,,
Bahrain,33,0,,,,
Taiwan,32,1,,,,
Germany,27,0,,,,
Kuwait,26,0,,,,
Australia,23,0,,,,
Malaysia,22,0,,,,
France,18,2,,,,
Vietnam,16,0,,,,
Britain,15,0,,,,
Spain,13,0,,,,
United Arab Emirates,13,0,,,,
Canada,11,0,,,,
Macau,10,0,,,,
Iraq,6,0,,,,
Switzerland,4,0,,,,
Oman,4,0,,,,
Philippines,3,1,,,,
Croatia,3,0,,,,
India,3,0,,,,
Austria,2,0,,,,
Finland,2,0,,,,
Israel,2,0,,,,
Russia,2,0,,,,
Sweden,2,0,,,,
Lebanon,2,0,,,,
Pakistan,2,0,,,,
Belgium,1,0,,,,
Brazil,1,0,,,,
Cambodia,1,0,,,,
Nepal,1,0,,,,
Sri Lanka,1,0,,,,
Egypt,1,0,,,,
Afghanistan,1,0,,,,
Algeria,1,0,,,,
Greece,1,0,,,,
Georgia,1,0,,,,
Norway,1,0,,,,
North Macedonia,1,0,,,,
Romania,1,0,,,,
Denmark,1,0,,,,
Estonia,1,0,,,,
