Largest rivers by discharge (source: https://en.wikipedia.org/wiki/List_of_rivers_by_discharge),,,,,,
No,Continent,River,Length (km),Drainage area (km2),Average discharge (m3/s),Outflow
,,,,,,
No,Continent,River,Length_km,Drainage_area_km2,Discharge_m3_s,Outflow_location
1,S. America,Amazon,6400,7050000,209000,Atlantic Ocean
2,Africa,Congo,4371,4014500,41200,Atlantic Ocean
3,S. America,Orinoco,2140,880000,40000,Atlantic Ocean
4,Asia,Ganges-Brahmaputra-Meghna,5425,1731334,38129,Bay of Bengal
5,S. America,Madeira,3380,1420000,31200,Amazon River
6,Asia,Yangtze,6418,1808500,30166,East China Sea
7,S. America,Negro,2230,691000,28400,Amazon River
8,S. America,Río de la Plata,290,3100000,22000,Atlantic Ocean
9,Asia,Brahmaputra,3848,712035,19800,Padma River
10,Asia,Yenisei,3438,2580000,19600,Kara Sea
11,S. America,Japurá,2615,267730,18620,Amazon River
12,S. America,Paraná,4880,2582672,17290,"Río de la Plata, Atlantic Ocean"
13,Asia,Lena,4472,2490000,16871,Laptev Sea
14,N. America,Saint Lawrence,3058,1030000,16800,Gulf of Saint Lawrence
15,N. America,Mississippi,3730,3202230,16792,Gulf of Mexico
16,S. America,Marañón,1737,358000,16708,Amazon River
17,Asia,Ganges,2510,907000,16648,Padma River
18,Asia,Mekong,4023,811000,16000,South China Sea
19,S. America,Tocantins,2699,920000,13600,Atlantic Ocean
20,S. America,Tapajos,1992,492481,13540,Amazon River
21,S. America,Ucayali,2670,337519,13500,Amazon River
22,Asia,Irrawaddy,2170,411000,13000,Andaman Sea
23,Asia,Ob' - Irtysh,5410,2990000,12475,Gulf of Ob
24,Asia,Amur,4352,1855000,11400,Sea of Okhotsk
25,S. America,Purus,3211,371042,10970,Amazon River
26,S. America,Beni,1599,283350,10300,Madeira River
27,N. America,Mackenzie - Peace - Finlay,4241,1790000,10300,Beaufort Sea
28,Africa,Kwah - Kasai,2272,881890,9873,Congo River
29,S. America,Xingu,1979,531250,9700,Amazon River
30,Asia,Pearl - Xi Jiang,2400,453700,9500,South China Sea
31,S. America,Mamoré,2200,595000,8800,Madeira River
32,S. America,Putumayo,1813,148000,8760,Amazon River
33,S. America,Juruá,2410,225828,8420,Amazon River
34,Africa,Kasai,2153,880200,8346,Congo River
