Year,Month,Day,Flow
2013,1,1,8440
2013,1,2,8750
2013,1,3,7240
2013,1,4,8810
2013,1,5,8410
2013,1,6,8530
2013,1,7,8790
2013,1,8,8620
2013,1,9,7840
2013,1,10,8180
2013,1,11,8050
2013,1,12,8240
2013,1,13,8520
2013,1,14,10100
2013,1,15,10900
2013,1,16,9780
2013,1,17,10200
2013,1,18,9450
2013,1,19,8490
2013,1,20,7910
2013,1,21,7520
2013,1,22,6370
2013,1,23,6440
2013,1,24,5990
2013,1,25,5530
2013,1,26,5220
2013,1,27,5090
2013,1,28,4900
2013,1,29,4e3
2013,1,30,4810
2013,1,31,12200
2013,2,1,16200
2013,2,2,11400
2013,2,3,10300
2013,2,4,8970
2013,2,5,8690
2013,2,6,8270
2013,2,7,8290
2013,2,8,7980
2013,2,9,7720
2013,2,10,8290
2013,2,11,8630
2013,2,12,8450
2013,2,13,8800
2013,2,14,8680
2013,2,15,8410
2013,2,16,8320
2013,2,17,8040
2013,2,18,6840
2013,2,19,5880
2013,2,20,6120
2013,2,21,5400
2013,2,22,5120
2013,2,23,4370
2013,2,24,5190
2013,2,25,5070
2013,2,26,5400
2013,2,27,5600
2013,2,28,6920
2013,3,1,7310
2013,3,2,6910
2013,3,3,6520
2013,3,4,6300
2013,3,5,6280
2013,3,6,5940
2013,3,7,4620
2013,3,8,4380
2013,3,9,4350
2013,3,10,4720
2013,3,11,5230
2013,3,12,7280
2013,3,13,19900
2013,3,14,16700
2013,3,15,12300
2013,3,16,10800
2013,3,17,9700
2013,3,18,9180
2013,3,19,8790
2013,3,20,9160
2013,3,21,8970
2013,3,22,8800
2013,3,23,8720
2013,3,24,9560
2013,3,25,10200
2013,3,26,1e4
2013,3,27,1e4
2013,3,28,10100
2013,3,29,9940
2013,3,30,9720
2013,3,31,9830
2013,4,1,9680
2013,4,2,9220
2013,4,3,8270
2013,4,4,7830
2013,4,5,7350
2013,4,6,6610
2013,4,7,6340
2013,4,8,6640
2013,4,9,7690
2013,4,10,12300
2013,4,11,20400
2013,4,12,21e3
2013,4,13,20200
2013,4,14,17400
2013,4,15,14800
2013,4,16,13200
2013,4,17,15200
2013,4,18,18e3
2013,4,19,18e3
2013,4,20,26500
2013,4,21,28500
2013,4,22,22200
2013,4,23,17100
2013,4,24,14500
2013,4,25,13100
2013,4,26,13100
2013,4,27,11600
2013,4,28,10400
2013,4,29,9170
2013,4,30,8580
2013,5,1,8340
2013,5,2,7580
2013,5,3,7400
2013,5,4,6730
2013,5,5,6350
2013,5,6,5530
2013,5,7,5370
2013,5,8,5090
2013,5,9,4890
2013,5,10,4920
2013,5,11,5080
2013,5,12,5850
2013,5,13,5330
2013,5,14,4770
2013,5,15,4590
2013,5,16,4420
2013,5,17,3980
2013,5,18,3460
2013,5,19,3410
2013,5,20,3380
2013,5,21,5060
2013,5,22,6030
2013,5,23,12300
2013,5,24,11700
2013,5,25,18300
2013,5,26,26700
2013,5,27,23200
2013,5,28,18200
2013,5,29,15800
2013,5,30,19e3
2013,5,31,16200
2013,6,1,13300
2013,6,2,13500
2013,6,3,16500
2013,6,4,12600
2013,6,5,10900
2013,6,6,8670
