"","Year","CO2_ppm"
"1",1959.03835616438,315.62
"2",1959.12328767123,316.38
"3",1959.2,316.71
"4",1959.28493150685,317.72
"5",1959.36712328767,318.29
"6",1959.45205479452,318.15
"7",1959.53424657534,316.54
"8",1959.61917808219,314.8
"9",1959.70410958904,313.84
"10",1959.78630136986,313.26
"11",1959.87123287671,314.8
"12",1959.95342465753,315.58
"13",1960.03825136612,316.43
"14",1960.12295081967,316.97
"15",1960.20218579235,317.58
"16",1960.2868852459,319.02
"17",1960.36885245902,320.03
"18",1960.45355191257,319.59
"19",1960.53551912568,318.18
"20",1960.62021857923,315.91
"21",1960.70491803279,314.16
"22",1960.7868852459,313.83
"23",1960.87158469945,315
"24",1960.95355191257,316.19
"25",1961.03835616438,316.93
"26",1961.12328767123,317.7
"27",1961.2,318.54
"28",1961.28493150685,319.48
"29",1961.36712328767,320.58
"30",1961.45205479452,319.77
"31",1961.53424657534,318.57
"32",1961.61917808219,316.79
"33",1961.70410958904,314.8
"34",1961.78630136986,315.38
"35",1961.87123287671,316.1
"36",1961.95342465753,317.01
"37",1962.03835616438,317.94
"38",1962.12328767123,318.56
"39",1962.2,319.68
"40",1962.28493150685,320.63
"41",1962.36712328767,321.01
"42",1962.45205479452,320.55
"43",1962.53424657534,319.58
"44",1962.61917808219,317.4
"45",1962.70410958904,316.26
"46",1962.78630136986,315.42
"47",1962.87123287671,316.69
"48",1962.95342465753,317.69
"49",1963.03835616438,318.74
"50",1963.12328767123,319.08
"51",1963.2,319.86
"52",1963.28493150685,321.39
"53",1963.36712328767,322.25
"54",1963.45205479452,321.47
"55",1963.53424657534,319.74
"56",1963.61917808219,317.77
"57",1963.70410958904,316.21
"58",1963.78630136986,315.99
"59",1963.87123287671,317.12
"60",1963.95342465753,318.31
"61",1964.03825136612,319.57
"62",1964.12295081967,320.07
"63",1964.20218579235,320.73
"64",1964.2868852459,321.77
"65",1964.36885245902,322.25
"66",1964.45355191257,321.89
"67",1964.53551912568,320.44
"68",1964.62021857923,318.7
"69",1964.70491803279,316.7
"70",1964.7868852459,316.79
"71",1964.87158469945,317.79
"72",1964.95355191257,318.71
"73",1965.03835616438,319.44
"74",1965.12328767123,320.44
"75",1965.2,320.89
"76",1965.28493150685,322.13
"77",1965.36712328767,322.16
"78",1965.45205479452,321.87
"79",1965.53424657534,321.39
"80",1965.61917808219,318.81
"81",1965.70410958904,317.81
"82",1965.78630136986,317.3
"83",1965.87123287671,318.87
"84",1965.95342465753,319.42
"85",1966.03835616438,320.62
"86",1966.12328767123,321.59
"87",1966.2,322.39
"88",1966.28493150685,323.87
"89",1966.36712328767,324.01
"90",1966.45205479452,323.75
"91",1966.53424657534,322.39
"92",1966.61917808219,320.37
"93",1966.70410958904,318.64
"94",1966.78630136986,318.1
"95",1966.87123287671,319.79
"96",1966.95342465753,321.08
"97",1967.03835616438,322.07
"98",1967.12328767123,322.5
"99",1967.2,323.04
"100",1967.28493150685,324.42
"101",1967.36712328767,325
"102",1967.45205479452,324.09
"103",1967.53424657534,322.55
"104",1967.61917808219,320.92
"105",1967.70410958904,319.31
"106",1967.78630136986,319.31
"107",1967.87123287671,320.72
"108",1967.95342465753,321.96
"109",1968.03825136612,322.57
"110",1968.12295081967,323.15
"111",1968.20218579235,323.89
"112",1968.2868852459,325.02
"113",1968.36885245902,325.57
"114",1968.45355191257,325.36
"115",1968.53551912568,324.14
"116",1968.62021857923,322.03
"117",1968.70491803279,320.41
"118",1968.7868852459,320.25
"119",1968.87158469945,321.31
"120",1968.95355191257,322.84
"121",1969.03835616438,324
"122",1969.12328767123,324.42
"123",1969.2,325.64
"124",1969.28493150685,326.66
"125",1969.36712328767,327.34
"126",1969.45205479452,326.76
"127",1969.53424657534,325.88
"128",1969.61917808219,323.67
"129",1969.70410958904,322.38
"130",1969.78630136986,321.78
"131",1969.87123287671,322.85
"132",1969.95342465753,324.11
"133",1970.03835616438,325.03
"134",1970.12328767123,325.99
"135",1970.2,326.87
"136",1970.28493150685,328.13
"137",1970.36712328767,328.07
"138",1970.45205479452,327.66
"139",1970.53424657534,326.35
"140",1970.61917808219,324.69
"141",1970.70410958904,323.1
"142",1970.78630136986,323.16
"143",1970.87123287671,323.98
"144",1970.95342465753,325.13
"145",1971.03835616438,326.17
"146",1971.12328767123,326.68
"147",1971.2,327.18
"148",1971.28493150685,327.78
"149",1971.36712328767,328.92
"150",1971.45205479452,328.57
"151",1971.53424657534,327.34
"152",1971.61917808219,325.46
