Date,Year,Month,Precip_inches,Anomaly_inches,state_cd
189501,1895,01,7.52,2.34,AL
189502,1895,02,2.66,-2.52,AL
189503,1895,03,7.62,1.46,AL
189504,1895,04,3.58,-1.23,AL
189505,1895,05,3.78,-0.46,AL
189506,1895,06,5.79,1.51,AL
189507,1895,07,4.51,-0.93,AL
189508,1895,08,5.13,0.79,AL
189509,1895,09,1.6,-2.18,AL
189510,1895,10,2.22,-0.61,AL
189511,1895,11,1.76,-2.09,AL
189512,1895,12,4.23,-0.92,AL
189601,1896,01,4.33,-0.85,AL
189602,1896,02,6.16,0.98,AL
189603,1896,03,5.44,-0.72,AL
189604,1896,04,3.54,-1.27,AL
189605,1896,05,3.24,-1,AL
189606,1896,06,5.44,1.16,AL
189607,1896,07,4.99,-0.45,AL
189608,1896,08,2.82,-1.52,AL
189609,1896,09,1.8,-1.98,AL
189610,1896,10,2.27,-0.56,AL
189611,1896,11,4.42,0.57,AL
189612,1896,12,1.71,-3.44,AL
189701,1897,01,3.73,-1.45,AL
189702,1897,02,6.32,1.14,AL
189703,1897,03,10.66,4.5,AL
189704,1897,04,4.1,-0.71,AL
189705,1897,05,1.6,-2.64,AL
189706,1897,06,1.97,-2.31,AL
189707,1897,07,4.72,-0.72,AL
189708,1897,08,6.07,1.73,AL
189709,1897,09,0.75,-3.03,AL
189710,1897,10,1.26,-1.57,AL
189711,1897,11,1.8,-2.05,AL
189712,1897,12,5.38,0.23,AL
189801,1898,01,3.92,-1.26,AL
189802,1898,02,2.11,-3.07,AL
189803,1898,03,3.12,-3.04,AL
189804,1898,04,4.49,-0.32,AL
189805,1898,05,0.95,-3.29,AL
189806,1898,06,3.86,-0.42,AL
189807,1898,07,6.05,0.61,AL
189808,1898,08,7.2,2.86,AL
189809,1898,09,3.46,-0.32,AL
189810,1898,10,3.84,1.01,AL
189811,1898,11,5.99,2.14,AL
189812,1898,12,3.85,-1.3,AL
189901,1899,01,6.18,1,AL
189902,1899,02,6.4,1.22,AL
189903,1899,03,6.31,0.15,AL
189904,1899,04,2.45,-2.36,AL
189905,1899,05,2.03,-2.21,AL
189906,1899,06,2.91,-1.37,AL
189907,1899,07,6.73,1.29,AL
189908,1899,08,3.86,-0.48,AL
189909,1899,09,0.53,-3.25,AL
189910,1899,10,2.64,-0.19,AL
189911,1899,11,2.97,-0.88,AL
189912,1899,12,5.38,0.23,AL
190001,1900,01,3.37,-1.81,AL
190002,1900,02,8.75,3.57,AL
190003,1900,03,5.96,-0.2,AL
190004,1900,04,8.69,3.88,AL
190005,1900,05,2.56,-1.68,AL
190006,1900,06,10.38,6.1,AL
190007,1900,07,4.74,-0.7,AL
190008,1900,08,3.12,-1.22,AL
190009,1900,09,4.06,0.28,AL
190010,1900,10,5.79,2.96,AL
190011,1900,11,3.33,-0.52,AL
190012,1900,12,5.1,-0.05,AL
190101,1901,01,4.97,-0.21,AL
190102,1901,02,4.45,-0.73,AL
190103,1901,03,6.34,0.18,AL
190104,1901,04,5.19,0.38,AL
190105,1901,05,5.3,1.06,AL
190106,1901,06,3.25,-1.03,AL
190107,1901,07,3.49,-1.95,AL
190108,1901,08,9.12,4.78,AL
190109,1901,09,4.49,0.71,AL
190110,1901,10,1.22,-1.61,AL
190111,1901,11,1.78,-2.07,AL
190112,1901,12,7.49,2.34,AL
190201,1902,01,3.7,-1.48,AL
190202,1902,02,6.93,1.75,AL
190203,1902,03,9.37,3.21,AL
190204,1902,04,2.36,-2.45,AL
190205,1902,05,2.52,-1.72,AL
190206,1902,06,1.35,-2.93,AL
190207,1902,07,2.87,-2.57,AL
190208,1902,08,3.77,-0.57,AL
190209,1902,09,4.22,0.44,AL
190210,1902,10,3.63,0.8,AL
190211,1902,11,4.11,0.26,AL
190212,1902,12,5.51,0.36,AL
190301,1903,01,3.62,-1.56,AL
190302,1903,02,10.61,5.43,AL
190303,1903,03,5.62,-0.54,AL
190304,1903,04,2.73,-2.08,AL
190305,1903,05,6.25,2.01,AL
190306,1903,06,4.75,0.47,AL
190307,1903,07,4.39,-1.05,AL
190308,1903,08,4.57,0.23,AL
190309,1903,09,1.58,-2.2,AL
190310,1903,10,1.95,-0.88,AL
190311,1903,11,2.12,-1.73,AL
190312,1903,12,3.23,-1.92,AL
190401,1904,01,4.24,-0.94,AL
190402,1904,02,4.13,-1.05,AL
190403,1904,03,3.78,-2.38,AL
190404,1904,04,2.32,-2.49,AL
190405,1904,05,3.05,-1.19,AL
190406,1904,06,3.22,-1.06,AL
190407,1904,07,5.01,-0.43,AL
190408,1904,08,5.81,1.47,AL
190409,1904,09,1.23,-2.55,AL
190410,1904,10,0.26,-2.57,AL
190411,1904,11,3.06,-0.79,AL
190412,1904,12,4.49,-0.66,AL
190501,1905,01,5.62,0.44,AL
190502,1905,02,7.54,2.36,AL
190503,1905,03,3.67,-2.49,AL
190504,1905,04,3.84,-0.97,AL
190505,1905,05,5.34,1.1,AL
190506,1905,06,5.01,0.73,AL
190507,1905,07,4.48,-0.96,AL
190508,1905,08,5.58,1.24,AL
190509,1905,09,2.29,-1.49,AL
190510,1905,10,4.25,1.42,AL
190511,1905,11,1.68,-2.17,AL
190512,1905,12,6.31,1.16,AL
190601,1906,01,4.82,-0.36,AL
190602,1906,02,2.45,-2.73,AL
190603,1906,03,8.66,2.5,AL
190604,1906,04,1.08,-3.73,AL
190605,1906,05,5.06,0.82,AL
190606,1906,06,3.74,-0.54,AL
190607,1906,07,7.79,2.35,AL
190608,1906,08,3.76,-0.58,AL
190609,1906,09,8.92,5.14,AL
190610,1906,10,3.52,0.69,AL
190611,1906,11,2.32,-1.53,AL
190612,1906,12,4.05,-1.1,AL
190701,1907,01,2.21,-2.97,AL
190702,1907,02,4.51,-0.67,AL
190703,1907,03,3.18,-2.98,AL
190704,1907,04,6.66,1.85,AL
190705,1907,05,8.21,3.97,AL
190706,1907,06,3.13,-1.15,AL
190707,1907,07,5.23,-0.21,AL
190708,1907,08,3.76,-0.58,AL
190709,1907,09,5.98,2.2,AL
190710,1907,10,1.42,-1.41,AL
190711,1907,11,6.36,2.51,AL
190712,1907,12,6.58,1.43,AL
190801,1908,01,4.19,-0.99,AL
190802,1908,02,6.87,1.69,AL
190803,1908,03,4.7,-1.46,AL
190804,1908,04,6.3,1.49,AL
190805,1908,05,5.5,1.26,AL
190806,1908,06,3.34,-0.94,AL
190807,1908,07,5.29,-0.15,AL
190808,1908,08,3.64,-0.7,AL
