Year,Month,Precip_inches,state_cd
1895,1,7.52,AL
1895,2,2.66,AL
1895,3,7.62,AL
1895,4,3.58,AL
1895,5,3.78,AL
1895,6,5.79,AL
1895,7,4.51,AL
1895,8,5.13,AL
1895,9,1.6,AL
1895,10,2.22,AL
1895,11,1.76,AL
1895,12,4.23,AL
1896,1,4.33,AL
1896,2,6.16,AL
1896,3,5.44,AL
1896,4,3.54,AL
1896,5,3.24,AL
1896,6,5.44,AL
1896,7,4.99,AL
1896,8,2.82,AL
1896,9,1.8,AL
1896,10,2.27,AL
1896,11,4.42,AL
1896,12,1.71,AL
1897,1,3.73,AL
1897,2,6.32,AL
1897,3,10.66,AL
1897,4,4.1,AL
1897,5,1.6,AL
1897,6,1.97,AL
1897,7,4.72,AL
1897,8,6.07,AL
1897,9,0.75,AL
1897,10,1.26,AL
1897,11,1.8,AL
1897,12,5.38,AL
1898,1,3.92,AL
1898,2,2.11,AL
1898,3,3.12,AL
1898,4,4.49,AL
1898,5,0.95,AL
1898,6,3.86,AL
1898,7,6.05,AL
1898,8,7.2,AL
1898,9,3.46,AL
1898,10,3.84,AL
1898,11,5.99,AL
1898,12,3.85,AL
1899,1,6.18,AL
1899,2,6.4,AL
1899,3,6.31,AL
1899,4,2.45,AL
1899,5,2.03,AL
1899,6,2.91,AL
1899,7,6.73,AL
1899,8,3.86,AL
1899,9,0.53,AL
1899,10,2.64,AL
1899,11,2.97,AL
1899,12,5.38,AL
1900,1,3.37,AL
1900,2,8.75,AL
1900,3,5.96,AL
1900,4,8.69,AL
1900,5,2.56,AL
1900,6,10.38,AL
1900,7,4.74,AL
1900,8,3.12,AL
1900,9,4.06,AL
1900,10,5.79,AL
1900,11,3.33,AL
1900,12,5.1,AL
1901,1,4.97,AL
1901,2,4.45,AL
1901,3,6.34,AL
1901,4,5.19,AL
1901,5,5.3,AL
1901,6,3.25,AL
1901,7,3.49,AL
1901,8,9.12,AL
1901,9,4.49,AL
1901,10,1.22,AL
1901,11,1.78,AL
1901,12,7.49,AL
1902,1,3.7,AL
1902,2,6.93,AL
1902,3,9.37,AL
1902,4,2.36,AL
1902,5,2.52,AL
1902,6,1.35,AL
1902,7,2.87,AL
1902,8,3.77,AL
1902,9,4.22,AL
1902,10,3.63,AL
1902,11,4.11,AL
1902,12,5.51,AL
1903,1,3.62,AL
1903,2,10.61,AL
1903,3,5.62,AL
1903,4,2.73,AL
1903,5,6.25,AL
1903,6,4.75,AL
1903,7,4.39,AL
1903,8,4.57,AL
1903,9,1.58,AL
1903,10,1.95,AL
1903,11,2.12,AL
1903,12,3.23,AL
1904,1,4.24,AL
1904,2,4.13,AL
1904,3,3.78,AL
1904,4,2.32,AL
1904,5,3.05,AL
1904,6,3.22,AL
1904,7,5.01,AL
1904,8,5.81,AL
1904,9,1.23,AL
1904,10,0.26,AL
1904,11,3.06,AL
1904,12,4.49,AL
1905,1,5.62,AL
1905,2,7.54,AL
1905,3,3.67,AL
1905,4,3.84,AL
1905,5,5.34,AL
1905,6,5.01,AL
1905,7,4.48,AL
1905,8,5.58,AL
1905,9,2.29,AL
1905,10,4.25,AL
1905,11,1.68,AL
1905,12,6.31,AL
1906,1,4.82,AL
1906,2,2.45,AL
1906,3,8.66,AL
1906,4,1.08,AL
1906,5,5.06,AL
1906,6,3.74,AL
1906,7,7.79,AL
1906,8,3.76,AL
1906,9,8.92,AL
1906,10,3.52,AL
1906,11,2.32,AL
1906,12,4.05,AL
1907,1,2.21,AL
1907,2,4.51,AL
1907,3,3.18,AL
1907,4,6.66,AL
1907,5,8.21,AL
1907,6,3.13,AL
1907,7,5.23,AL
1907,8,3.76,AL
1907,9,5.98,AL
1907,10,1.42,AL
1907,11,6.36,AL
1907,12,6.58,AL
1908,1,4.19,AL
1908,2,6.87,AL
1908,3,4.7,AL
1908,4,6.3,AL
1908,5,5.5,AL
1908,6,3.34,AL
1908,7,5.29,AL
1908,8,3.64,AL
1908,9,2.23,AL
1908,10,1.72,AL
1908,11,1.66,AL
1908,12,4.37,AL
1909,1,2.05,AL
1909,2,7.59,AL
1909,3,8.89,AL
1909,4,6.18,AL
1909,5,6.34,AL
1909,6,7.92,AL
1909,7,4.91,AL
1909,8,3.54,AL
1909,9,2.95,AL
1909,10,1.95,AL
1909,11,1.26,AL
1909,12,5.04,AL
1910,1,3.53,AL
1910,2,5.47,AL
1910,3,1.16,AL
1910,4,3.53,AL
1910,5,3.85,AL
1910,6,7.16,AL
1910,7,7.26,AL
1910,8,2.95,AL
1910,9,2.35,AL
1910,10,3.41,AL
1910,11,2.19,AL
1910,12,3.33,AL
1911,1,4.49,AL
1911,2,3.26,AL
1911,3,2.5,AL
1911,4,7.65,AL
1911,5,2.86,AL
1911,6,3.93,AL
1911,7,5.93,AL
1911,8,5.3,AL
1911,9,2.56,AL
1911,10,3.19,AL
1911,11,4.54,AL
1911,12,7.97,AL
1912,1,5.93,AL
1912,2,4.83,AL
1912,3,9.55,AL
1912,4,10.08,AL
1912,5,3.64,AL
1912,6,5.03,AL
1912,7,5.22,AL
1912,8,6.23,AL
1912,9,4.55,AL
1912,10,2.76,AL
1912,11,2.11,AL
1912,12,6.63,AL
1913,1,6.25,AL
1913,2,5.7,AL
1913,3,9.22,AL
1913,4,2.5,AL
1913,5,3.48,AL
1913,6,3.72,AL
1913,7,5.22,AL
1913,8,2.6,AL
1913,9,6.61,AL
1913,10,2.26,AL
1913,11,1.3,AL
1913,12,3.29,AL
1914,1,2.14,AL
1914,2,4.24,AL
1914,3,3.63,AL
1914,4,3.96,AL
1914,5,1.25,AL
1914,6,2.76,AL
1914,7,4.18,AL
1914,8,6.71,AL
1914,9,4.7,AL
1914,10,2.84,AL
1914,11,4.01,AL
1914,12,4.91,AL
1915,1,6.02,AL
1915,2,4.93,AL
1915,3,3.23,AL
1915,4,0.47,AL
1915,5,6.19,AL
1915,6,3.8,AL
1915,7,5.19,AL
1915,8,5.03,AL
1915,9,4.11,AL
1915,10,4.86,AL
1915,11,3.26,AL
1915,12,6.08,AL
1916,1,4.02,AL
1916,2,4.01,AL
1916,3,2.94,AL
1916,4,2.86,AL
1916,5,4.69,AL
1916,6,3.49,AL
1916,7,17.59,AL
1916,8,3.49,AL
1916,9,2.16,AL
1916,10,1.77,AL
1916,11,2.8,AL
1916,12,4.71,AL
1917,1,6.63,AL
1917,2,5.52,AL
1917,3,9.13,AL
1917,4,3.64,AL
1917,5,2.44,AL
1917,6,3.3,AL
1917,7,6.1,AL
1917,8,5.84,AL
1917,9,6.1,AL
1917,10,1.45,AL
1917,11,1.47,AL
1917,12,1.78,AL
1918,1,7.28,AL
1918,2,2.33,AL
1918,3,0.85,AL
1918,4,7.47,AL
1918,5,2.63,AL
1918,6,4.11,AL
1918,7,3.86,AL
1918,8,3.6,AL
1918,9,4.11,AL
1918,10,8.37,AL
1918,11,5.16,AL
1918,12,6,AL
1919,1,5.67,AL
1919,2,7.03,AL
1919,3,7.25,AL
1919,4,3.3,AL
1919,5,6.44,AL
1919,6,4.36,AL
1919,7,6.91,AL
1919,8,7.37,AL
1919,9,0.92,AL
1919,10,4.66,AL
1919,11,5.03,AL
1919,12,7.04,AL
1920,1,6.54,AL
1920,2,4.15,AL
1920,3,7.44,AL
1920,4,9.34,AL
1920,5,5.06,AL
1920,6,4.54,AL
1920,7,5.13,AL
1920,8,6.85,AL
1920,9,3.03,AL
1920,10,1.03,AL
1920,11,3.09,AL
1920,12,8.04,AL
1921,1,3.22,AL
1921,2,5.39,AL
1921,3,5.01,AL
1921,4,6.85,AL
1921,5,2.1,AL
1921,6,2.02,AL
1921,7,5.05,AL
1921,8,4.16,AL
1921,9,2.54,AL
1921,10,2.24,AL
1921,11,3.42,AL
1921,12,3.44,AL
1922,1,6.93,AL
1922,2,6.03,AL
1922,3,10.14,AL
1922,4,4.38,AL
1922,5,6.76,AL
1922,6,3.88,AL
1922,7,4.24,AL
1922,8,3.01,AL
1922,9,1.69,AL
1922,10,2.35,AL
1922,11,1.94,AL
1922,12,7.2,AL
1923,1,4.27,AL
1923,2,5.84,AL
1923,3,6.49,AL
