State,Avg_precip,Pre_precip,Post_precip
AL,55.163333333333334,54.0536923076923,56.40689655172413
AZ,12.285691056910569,12.319846153846154,12.24741379310345
AR,49.70276422764228,48.96861538461538,50.52551724137931
CA,22.18341463414634,22.02923076923077,22.356206896551722
CO,18.028536585365856,17.999692307692307,18.06086206896552
CT,47.11048780487805,46.71584615384616,47.55275862068966
DE,43.51943089430895,43.27830769230769,43.789655172413795
FL,53.66113821138212,53.81138461538461,53.492758620689656
GA,49.86333333333334,49.53415384615384,50.23224137931034
ID,23.760325203252034,23.376307692307694,24.190689655172413
IL,37.866341463414635,36.67615384615385,39.200172413793105
IN,40.304146341463415,39.210153846153844,41.5301724137931
IA,32.48105691056911,31.109538461538463,34.018103448275866
KS,27.20552845528455,26.364153846153844,28.14844827586207
KY,47.37,46.416,48.43913793103448
LA,56.97536585365854,55.77138461538462,58.32465517241379
ME,42.64292682926829,41.35969230769231,44.081034482758625
MD,42.73764227642277,42.24569230769231,43.28896551724138
MA,45.28048780487805,43.893692307692305,46.83465517241379
MI,31.51853658536585,30.41030769230769,32.76051724137931
MN,26.347398373983737,25.36353846153846,27.450000000000003
MS,55.55756097560976,53.93030769230769,57.38120689655173
MO,40.954471544715446,40.18615384615385,41.81551724137931
MT,18.720243902439023,18.634923076923076,18.815862068965515
NE,22.735365853658536,22.203846153846154,23.331034482758618
NV,10.212276422764226,10.036307692307691,10.409482758620689
NH,44.250162601626016,42.75692307692307,45.923620689655166
NJ,45.302845528455286,44.852000000000004,45.80810344827586
NM,13.951869918699188,13.837692307692308,14.079827586206896
NY,40.795528455284554,39.81415384615384,41.89534482758621
NC,49.26430894308943,49.13984615384615,49.40379310344828
ND,17.510650406504066,17.087384615384615,17.985
OH,38.701544715447156,38.28938461538461,39.163448275862066
OK,33.79105691056911,32.870615384615384,34.82258620689655
OR,32.173658536585364,31.733846153846155,32.66655172413793
PA,42.3170731707317,41.8063076923077,42.88948275862069
RI,45.84349593495935,44.61492307692308,47.22034482758621
SC,47.64617886178861,47.05230769230769,48.31172413793104
SD,19.21479674796748,18.63569230769231,19.863793103448277
TN,51.84772357723577,50.63892307692308,53.202413793103446
TX,27.202357723577236,26.40707692307692,28.093620689655168
UT,13.444146341463416,13.269846153846153,13.639482758620689
VT,42.44471544715447,40.70123076923077,44.398620689655175
VA,43.1580487804878,42.72461538461538,43.643793103448274
WA,42.30626016260163,41.631692307692305,43.06224137931034
WV,44.841626016260165,44.670153846153845,45.033793103448275
WI,31.558780487804878,30.590769230769233,32.64362068965517
WY,15.871544715447154,15.796461538461537,15.955689655172414
