Year,Month,Avg_Temp_F,state_cd
1895,01,43.1,AL
1895,02,37.4,AL
1895,03,54.5,AL
1895,04,63.4,AL
1895,05,69.5,AL
1895,06,77.5,AL
1895,07,79.2,AL
1895,08,79.5,AL
1895,09,77.8,AL
1895,10,59.7,AL
1895,11,53.2,AL
1895,12,44.9,AL
1896,01,43.5,AL
1896,02,47.7,AL
1896,03,52.5,AL
1896,04,68,AL
1896,05,75.9,AL
1896,06,77.4,AL
1896,07,81.2,AL
1896,08,82.2,AL
1896,09,75.9,AL
1896,10,63.2,AL
1896,11,57.3,AL
1896,12,46.4,AL
1897,01,41.8,AL
1897,02,51.1,AL
1897,03,60.2,AL
1897,04,62.4,AL
1897,05,69,AL
1897,06,81.2,AL
1897,07,81.5,AL
1897,08,78.8,AL
1897,09,75.6,AL
1897,10,67.1,AL
1897,11,54.2,AL
1897,12,47.4,AL
1898,01,49,AL
1898,02,46.1,AL
1898,03,59.2,AL
1898,04,58.8,AL
1898,05,74.1,AL
1898,06,80.4,AL
1898,07,80,AL
1898,08,78.8,AL
1898,09,75.2,AL
1898,10,61,AL
1898,11,49.8,AL
1898,12,43.4,AL
1899,01,43.8,AL
1899,02,40,AL
1899,03,55.6,AL
1899,04,61.7,AL
1899,05,76.1,AL
1899,06,79.9,AL
1899,07,80.4,AL
1899,08,80.9,AL
1899,09,72.8,AL
1899,10,66,AL
1899,11,55.3,AL
1899,12,44.7,AL
1900,01,43.6,AL
1900,02,44.4,AL
1900,03,52.9,AL
1900,04,64.2,AL
1900,05,71.4,AL
1900,06,76.3,AL
1900,07,79.8,AL
1900,08,81.2,AL
1900,09,77.6,AL
1900,10,68.2,AL
1900,11,54.7,AL
1900,12,46.6,AL
1901,01,46,AL
1901,02,43.1,AL
1901,03,53.3,AL
1901,04,58.1,AL
1901,05,70.6,AL
1901,06,78.8,AL
1901,07,82.4,AL
1901,08,78.7,AL
1901,09,72.4,AL
1901,10,62.5,AL
1901,11,48.7,AL
1901,12,42.1,AL
1902,01,43.2,AL
1902,02,40.8,AL
1902,03,55.1,AL
1902,04,62.1,AL
1902,05,75.7,AL
1902,06,81.2,AL
1902,07,83.1,AL
1902,08,82.3,AL
1902,09,73.6,AL
1902,10,63.1,AL
1902,11,57.6,AL
1902,12,45.2,AL
1903,01,43.4,AL
1903,02,48.2,AL
1903,03,59.5,AL
1903,04,61.1,AL
1903,05,69.8,AL
1903,06,73.6,AL
1903,07,80.4,AL
1903,08,80.6,AL
1903,09,73.2,AL
1903,10,63.2,AL
1903,11,50.6,AL
1903,12,40.1,AL
1904,01,41.1,AL
1904,02,48.9,AL
1904,03,58.1,AL
1904,04,60,AL
1904,05,70.2,AL
1904,06,78.1,AL
1904,07,78.6,AL
1904,08,78.6,AL
1904,09,77,AL
1904,10,64.6,AL
1904,11,52.1,AL
1904,12,45.9,AL
1905,01,38.6,AL
1905,02,39.1,AL
1905,03,59.1,AL
1905,04,63.7,AL
1905,05,74.5,AL
1905,06,79.4,AL
1905,07,79.8,AL
1905,08,79.4,AL
1905,09,76.2,AL
1905,10,63.7,AL
1905,11,55.4,AL
1905,12,42.7,AL
1906,01,46.2,AL
1906,02,45.1,AL
1906,03,50.9,AL
1906,04,64.9,AL
1906,05,69.9,AL
1906,06,79.1,AL
1906,07,79.2,AL
1906,08,80.5,AL
1906,09,78.3,AL
1906,10,60.6,AL
1906,11,55,AL
1906,12,49.6,AL
1907,01,53.6,AL
1907,02,48.3,AL
1907,03,64.3,AL
1907,04,58.1,AL
1907,05,68.3,AL
1907,06,75.6,AL
1907,07,81.2,AL
1907,08,80.5,AL
1907,09,75.2,AL
1907,10,63.3,AL
1907,11,51,AL
1907,12,45.3,AL
1908,01,43.4,AL
1908,02,44,AL
1908,03,62.2,AL
1908,04,67.4,AL
1908,05,71.8,AL
1908,06,78,AL
1908,07,80.3,AL
1908,08,79.7,AL
1908,09,74.5,AL
1908,10,60.3,AL
1908,11,56.8,AL
1908,12,50.1,AL
1909,01,49.6,AL
1909,02,50.2,AL
1909,03,55.9,AL
1909,04,63.1,AL
1909,05,69,AL
1909,06,78.2,AL
1909,07,80.4,AL
1909,08,81,AL
1909,09,75.3,AL
1909,10,63.2,AL
1909,11,59.5,AL
1909,12,40.8,AL
1910,01,45.3,AL
1910,02,44.9,AL
1910,03,60.6,AL
1910,04,61.7,AL
1910,05,69,AL
1910,06,75.5,AL
1910,07,78.8,AL
1910,08,79.6,AL
1910,09,77.4,AL
1910,10,66.4,AL
1910,11,50.9,AL
1910,12,41.9,AL
1911,01,49.9,AL
1911,02,54.2,AL
1911,03,57.7,AL
1911,04,63.5,AL
1911,05,72.7,AL
1911,06,80.7,AL
1911,07,78.1,AL
1911,08,79,AL
1911,09,80.2,AL
1911,10,68.5,AL
1911,11,50.1,AL
1911,12,49.3,AL
1912,01,40.2,AL
1912,02,42.7,AL
1912,03,52.3,AL
1912,04,64.4,AL
1912,05,72,AL
1912,06,75.1,AL
1912,07,79.7,AL
1912,08,79.1,AL
1912,09,76.9,AL
1912,10,65.9,AL
1912,11,50.2,AL
1912,12,46.9,AL
1913,01,51.2,AL
1913,02,46.8,AL
1913,03,55,AL
1913,04,62,AL
1913,05,71.4,AL
1913,06,77.8,AL
1913,07,81.3,AL
1913,08,80.6,AL
1913,09,73.2,AL
1913,10,60.8,AL
1913,11,55.8,AL
1913,12,47.4,AL
1914,01,47,AL
1914,02,45.4,AL
1914,03,50,AL
1914,04,63.8,AL
1914,05,71.6,AL
1914,06,83.1,AL
1914,07,81.8,AL
1914,08,79.2,AL
1914,09,73.2,AL
1914,10,63.8,AL
1914,11,52.3,AL
1914,12,42.8,AL
1915,01,42.5,AL
1915,02,47.8,AL
1915,03,46.4,AL
1915,04,64.3,AL
1915,05,74.3,AL
1915,06,78.5,AL
1915,07,80.4,AL
1915,08,79.1,AL
1915,09,76.4,AL
1915,10,66.3,AL
1915,11,56.3,AL
1915,12,46.1,AL
1916,01,51.8,AL
1916,02,46.8,AL
1916,03,53.8,AL
1916,04,61.8,AL
1916,05,73,AL
1916,06,77.1,AL
1916,07,78.6,AL
1916,08,79.8,AL
1916,09,73.6,AL
1916,10,64.2,AL
1916,11,54,AL
1916,12,46.8,AL
1917,01,49.7,AL
1917,02,48.4,AL
1917,03,56.4,AL
1917,04,63.6,AL
1917,05,66,AL
1917,06,77.8,AL
1917,07,79.8,AL
1917,08,78.4,AL
1917,09,73.2,AL
1917,10,58.5,AL
1917,11,50.6,AL
1917,12,39.8,AL
1918,01,37.4,AL
1918,02,53.2,AL
1918,03,61.8,AL
1918,04,60.9,AL
1918,05,72.6,AL
1918,06,79.6,AL
1918,07,78.2,AL
1918,08,80.3,AL
1918,09,70.4,AL
1918,10,68.6,AL
1918,11,52.6,AL
1918,12,49.8,AL
1919,01,44,AL
1919,02,47.5,AL
1919,03,56.1,AL
1919,04,62.3,AL
1919,05,69,AL
1919,06,78.2,AL
1919,07,79.7,AL
1919,08,79.2,AL
1919,09,75.1,AL
1919,10,74,AL
1919,11,57,AL
1919,12,47,AL
1920,01,46.9,AL
1920,02,46.2,AL
1920,03,52.1,AL
1920,04,62.2,AL
1920,05,70.4,AL
1920,06,76.9,AL
1920,07,79.4,AL
1920,08,77.6,AL
1920,09,76.8,AL
1920,10,63.8,AL
1920,11,50.6,AL
1920,12,44.7,AL
1921,01,49.3,AL
1921,02,50.3,AL
1921,03,63.4,AL
1921,04,61.8,AL
1921,05,69.9,AL
1921,06,80.5,AL
1921,07,81.4,AL
1921,08,80.4,AL
1921,09,80.9,AL
1921,10,62.4,AL
1921,11,57.6,AL
1921,12,50.6,AL
1922,01,46.4,AL
1922,02,53.8,AL
1922,03,55.4,AL
1922,04,66.3,AL
1922,05,71.6,AL
1922,06,78.5,AL
1922,07,79.8,AL
1922,08,78.8,AL
1922,09,77,AL
1922,10,64.6,AL
1922,11,56.5,AL
1922,12,53.3,AL
1923,01,50.9,AL
1923,02,46.8,AL
1923,03,54.2,AL
1923,04,62.8,AL
1923,05,69.1,AL
1923,06,76.6,AL
1923,07,78.5,AL
1923,08,78.7,AL
1923,09,75.8,AL
1923,10,63,AL
1923,11,51.1,AL
1923,12,53.5,AL
1924,01,40.6,AL
1924,02,46.5,AL
1924,03,50.4,AL
1924,04,62.6,AL
1924,05,67.3,AL
1924,06,79.5,AL
1924,07,79.7,AL
1924,08,81.5,AL
1924,09,72.4,AL
1924,10,64,AL
1924,11,55.1,AL
1924,12,47.4,AL
1925,01,47.1,AL
1925,02,52.2,AL
1925,03,57.2,AL
1925,04,67.3,AL
1925,05,69.4,AL
1925,06,80.6,AL
1925,07,81.6,AL
1925,08,80.4,AL
1925,09,83.1,AL
1925,10,64.8,AL
1925,11,51.8,AL
1925,12,44,AL
1926,01,43.8,AL
1926,02,50.1,AL
1926,03,49,AL
1926,04,60.4,AL
1926,05,70,AL
1926,06,77.3,AL
1926,07,79.1,AL
1926,08,80.3,AL
1926,09,79,AL
1926,10,66,AL
1926,11,49.4,AL
1926,12,50.4,AL
1927,01,47.8,AL
1927,02,57.7,AL
1927,03,56,AL
1927,04,67.6,AL
1927,05,72.6,AL
1927,06,78,AL
1927,07,80.6,AL
1927,08,78,AL
1927,09,77.1,AL
1927,10,66.5,AL
1927,11,59.3,AL
1927,12,45.8,AL
1928,01,44,AL
1928,02,47.3,AL
1928,03,55.2,AL
1928,04,59.2,AL
1928,05,69.1,AL
1928,06,75.8,AL
1928,07,80.5,AL
1928,08,80.6,AL
1928,09,72.9,AL
1928,10,67.2,AL
