SAMPLE_ID,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH_m,DIVISION,DISTRICT,THANA,UNION,MOUZA,As_ugL,Al_mgL,B__mgL,Ba_mgL,Ca_mgL,Co_mgL,Cr_mgL,Cu_mgL,Fe_mgL,K__mgL,Li_mgL,Mg_mgL,Mn_mgL,Na_mgL,P__mgL,Si_mgL,SO4_mgL,Sr_mgL,V__mgL,Zn_mgL
S98_00701,22.8731,90.7844,1992,Shallow HP TW,10.7,Chittagong,Lakshmipur,Lakshmipur Sadar,Shakchar,Char Ramani Mohan,13,0.04,0.27,0.096,49.6,0.008,0.02,0.008,1.17,11.1,0.003,32.7,0.624,211,0.7,12.2,1.2,0.304,0.006,0.049
S98_00718,23.0194,90.8786,1971,Shallow HP TW,12.2,Chittagong,Lakshmipur,Lakshmipur Sadar,Baksipur,Nandigram,256,0.04,0.04,0.01,56.9,0.008,0.02,0.008,1.74,6.9,0.003,29.9,0.447,7.9,1.2,13.9,0.2,0.246,0.006,0.031
S98_00724,22.965,90.9597,1995,Private HP TW,12.2,Chittagong,Lakshmipur,Lakshmipur Sadar,Uttar Joypur,Chandra Prabhabag,38,0.04,0.26,0.013,16.6,0.008,0.02,0.008,0.317,7.1,0.003,15.7,0.231,205,0.6,13.8,1.5,0.108,0.006,0.021
S98_00727,22.9253,90.9744,1997,Private HP TW,262.1,Chittagong,Lakshmipur,Lakshmipur Sadar,Chandraganj,Ganipur,8,0.04,0.03,0.383,111,0.008,0.02,0.008,9.46,6.9,0.018,75.8,0.294,201,0.3,27.2,4.9,0.873,0.006,0.067
S98_00733,22.8653,90.9372,1993,Private HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,Madna,6,0.07,0.82,0.073,81,0.008,0.02,0.008,0.59,30.2,0.012,124,1.17,1090,0.5,10.3,265,0.797,0.009,0.054
S98_00734,22.8525,90.9058,1990,Village HP TW,182.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,Farasganj,6,0.04,0.05,0.069,27.9,0.008,0.02,0.008,0.716,6,0.006,16.9,0.051,43.8,0.2,21.4,0.2,0.216,0.006,0.008
S98_00736,22.8567,90.8642,1991,Unicef/DPHE HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Bhabaniganj,Char Monasa,15,0.04,0.25,0.014,28.3,0.008,0.02,0.008,0.154,12.4,0.003,22.4,0.295,203,0.3,10.5,6.9,0.176,0.006,0.012
S98_00749,22.9322,90.7767,1994,Private HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Char Ruhita,Char Ruhita,65,0.04,0.16,0.052,81.1,0.008,0.02,0.008,3.12,11.9,0.003,67.2,1.79,60.7,0.5,11.6,17.9,0.444,0.006,0.008
S98_00752,22.9347,90.8294,1992,"Urban supply well, DPTW1",318,Chittagong,Lakshmipur,Lakshmipur Sadar,Lakshmipur Paurashava,,6,0.04,0.04,0.068,24,0.008,0.02,0.008,1.19,3.7,0.004,16.9,0.076,32.3,0.3,27.2,0.2,0.209,0.006,0.008
S98_00756,22.9414,90.8644,1991,Private HP TW,14,Chittagong,Lakshmipur,Lakshmipur Sadar,Laharkandi,Athiatali,142,0.04,0.08,0.011,22,0.008,0.02,0.008,3.92,4.6,0.004,18.6,1.29,48.6,0.4,15.5,0.8,0.13,0.006,0.352
S98_00777,23.5331,89.79,1994,Private HP TW,26.2,Dhaka,Faridpur,Faridpur Sadar,Kanaipur,Solakunda,41,0.04,0.02,0.155,115,0.008,0.02,0.008,5.69,3.9,0.003,23.2,0.754,13.1,1.4,14.1,0.2,0.293,0.006,0.016
S98_00781,23.5347,89.8675,1995,Private HP TW,32,Dhaka,Faridpur,Faridpur Sadar,Greda,Jayar,162,0.04,0.05,0.081,49.2,0.008,0.02,0.008,3.37,6.1,0.003,37,0.041,14,2.1,17.1,0.2,0.26,0.006,0.008
S98_00784,23.5969,89.8769,1968,Private HP TW,20.1,Dhaka,Faridpur,Faridpur Sadar,Aliabad,Bhajandanga,57,0.04,0.02,0.136,129,0.008,0.02,0.008,2.21,3.9,0.003,25.9,1.26,9.6,0.3,14.1,0.4,0.428,0.006,0.008
S98_00791,23.6603,89.7639,1978,Private HP TW,28,Dhaka,Faridpur,Faridpur Sadar,Ishan Gopalpur,Durgapur,245,0.04,0.03,0.168,125,0.008,0.02,0.008,5.97,5.2,0.003,28.4,2.86,14.4,0.6,11.8,0.2,0.45,0.006,0.014
S98_00796,23.5825,89.8403,1990,Campus HP TW,137.2,Dhaka,Faridpur,Faridpur Sadar,Kaijuri,Habeli Rajapur,6,0.04,0.1,0.123,67.2,0.008,0.02,0.008,1.73,3.4,0.007,28.4,0.371,148,0.3,19.6,0.2,0.353,0.006,0.015
S98_00798,23.5872,89.8133,1988,HP TW,213.4,Dhaka,Faridpur,Faridpur Sadar,Faridpur Paurashava,,6,0.04,0.05,0.229,125,0.008,0.02,0.008,5.74,5.1,0.009,49.1,0.133,67.3,0.2,10.2,0.2,0.58,0.006,6.27
S98_00818,23.6669,89.8369,1987,Private HP TW,21.9,Dhaka,Faridpur,Faridpur Sadar,Char Madhabdia,Dakshin (S) Decree Char Madabdia,6,0.04,0.03,0.125,115,0.008,0.02,0.008,0.119,5.3,0.003,24.3,0.884,12.9,0.2,10.9,21.7,0.415,0.006,0.008
S98_00821,23.5753,89.7178,1997,Private HP TW,18.3,Dhaka,Faridpur,Faridpur Sadar,Krishnanagar,Bhabukdia,132,0.04,0.03,0.151,122,0.008,0.02,0.009,5.57,3.3,0.003,27.5,0.651,17.6,1.1,14.4,0.2,0.357,0.006,0.009
S98_00824,23.6139,89.7936,1995,Private HP TW,15.8,Dhaka,Faridpur,Faridpur Sadar,Majchar,Dayarampur,10,0.04,0.02,0.094,92.1,0.008,0.02,0.008,0.604,3.5,0.003,22.2,0.557,13.3,0.2,15.4,13.5,0.35,0.006,0.008
S98_00829,23.5819,89.835,1994,Private HP TW,36.6,Dhaka,Faridpur,Faridpur Sadar,Kaijuri,Habeli Rajapur,6,0.04,0.03,0.078,67,0.008,0.02,0.008,11,4,0.003,46.9,0.088,17,3.2,38,0.3,0.363,0.006,0.008
S98_00854,24.6017,88.2767,1990,Tara pump DPHE,34,Rajshahi,Nawabganj,Nawabganj Sadar,Nawabganj Paurashava,Paurashava,35,0.04,0.01,0.152,110,0.008,0.02,0.008,0.627,5.6,0.003,26.6,0.764,28.6,0.2,14.5,18.7,0.254,0.006,0.008
S98_00858,24.6403,88.3783,1995,Private HP TW,42.7,Rajshahi,Nawabganj,Nawabganj Sadar,Jhilim,Jalahar,6,0.04,0.04,0.062,75.4,0.008,0.02,0.008,0.045,0.8,0.005,24.7,0.035,54.5,0.2,18,3.9,0.391,0.006,0.008
