River,Length_Drainage_Ratio
Amazon,6400/7050000
Congo,4371/4014500
Orinoco,2140/880000
Ganges-Brahmaputra-Meghna,5425/1731334
Madeira,3380/1420000
Yangtze,6418/1808500
Negro,2230/691000
Rio de la Plata,290/3100000
Brahmaputra,3848/712035
Yenisei,3438/2580000
Japura,2615/267730
Parana,4880/2582672
Lena,4472/2490000
Saint Lawrence,3058/1030000
Mississippi,3730/3202230
Maranon,1737/358000
Ganges,2510/907000
Mekong,4023/811000
Tocantins,2699/920000
Tapajos,1992/492481
Ucayali,2670/337519
Irrawaddy,2170/411000
Ob-Irtysh,5410/2990000
Amur,4352/1855000
Purus,3211/371042
Beni,1599/283350
