"Source: Bardwell, 1966 (The Mountain Geologist), Table 1",,,
,,,
Year,Month,Inject_vol_mil_gal,Num_earthquakes
1962,3,4.2,0
1962,4,7.2,2
1962,5,8.4,12
1962,6,8,35
1962,7,5.2,23
1962,8,6,29
1962,9,5,24
1962,10,5.6,8
1962,11,4,6
1962,12,3.6,20
1963,1,6,25
1963,2,7.6,22
1963,3,7.8,21
1963,4,6.4,42
1963,5,3.6,21
1963,6,4,8
1963,7,3.4,6
1963,8,2.4,10
1963,9,3.9,11
1963,10,0,12
1963,11,0,4
1963,12,0,2
1964,1,0,5
1964,2,0,2
1964,3,0,9
1964,4,0,9
1964,5,0,2
1964,6,0,4
1964,7,0,4
1964,8,0,5
1964,9,0.6,2
1964,10,1.8,14
1964,11,2.4,2
1964,12,2,7
1965,1,2,1
1965,2,1.7,30
1965,3,1.6,9
1965,4,3.6,19
1965,5,4,11
1965,6,6.4,38
1965,7,8.9,62
1965,8,5.4,48
1965,9,6.4,87
1965,10,3.8,5
