Year,Month,Day
2018,1,1
2018,1,6
2018,1,11
2018,1,16
2018,1,21
2018,1,26
2018,1,31
2018,2,5
2018,2,10
2018,2,15
2018,2,20
2018,2,25
2018,3,2
2018,3,7
2018,3,12
2018,3,17
2018,3,22
2018,3,27
2018,4,1
2018,4,6
2018,4,11
2018,4,16
2018,4,21
2018,4,26
2018,5,1
2018,5,6
2018,5,11
2018,5,16
2018,5,21
2018,5,26
2018,5,31
2018,6,5
2018,6,10
2018,6,15
2018,6,20
2018,6,25
2018,6,30
2018,7,5
2018,7,10
2018,7,15
2018,7,20
2018,7,25
2018,7,30
2018,8,4
2018,8,9
2018,8,14
2018,8,19
2018,8,24
2018,8,29
2018,9,3
2018,9,8
2018,9,13
2018,9,18
2018,9,23
2018,9,28
2018,10,3
2018,10,8
2018,10,13
2018,10,18
2018,10,23
2018,10,28
2018,11,2
2018,11,7
2018,11,12
2018,11,17
2018,11,22
2018,11,27
2018,12,2
2018,12,7
2018,12,12
2018,12,17
2018,12,22
2018,12,27
