source: https://www.wunderground.com/history/monthly/us/ny/schenectady/KSCH/date/2018-11,,,
"Data date coverage: Nov 1-30, 2018",,,
,,,
Nov,Max,Avg,Min
1,53,50,46
2,59,54,48
3,50,46,42
4,50,44,35
5,46,44,42
6,51,48,44
7,57,52,46
8,46,42,35
9,39,37,35
10,39,36,33
11,39,34,30
12,46,38,30
13,37,35,33
14,32,28,23
15,26,22,19
16,37,32,28
17,42,40,37
18,33,30,28
19,37,34,32
20,37,34,32
21,37,28,17
23,24,14,3
24,37,26,15
25,39,36,33
26,39,37,35
27,37,35,33
28,35,34,33
29,39,36,33
30,37,35,33
