reference,onlink
1,"Abdullah, Sh., Chmyriov, V.M., Stazhilo-Alekseev, K.F., Dronov, V.I., Gannan, P.J., Rossovskiy, L.N., Kafarskiy, A.Kh., and Malyarov, E.P., 1977, Mineral resources of Afghanistan (2nd edition): Kabul, Afghanistan, Republic of Afghanistan Geological and Mineral Survey, 419 p."
2,"ACP Mining Data Bank, undated, http://mines.acp.int/html/accueil_en.html."
3,"Ager, D.V., 1980, Geology of Europe: Wiley, New York, 535 p."
4,"Aghanabati, A., 1986, Geological map of the Middle East: Commission for the geological map of the world: Subcommission for the Middle East, Geological Survey of Iran, scale 1:5,000,000."
5,"Alatorre, A.E., Barker, J.M., and Santini, Ken, 1998, Barytes - Mexican producers  and Gulf markets: Industrial Minerals, no. 370, p. 37-49."
6,"Albino, G.V., Jalal, S., and Christensen, K., 1995, Neoproterozoic mesothermal gold mineralization at Sukhaybarat East mine, Saudi Arabia: Trans. Inst. Min Metall. (Sect. B: Appl. Earth sci.), v. 104, p. B157-B170."
7,"Albinson, Tawn and Nelson, C.E., eds., 2001, New mines and discoveries in Mexico and  Central America: Society of Economic Geologists Special Publication Number 8, 362 p."
8,"Albinson, Tawn and Rubio, M.A., 2001, Mineralogic and thermal structure of the Zuloaga vein, San Martin de Bolaños district, Jalisco, Mexico, in Albinson, Tawn and Nelson, C.E., eds., New mines and discoveries in Mexico and Central America: Society of Economic Geologists Special Publication Number 8, p. 115-132."
9,"Albinson, Tawn, Norman, D.I., Cole, David, Chomiak, Beverly, 2001, Controls on formation of low-sulfidation epithermal deposits of Mexico: constraints from fluid inclusion and stable isotope data, in Albinson, Tawn and Nelson, C.E., eds., New mines and discoveries in Mexico and Central America: Society of Economic Geologists Special Publication Number 8, p. 1 - 32."
10,"Alonso, R.N., Jordan, T.E., Tabbutt, K.T., and Vanderboot, D.S., 1991, Giant evaporite belts of the Neogene central Andes: Geology, v. 19, p. 401-404."
11,"Alvarez A., Angel, 2000, Yacimiento Toromocho: Primer volumen de monografias de yacimientos minerales Peruanos. Historia, exploration y geologia: Lima, Instituto de Ingenieros de Minas del Peru, p. 205-225."
12,"Amey, E.B., 1998, Annual average gold price: U.S. Geological Survey Metal prices in the United States through 1998, p. 49-53. ONLINE. Available: http://minerals.er.usgs.gov/minerals/pubs/commodity/gold/300798.pdf [Accessed May 20, 2004]."
13,"Amey, E.B., 2000, Gold: U.S. Geological Survey, Mineral Commodity Summaries 2000, p. 74- 75."
14,"Anatolia Minerals Development, Ltd., 2003, Projects, accessed October 13, 2003, at http://www.anatolia-minerals.com/projects.html."
15,"Andersen, J.C.Ø, Power M.R., and Momme, Peter, 2002, Platinum-group elements in the Palaeogene North-Atlantic igneous province, in Cabri, L.J., ed., The Geology, Geochemistry, Mineralogy and Mineral Beneficiation of Platinum-Group Elements: Canadian Institute of Mining and Metallurgy Special Volume 54, p. 637-667."
16,"Angelelli, Victorio, 1984, Yacimientos metaliferos de la Republica Argentina: La Plata, Provincia de Buenos Airea, Comision de Investigaciones Cientificas, v. 1, p. 255-257."
17,"Angelelli, Victorio, Schalamuk, Isidoro, and Fernandez, Raul, 1980, Los yacimientos de minerales no metaliferos y rocas de aplicacion de la region Centro-Cuyo: Ministerio de Economia de Argentina Anales XIX, 261 p."
18,"Angera, J.A., 1999, Mina Bajo de la Alumbrera, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Buenos Aires, Instituto de Geología y Recursos Minerales SEGEMAR, Anales 35, p. 1451-1461."
19,"Anhaeusser, C.R., and Maske, S., eds., 1986, Mineral deposits of southern Africa, v. I and II: Geological Society of South Africa, 2,376 p."
20,"Anonymous, 2000, Evaluación distritos mineros del Ecuador. Depositos porfidicos y epi-mesotermales relacionados con intrusiones de las Cordilleras Occidental y Real: Ministerio de Energia y Minas, Subsecretaria de Minas, Dirección Nacional de Geologia, Proyecto de Desarrolo Minero y Control Ambiental, v. 4, 316 p."
21,"Anstett, T.F., Krauss, U.H., Ober, J.A., and Schmidt, H.W., 1990, International strategic mineral inventory summary report - lithium: U.S. Geological Survey Circular 930-I, 28 p."
22,"Antony, B.T., Werner, W., Sinclair, D., and Amey, E.B., 1998, International Strategic Mineral Issues summary report-tungsten: U. S. Geological Survey Circular 930-O, 71 p."
23,"Appel, P.W.U., 2004, Gold in the Nuuk region of West Greenland: Geological Survey of Denmark and Greenland (GEUS) Exploration and Mining in Greenland Factsheet No. 6, 2 p."
24,"Arenas, Mario, 2000, Exploración y geología del yacimiento San Rafael, Puno: Primer volumen de monografias de yacimientos minerales Peruanos. Historia, exploración y geologia: Lima, Instituto de Ingenieros de Minas del Peru, p. 329-348."
25,"Argentina Mining Secretary, 1993, Directory of mining investment opportunities in the Argentine Republic: Argentina Ministry of Economy and Public Services, 395 p."
26,"Ariunbileg, Sodov, Biryul'kin, G.V., Byamba, Jamba, Davydov, Yu.V., Dejidmaa, Gunchin, Distanov, E.G., Dorjgotov, Dangindorjiin, Gamyanin, G.N., Gerel, Ochir, Fridovskiy, V.Yu., Gotovsuren, Ayurzana, Hwang, Duk Hwan, Kochnev, A.P., Kostin, A.V., Kuzmin, M.I., Letunov, S.A., Li, Jiliang, Li, Xujun, Malceva, G.D., Melnikov, V.D., Nikitin, V.M., Obolenskiy, A.A., Ogasawara, Masatsugu, Parfenov, L.M., Popov, N.V., Prokopiev, A.V., Ratkin, V.V., Rodionov, S.M., Seminskiy, Z.V., Shpikerman, V.I., Smelov, A.P., Sotnikov, V.I., Spiridonov, A.V., Stogniy, V.V., Sudo, Sadahisa, Sun, Fengyue, Supletsov, V.M., Timofeev, V.F., Tyan, O.A., Vetluzhskikh, V.G., Xi, Aihua, Yakovlev, Y.K., Yan, Hongquan, Zhang, Qiusheng, Zhizhin, V.I., Zinchuk, N.N., and Zorina, L.M., 2003, Significant metalliferous and selected non-metalliferous lode deposits, and selected placer districts for Northeast Asia: (CD and Web versions): U.S. Geological Survey Open-File Report 03-220 (CD-ROM), digital files and explanatory text, 422 p."
27,"Arndt, N.T., Lesher, C.M., and Czamanske, G.K., 2005, Mantle-derived magmas and magmatic Ni-Cu-(PGE) deposits: Economic Geology 100th Anniversary Volume, p. 5-23."
28,"Asadi, H.H., Voncken, J.H.L., Kuehnel, R.A., and Hale, M., 2000, Petrography, mineralogy, and geochemistry of the Zarshuran Carlin-like gold deposit, Northwest Iran: Mineralium Deposita, v. 35, no. 7, p. 656-671."
29,"Asher-Bolinder, Sigrid, 1991, Descriptive model of lithium in smectites of closed basins, in Orris, G.J., and Bliss, J.D., eds., Some industrial mineral deposit models: Descriptive deposit models: U.S. Geological Survey Open-File Report 91-11A, p. 9-10."
30,"Assessment, and Their Role in Sustainable Development - 31st International Geological Congress, Rio de Janeiro, Brazil [extended abstract]: U. S. Geological Survey Open-File Report 02-423, p. 7-10."
31,"Astrup, J., and Tsikos, H., 1998, Manganese, in Wilson, M.G.C., and Anhaeusser, C.R., eds., 1998, The mineral resources of South Africa: Handbook, Council for Geoscience, 16, p. 450- 460."
32,"Atkinson, Jr., W.W., and Einaudi, M.T., 1978, Skarn formation and mineralization in the contact aureole at Carr Fork, Bingham Utah: Economic Geology v. 73, p. 1326-1365."
33,"Atkinson, W.W., Jr., Souviron, Alvaro, Vehrs, T.I., and Faunes G., Alejandro, 1996, Geology and mineral zoning of the Los Pelamberes porphyry copper deposit, Chile, in Camus, F., Sillitoe, R.H., and Petersen, R., eds., Andean copper deposits: new discoveries, mineralization, styles and metallogeny: Society of Economic Geologists Special Publication no. 5, p. 131-156."
34,"Atlas of Canada, undated, History of diamond exploration in Canada. ONLINE. Available: http://atlas.gc.ca/maptexts/subtopic_texts/english/historical_e.html [January 15, 2004]."
35,"Austin, G. S., Kottlowski, F.E., Siemers, W.T., 1982, Industrial minerals of New Mexico in 1981, in Austin, G.S., comp., Industrial rocks and minerals of the Southwest: New Mexico Bureau of Mines and Mineral Resources Circular 182, p. 9-16."
36,"Avila, J.C., 1999, El Yacimiento de cobre Martín Bronce, Jujuy, in Zappettini, E.O., Segal, S., Godeas, M., Brodkorb, M.K., and Schalamuk, I.A., eds., Recursos Minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 5, p. 947-949."
37,"Azevedo Branco, P.C., 1984, Principais depósitos minerais, Chapter 9, in Schobbenhaus, C, Almeida Campos, D., Derze, G.R., and Asmus, H.E., eds., Geologia do Brazil, texto explicativa: Departamento Nacional de Producão Mineral, p. 359-419."
38,"Bailes, R.J., Christoffersen, J.E., Escandon V., Francisco, and Peatfield, G.R., 2001, Sediment-hosted deposits of the Boléo copper-cobalt-zinc district, Baja California Sur, Mexico, in Albinson, Tawn and Nelson, C.E., eds., New mines and discoveries in Mexico and Central America: Society of Economic Geologists Special Publication Number 8, p. 291-306."
39,"Bally, A.W., and Palmer, A.R., 1989, The Geology of North America; An overview: Geological Society of America, The Geology of North America, volume A, 619 p."
40,"Bally, A.W., Scotese, C.R., and Ross, M.I., 1989, North America; Plate tectonic setting and tectonic elements, in Bally, A.W., and Palmer, A.R., The Geology of North America; An overview: Geological Society of America, The Geology of North America, volume A, p. 1-16."
41,"Bamburak, J.D., 2001, Industrial minerals in Manitoba, in Dunlop, Susan, and Simandl, G.J., eds., Industrial minerals in Canada: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 53, p. 75-83."
42,"Barbosa, J.S.F., 1996, O embasamento Arqueano e Proterozoico inferior do Estado da Bahia, inGeologia da Bahia; texto explicativo: Edited by J.S.F. Barbosa and J.M.L. Dominguez. Superintdencia de Geologia e Recursos Minerias, Secretaria da Industria, Comercio e Mineração do Estado da Bahia, Salvador, p. 63-83."
43,"Barker, J.M., and Lefond, S.J., eds., 1985, Borates: Economic geology and production: Proceedings of a symposium held on October 24, 1984, at the fall meeting of SME-AIME in Denver, Colo., Society of Mining Engineers, AIME, New York, 274 p."
44,"Barrett, P.J., 1989, Christmas Island (Indian Ocean) phosphate deposits, in Notholt, A.J.G., Sheldon, R.P., and Davidson, D.F., eds., Phosphate deposits of the world, v. 2, Phosphate Rock Resources: Cambridge, Cambridge University Press, p. 558-563."
45,"Barrick Gold, 2002, Alto Chicama: www.barrick.com/1_Global_Operations/1_02_03_01_SA_Alto Chicama.asp"
46,"Bartra, Rafael, 2000, Geología del distrito Minero Yanacocha: Primer volumen de monografias de yacimientos minerales Peruanos. Historia, exploration y geologia: Lima, Instituto de Ingenieros de Minas del Peru, p.13-22."
47,"Batchelor, D.A.F., 1992, Styles of metallic mineralization and their tectonic setting in the Sultanate of Oman: Trans. Inst. Min. Metall. (Sect. B: Appl. Earth sci.) v. 101, p. B108-B120."
48,"Bauer, R.R., Copeland, J.R., and Santini, Ken, 1994, Wollastonite, in Carr, D.D., ed., Industrial minerals and rocks: Littleton, Colorado, Society for Mining, Metallurgy, and Exploration, p. 1119-1128."
49,"Bayraktar, I., and Cakir, U., 2002, Quality feldspar production at Cine Akmaden: Industrial Minerals, no. 416, p. 56-59."
50,"Bear, L.M., 1963, The mineral resources and mining industry of Cyprus: Ministry of Commerce and Industry, Geological Survey Department, Republic of Cyprus, Bulletin No. 1, 208 p."
51,"Benavides-Cáceres, Victor, 1999, Orogenic evolution of the Peruvian Andes: the Andean cycle: inSkinner, B.J.,ed., 1999, Geology and ore deposits of the central Andes: Society of Economic Geologists Special Publication Number 7, p. 61-107."
52,"Benbow, John, 1991, Finland's mineral industry-turning to stone: Industrial Minerals, no. 283, p. 19-37."
53,"Benitez-Nelson, Claudia, 2000, The biogeochemical cycling of phosphorus in marine systems: Earth-Science Reviews v. 51, p. 109-135."
54,"Benson, D.G., 1974, Geology of the Antigonish Highlands and Cape George Map Areas, Nova Scotia: Geological Survey of Canada Memoir 376, 90 p."
55,"Berger, B.R., 1987, Descriptive model of low-sulfide Au-quartz veins, in Cox, D.P., and Singer, D.A., eds., Mineral Deposit Models, U.S. Geol. Survey Bulletin 1693., 239 p."
56,"Berker, E., 1989, The Mardin-Mazidagi-Derik phosphate deposits, southeastern Turkey, in Notholt, A.J.G., Sheldon, R.P., and Davidson, D.F., eds., Phosphate deposits of the world, v. 2, Phosphate rock resources: Cambridge, Cambridge University Press, p. 380-386."
57,"Berrange, J.P., Mathers, S.J., Morales C., Nury, and Alvarado V., Fernando, 1990, The non-metallic minerals and rocks of Costa Rica: San Jose, Costa Rica, Proyecto Anglo-Costarricense de Minerales Industriales, 181 p."
58,"Bettles, Keith, 2002, Carlin-type gold deposits: a summary, in Cooke, D.R., and Pongratz, June, eds., Giant ore deposits: characteristics, genesis and exploration, Centre for Ore Deposit Research, University of Tasmania, GPO Box 252-79, Hobart, Tasmania, Australia 7001, p. 191-194."
59,"Bettles, Keith, 2002, Exploration and geology, 1962 to 2002, at the Goldstrike property, Carlin Trend, Nevada, in Goldfarb, R.J., and Nielsen, R.L., eds., Integrated methods for discovery: global exploration in the twenty-first century: Society of Economic Geologists Special Publication 9, p. 275-298."
60,"Bigood, Thomas, 2000, Geología del yacimiento Cerro Negro: Primer volumen de monografias de yacimientos minerales Peruanos. Historia, exploration y geologia: Lima, Instituto de Ingenieros de Minas del Peru, p. 227-230."
61,"Bissig, Thomas, Clark, A.H., Lee, J.K.W., and Hodgson, C.J., 2002, Miocene landscape evolution and geomorphic controls on epithermal processes in the El Indio- Pasucua Au-Ag-Cu belt, Chile and Argentina: Economic Geology, v. 97, p. 971-996."
62,"Bisso, C.B., Duran, M., and Gonzales, A.A., 1998, Geology of the Ujina and Rosario copper porphyry deposits, Collanhuasi district, Chile, in Porter, T.M., ed., Porphyry and hydrothermal copper and gold deposits, a global perspective: Glenside, South Australia, Australian Mineral Foundation, p. 217-232."
63,"Blasco, G., and Zappettini, E.O., 1996, Hoja Geológica San Antonio de los Cobres, provincias de Jujuy y Salta: Buenos Aires, Dirección Nacional de Servicio Geológico, Boletín 217."
64,"Bleeker, W., 1991, Thompson area - general geology and ore deposits, in Galley, A.G., Bailes, A.H., Syme, E.C., Bleeker, W., Macek, J.J., and Gordon, T.M., eds., Geology and mineral deposits of the Flin Flon and Thompson belts, Manitoba (Field Trip 10): Geological Survey of Canada Open File 2165, p. 93-136."
65,"Blundell, D., Freeman, R. and Mueller, S., eds., 1992, A Continent Revealed. The European Geotraverse: Cambridge University Press, Cambridge, 275 p."
66,"Boelema, R., 1998, Tantalum and niobium, in Wilson, M.G.C., and Anhaeusser, C.R., eds., 1998, The mineral resources of South Africa: Handbook, Council for Geoscience, 16, p. 604- 606."
67,"Boelema, R., and Hira, H., 1998, Pegmatite deposits, in Wilson, M.G.C., and Anhaeusser, C.R., eds., 1998, The mineral resources of South Africa: Handbook, Council for Geoscience, 16, 740 p."
68,"Boggs, Sam, Jr., 1987, Principles of sedimentology and stratigraphy, Merrill, Columbus, 784 p."
69,"Bolger, Rachel, 1996, Czech minerals & markets-- Rebirth out of revolution?: Industrial Minerals, no. 348, p. 41-63."
70,"Bond, A.R., and Levine, R.M., 2001, Noril'sk nickel and Russian platinum-group metals production: Post-Soviet Geography and Economics, v. 42, p. 77-104."
71,"Boric, P., Díaz, F., and Maksaev, V., 1990, Geología y yacimientos metalíferos de la región de Antofagasta, escala 1:500.000: Servicio Nacional de Geología y Minería, Boletín 40, 246 p."
72,"Bouabdellah, M., Fontboté, L., Haeberlin, Y., Llinares, L., Leach, D., and Spangerberg, J., 1999, Zoned sulphur isotope signatures at the Mississippi Valley-type Touissit-Bou Beker-El Abed district (Morocco-Algeria)—Evidence for thermochemical sulphate reduction and mixing of sulfur sources, in Stanley, C.J., ed., Mineral deposits: processes to processing: Amsterdam, Balkema, p. 821-824."
73,"Bouchard, Ginette, 2001, Mineral exploration, deposit appraisal and mine complex development activity in Canada: Canadian Minerals Yearbook - 2001 Review and outlook, p. 3.1 to 3.41. ONLINE.Available: http://www.nrcan.gc.ca/mms/cmy/content/2001/04.pdf[January 31, 2004]"
74,"Bouladon, J., 1989, France and Luxembourg, in Dunning, F.W., Garrard, P., Haslam, H.W., and Ixer, R.A., eds., Mineral deposits of Europe, volume 4/5: Southwest and Eastern Europe, with Iceland: London: The Institution of Mining and Metallurgy and the Mineralogical Society, p. 37-104."
75,"Bouzari, Farhad, and Clark, A.H., 2002, Anatomy, evolution, and metallogenic significance of the supergene orebody of the Cerro Colorado porphyry copper deposit, I Region, northern Chile: Economic Geology, v. 97, p. 1701-1740."
76,"Bowen, Robert, and Jux, Ulrich, 1987, Afro-Arabian geology: A kinematic view: London, Chapman and Hall, 295 p."
77,"Box, S. E., Bookstrom, A. A., Zientek, M. L., Derkey, P. D., Ashley, R. P., Elliott, J. E., and Peters, S. G., 1995, Assessment of undiscovered mineral resources in the Pacific Northwest: a contribution to the Interior Columbia Basin Ecosystem Management Project: U.S. Geological Survey Open-File Report 95-682, 415 p."
78,"Brady, J.B., Cheney, J.T., Rhodes, A.L., Vasquez, Angela, Green, Chris, Duvall, Mathieu, Kogut, Ari, Kaufman, Lewis, and Kovaric, Dana, 1998, Isotope geochemistry of Proterozoic talc occurrences in Archean marbles of the Ruby Mountains, southwest Montana, U.S.A.: Geological Materials Research vol. 1, p. 1-41."
79,"Breese, R.O.Y., 1994, Diatomite, in Carr, D.D. and others, eds., Industrial mineral and rocks, 6th ed: Littleton, Colo., Society of Mining, Metallurgy, and Exploration, p. 397-412."
80,"Briskey, J.A., 1987, Descriptive model of exhalative Zn-Pb deposits, in Cox, D.P., and Singer, D.A., eds., Mineral Deposit Models, U.S. Geol. Survey Bull. 1693, p. 211-212."
81,"Briskey, J.A., Schultz, K.J., Mosesso, J.P., Horwitz, L.R., and Cunningham, C.G., 2001, It's time to know the planet's mineral resources: Geotimes, v. 46, no. 3, (March), p. 14-19."
82,"Briskey, J.A., Schultz, K.J., Mosesso, J.P., Horwitz, L.R., and Cunningham, C.G., 2002, Environmental planning issues and a conceptual global assessment of undiscovered nonfuel mineral resources, in Briskey, J.A. and Schulz, K.J., eds., Agenda, extended abstracts and bibliographies for a Workshop on Deposit Modeling, Mineral Resources Assessment, and Their Role in Sustainable Development - 31 st International Geological Congress, Rio de Janeiro, Brazil [extended abstract]: U. S. Geological Survey Open-File Report 02-423, p. 7-10."
83,"Briskey, J.A., Schulz, K.J., Mosesso, J.P., Horwitz, L.R., and Cunningham, C.G., 2001, It's time to know the planet's mineral resources: Geotimes, v. 46, no. 3, (March), p. 14-19."
84,"Briskey, J.A., Schulz, K.J., Mosesso, J.P., Horwitz, L.R., and Cunningham, C.G., 2002, Environmental planning issues and a conceptual global assessment of undiscovered nonfuel mineral resources, in Briskey, J.A., and Schulz, K.J., eds., Agenda, extended abstracts and bibliographies for a Workshop on Deposit Modeling, Mineral Resources"
85,"Briskey, J.A., Schulz, K.J., Mosesso, J.P., Horwitz, L.R., Cunningham, C.G., 2001, It's time to know the planet's mineral resources: Geotimes, v. 46, no. 3 (March), p. 14-19."
86,"Briskey, J.A., Schulz, K.J., Mosesso, J.P., Horwitz, L.R., Cunningham, C.G., 2002, Environmental planning issues and a conceptual global assessment of undiscovered nonfuel mineral resources, in Briskey, J.A., and Schulz, K.J, eds., Agenda, extended abstracts, and bibliographies for a Workshop on Deposit Modeling, Mineral Resources Assessment, and Their Role in Sustainable Development-31st International Geological Congress, Rio de Janeiro, Brazil [extended abstract]: U.S. Geological Survey Open-File Report 02-423, p. 7-10."
87,"Bristow, C.M., Palmer, Quentin, Witte, G.J., Bowditch, Ivor, and Howe, J.H., 2002, The ball clay and china clay industries of southwest England in 2000, in Scott, P.W., and Bristow, C.M., eds., Industrial minerals and extractive industry geology: London, Geological Society, p. 17-41."
88,"British Geological Survey, 2004, Dene Quarry: www.bgs.ac.uk/foundation-web/Aggregates_Dean.html."
89,"British Sulphur Corporation Limited, 1964, A world survey of phosphate deposits: London, The British Sulphur Corporation Limited, 206 p."
90,"British Sulphur Corporation Limited, 1979, World survey of potash resources: London, The British Sulphur Corporation Limited, 138 p."
91,"British Sulphur Corporation Limited, 1985, World survey of potash resources: London, The British Sulphur Corporation Limited, 144 p."
92,"British Sulphur Corporation Limited, 1987, A world survey of phosphate deposits: London, The British Sulphur Corporation Limited, 274 p."
93,"Brobst, D.A., 1994, Barium minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th ed: Littleton, Colo., Society of Mining, Metallurgy, and Exploration, p. 125-134."
94,"Brobst, D.A., and Pratt, W.P., eds., 1973, United States mineral resources: U.S. Geological Survey Professional Paper 820, 722 p."
95,"Brodtkorb, M.K., and Schalamuk, I.B., 1999, Yacimientos de cobre y oro, la Sierra de Famatina, La Rioja, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Buenos Aires, Instituto de Geología y Recursos Minerales SEGEMAR, Anales 35, p. 1659-1663."
