citation,ref_id
"Alatorre and others, 1998",5
"Albinson and others, 2001",9
"Albinson and Rubio, 2001",8
"Alonso and others, 1991",10
"Alvarez A., 2000",11
"Angelelli and others, 1980",17
"Angelleli, 1984",16
"Angera, 1999",18
"Anonymous, 2000",20
"Anstett and others (1990)",21
"Arenas, 2000",24
"Argentina Mining Secretary, 1993",25
"Ariunbileg and others, 2003",26
"Atkinson and others, 1996",33
"Austin and others (1982)",35
"Avila, 1999",36
"Azevedo Branco, 1984",37
"Bailes and others, 2001",38
"Bamburak, 2001",41
"Barret, 1989",44
"Barrick Gold, 2002",45
"Bartra, 2000",46
"Bauer and others (1994)",48
"Benson, 1974",54
"Berrange and others, 1990",57
"Bettles (2002)",58
"Bettles (2002)",59
"Bidgood, 2000",60
"Bissig and others, 2002",61
"Bisso and others, 1998",62
"Blasco and Zappettini, 1996",63
"Boric and others, 1990",71
"Bouzari and Clark, 2002",75
"British Sulphur Corporation (1964)",89
"British Sulphur Corporation (1979)",90
"British Sulphur Corporation (1985)",91
"British Sulphur Corporation (1987)",92
"Brodtkorb and Schalamuk, 1999",95
"Brown, 1975",96
"Bureau of Mines and Geosciences, 1986",102
"Byamba, 1996",108
"Cabral and others, 2002",109
"Camus, 1975",114
"Cannon and others (1997)",118
"Carlile and Mitchell, 1994",120
"Cathcart and others (1984)",124
"Chadwick, 2001",127
"Chernoff and Orris (2002)",134
"Chong, 1996",135
"Chou, 1993",136
"Columba and Cunningham, 1993",143
"Companhia de Pesquisa de Recursos Minerais, 1999",149
"Concha and Valle, 2000",150
"Consejo de Recursos Minerales, 1992",154
"Consejo de Recursos Minerales, 1993",155
"Consejo de Recursos Minerales, 1994",156
"Cooper and others, 1996",160
"Cornejo and others, 1997",163
"Cox, 1985",168
"Cox and others, 1992",171
"Cox and others, 1992",173
"Cox and others (2003)",175
"Cox and others, 2003",175
"Cox, D.P., and others., 1992",171
"Cox, D.P., and others., 1992",173
"Crockett and others, 1987",179
"Crockett and Sutphin (1993)",178
"Crossley, 2001",180
"Cunningham and others, 1996",183
"Davidson and Kamenetsky, 2001",191
"Davies, 2000",192
"Dawson (1996)",193
"Dawson, 1996",193
"DeYoung and others, 1984",205
"DeYoung and others, 1984",204
"DeYoung and others, 1985",206
"Dilles and others, 1997",208
"Dixon, 1979",210
"Dorr, 1973",214
"Drew and others, 1990",215
"Driessen, 1990",216
"Eckstrand, 1996",225
"Edwards and others (1992)",241
"Einaudi, 1977",242
"El Soldado Geologic Staff, 1996",246
"Ericksen and Cunningham, 1993",250
"ESCAP, 1988a",227
"ESCAP, 1988b",227
"ESCAP, 1989",228
"ESCAP, 1990a",229
"ESCAP, 1990b",230
"ESCAP, 1991",231
"ESCAP, 1993",233
"ESCAP, 1993",232
"ESCAP, 1993a",232
"ESCAP, 1993b",233
"ESCAP, 1995",234
"ESCAP, 1996",235
"ESCAP, 1999b",236
"ESCAP, 2001",237
"ESCAP and ABMRGG, 1988",238
"Evans and others (1976)",257
"Eyde and Eyde, 1987",258
"Fitch, 2000a",263
"Fitch, 2000b",264
"Foose (1993)",269
"Foster (1969)",272
"Fountain, 1999",274
"Franklin, 1996",277
"Gajardo and others, 1999a",287
"Gajardo and others, 1999b",288
"Ganbaatar, 1999",289
"Garrett (1992)",290
"Garrett (1992)",291
"Garrett, 1992",290
"Garrett, 1992",291
"Garrett (1996)",292
"Garrett (1996)",293
"Garrett (2001)",295
"Gemuts and others, 1992",297
"Gemuts and others, 1992",298
"Gendall and others, 2000",299
"Geological Survey India, 1974",302
"Geologic Survey Japan, 1980",303
"Gerow and others, 2001",305
"Godeas and others, 1999",309
"Goldberg and others, 1992",310
"Gomez and others, 1979",315
"Gower and others, 2001",319
"Griffiths, 1988",322
"Griffiths (1995)",321
"Grundstofftechnik, 1992",326
"Gurmendi and others, 1999",329
"Gustavson Assoc. and others, 1992",331
"Halderman and others, 1982",334
"Ham and Curtis (1958)",339
"Harben and Bates (1984)",343
"Harben and Bates (1990)",344
"Harben and Kuzvart, 1996",348
"Harben and Kužvart (1996)",348
"Harries-Rees, 1992",349
"Harries-Rees, 1992",350
"Harris, 2001",353
"Harris and others, 1994",351
"Hart, 1991",354
"Haynes, 2002",362
"Haynes, 2002",363
"Helberg, 2000",369
"Heuschmidt and others, 2000a,b",375
"Heuschmidt and others, 2000a,b",376
"Hite (1964)",378
"Hite (1967)",379
"Holmes (1994)",386
"Hora, 2001",387
"Hosterman and Patterson (1992)",395
