Year,Month,Day,site_no,flow_cfs
1940,1,1,1351500,175
1940,1,2,1351500,160
1940,1,3,1351500,150
1940,1,4,1351500,140
1940,1,5,1351500,135
1940,1,6,1351500,130
1940,1,7,1351500,125
1940,1,8,1351500,122
1940,1,9,1351500,118
1940,1,10,1351500,114
1940,1,11,1351500,112
1940,1,12,1351500,112
1940,1,13,1351500,112
1940,1,14,1351500,118
1940,1,15,1351500,145
1940,1,16,1351500,235
1940,1,17,1351500,350
1940,1,18,1351500,280
1940,1,19,1351500,220
1940,1,20,1351500,180
1940,1,21,1351500,155
1940,1,22,1351500,135
1940,1,23,1351500,122
1940,1,24,1351500,112
1940,1,25,1351500,102
1940,1,26,1351500,94
1940,1,27,1351500,88
1940,1,28,1351500,84
1940,1,29,1351500,80
1940,1,30,1351500,78
1940,1,31,1351500,76
1940,2,1,1351500,74
1940,2,2,1351500,72
1940,2,3,1351500,70
1940,2,4,1351500,70
1940,2,5,1351500,68
1940,2,6,1351500,72
1940,2,7,1351500,80
1940,2,8,1351500,80
1940,2,9,1351500,78
1940,2,10,1351500,78
1940,2,11,1351500,120
1940,2,12,1351500,160
1940,2,13,1351500,195
1940,2,14,1351500,165
1940,2,15,1351500,145
1940,2,16,1351500,135
1940,2,17,1351500,130
1940,2,18,1351500,125
1940,2,19,1351500,125
1940,2,20,1351500,130
1940,2,21,1351500,120
1940,2,22,1351500,114
1940,2,23,1351500,112
1940,2,24,1351500,108
1940,2,25,1351500,104
1940,2,26,1351500,102
1940,2,27,1351500,98
1940,2,28,1351500,102
1940,2,29,1351500,102
1940,3,1,1351500,98
1940,3,2,1351500,98
1940,3,3,1351500,98
1940,3,4,1351500,108
1940,3,5,1351500,140
1940,3,6,1351500,195
1940,3,7,1351500,195
1940,3,8,1351500,160
1940,3,9,1351500,140
1940,3,10,1351500,125
1940,3,11,1351500,112
1940,3,12,1351500,104
1940,3,13,1351500,98
1940,3,14,1351500,98
1940,3,15,1351500,145
1940,3,16,1351500,235
1940,3,17,1351500,300
1940,3,18,1351500,270
1940,3,19,1351500,280
1940,3,20,1351500,360
1940,3,21,1351500,490
1940,3,22,1351500,470
1940,3,23,1351500,400
1940,3,24,1351500,340
1940,3,25,1351500,300
1940,3,26,1351500,280
1940,3,27,1351500,270
1940,3,28,1351500,260
1940,3,29,1351500,470
1940,3,30,1351500,2050
1940,3,31,1351500,19400
1940,4,1,1351500,15500
1940,4,2,1351500,7710
1940,4,3,1351500,8900
1940,4,4,1351500,11200
1940,4,5,1351500,15300
1940,4,6,1351500,11200
1940,4,7,1351500,9980
1940,4,8,1351500,10600
1940,4,9,1351500,17600
1940,4,10,1351500,11100
1940,4,11,1351500,8170
1940,4,12,1351500,8890
1940,4,13,1351500,8460
1940,4,14,1351500,5040
1940,4,15,1351500,3540
1940,4,16,1351500,3600
1940,4,17,1351500,3380
1940,4,18,1351500,5290
1940,4,19,1351500,7690
1940,4,20,1351500,6170
1940,4,21,1351500,8910
1940,4,22,1351500,6330
1940,4,23,1351500,4680
1940,4,24,1351500,4800
1940,4,25,1351500,5030
1940,4,26,1351500,5370
1940,4,27,1351500,4280
1940,4,28,1351500,3320
1940,4,29,1351500,2770
1940,4,30,1351500,2580
1940,5,1,1351500,2960
1940,5,2,1351500,3460
1940,5,3,1351500,3290
1940,5,4,1351500,2970
1940,5,5,1351500,2340
1940,5,6,1351500,1750
1940,5,7,1351500,1370
1940,5,8,1351500,1050
1940,5,9,1351500,902
1940,5,10,1351500,660
1940,5,11,1351500,541
1940,5,12,1351500,487
1940,5,13,1351500,435
1940,5,14,1351500,385
1940,5,15,1351500,398
1940,5,16,1351500,422
1940,5,17,1351500,1050
1940,5,18,1351500,1120
1940,5,19,1351500,836
1940,5,20,1351500,727
1940,5,21,1351500,1710
1940,5,22,1351500,1240
1940,5,23,1351500,972
1940,5,24,1351500,1450
1940,5,25,1351500,1400
1940,5,26,1351500,1640
1940,5,27,1351500,2220
1940,5,28,1351500,2480
1940,5,29,1351500,4320
1940,5,30,1351500,4.00E+03
1940,5,31,1351500,3310
1940,6,1,1351500,5900
1940,6,2,1351500,6140
1940,6,3,1351500,3730
1940,6,4,1351500,2710
1940,6,5,1351500,2180
1940,6,6,1351500,1770
1940,6,7,1351500,1400
1940,6,8,1351500,1170
1940,6,9,1351500,1040
1940,6,10,1351500,1290
1940,6,11,1351500,921
1940,6,12,1351500,610
1940,6,13,1351500,618
1940,6,14,1351500,655
1940,6,15,1351500,410
1940,6,16,1351500,335
1940,6,17,1351500,295
1940,6,18,1351500,245
1940,6,19,1351500,221
1940,6,20,1351500,194
1940,6,21,1351500,174
1940,6,22,1351500,158
1940,6,23,1351500,144
1940,6,24,1351500,139
1940,6,25,1351500,162
1940,6,26,1351500,215
1940,6,27,1351500,300
1940,6,28,1351500,335
1940,6,29,1351500,315
1940,6,30,1351500,275
1940,7,1,1351500,265
1940,7,2,1351500,305
1940,7,3,1351500,235
1940,7,4,1351500,221
1940,7,5,1351500,221
1940,7,6,1351500,194
1940,7,7,1351500,162
1940,7,8,1351500,139
1940,7,9,1351500,118
1940,7,10,1351500,108
1940,7,11,1351500,101
1940,7,12,1351500,101
1940,7,13,1351500,118
1940,7,14,1351500,130
1940,7,15,1351500,111
1940,7,16,1351500,91
1940,7,17,1351500,80
1940,7,18,1351500,76
1940,7,19,1351500,70
1940,7,20,1351500,70
1940,7,21,1351500,76
1940,7,22,1351500,73
1940,7,23,1351500,70
1940,7,24,1351500,75
1940,7,25,1351500,82
1940,7,26,1351500,80
1940,7,27,1351500,83
1940,7,28,1351500,73
1940,7,29,1351500,61
1940,7,30,1351500,95
1940,7,31,1351500,139
1940,8,1,1351500,104
1940,8,2,1351500,78
1940,8,3,1351500,66
1940,8,4,1351500,57
1940,8,5,1351500,54
1940,8,6,1351500,54
1940,8,7,1351500,54
1940,8,8,1351500,50
1940,8,9,1351500,54
1940,8,10,1351500,52
1940,8,11,1351500,44
1940,8,12,1351500,38
1940,8,13,1351500,35
1940,8,14,1351500,30
1940,8,15,1351500,29
1940,8,16,1351500,28
1940,8,17,1351500,27
1940,8,18,1351500,25
1940,8,19,1351500,24
1940,8,20,1351500,22
1940,8,21,1351500,21
1940,8,22,1351500,22
1940,8,23,1351500,20
1940,8,24,1351500,18
1940,8,25,1351500,17
1940,8,26,1351500,16
1940,8,27,1351500,16
1940,8,28,1351500,16
1940,8,29,1351500,16
1940,8,30,1351500,17
1940,8,31,1351500,26
1940,9,1,1351500,43
1940,9,2,1351500,227
1940,9,3,1351500,198
1940,9,4,1351500,135
1940,9,5,1351500,101
1940,9,6,1351500,80
1940,9,7,1351500,68
1940,9,8,1351500,59
1940,9,9,1351500,61
1940,9,10,1351500,59
1940,9,11,1351500,57
1940,9,12,1351500,57
1940,9,13,1351500,57
1940,9,14,1351500,55
1940,9,15,1351500,48
1940,9,16,1351500,44
1940,9,17,1351500,40
1940,9,18,1351500,36
1940,9,19,1351500,36
1940,9,20,1351500,35
1940,9,21,1351500,34
1940,9,22,1351500,32
1940,9,23,1351500,30
1940,9,24,1351500,30
1940,9,25,1351500,42
1940,9,26,1351500,52
1940,9,27,1351500,80
1940,9,28,1351500,83
1940,9,29,1351500,66
1940,9,30,1351500,55
1940,10,1,1351500,50
1940,10,2,1351500,44
1940,10,3,1351500,41
1940,10,4,1351500,38
1940,10,5,1351500,38
1940,10,6,1351500,36
1940,10,7,1351500,38
1940,10,8,1351500,48
1940,10,9,1351500,59
1940,10,10,1351500,80
1940,10,11,1351500,78
1940,10,12,1351500,66
1940,10,13,1351500,61
1940,10,14,1351500,52
1940,10,15,1351500,52
1940,10,16,1351500,48
1940,10,17,1351500,46
1940,10,18,1351500,46
1940,10,19,1351500,42
1940,10,20,1351500,44
1940,10,21,1351500,48
1940,10,22,1351500,42
1940,10,23,1351500,42
1940,10,24,1351500,41
1940,10,25,1351500,40
1940,10,26,1351500,38
1940,10,27,1351500,35
1940,10,28,1351500,34
1940,10,29,1351500,34
1940,10,30,1351500,35
1940,10,31,1351500,38
1940,11,1,1351500,40
1940,11,2,1351500,48
