Year,Month,Day,flow_cfs
1887,10,1,2680
1887,10,2,2530
1887,10,3,2530
1887,10,4,2380
1887,10,5,2380
1887,10,6,2380
1887,10,7,2380
1887,10,8,2080
1887,10,9,2230
1887,10,10,2380
1887,10,11,2380
1887,10,12,2380
1887,10,13,2680
1887,10,14,2380
1887,10,15,2380
1887,10,16,2380
1887,10,17,2380
1887,10,18,2080
1887,10,19,2080
1887,10,20,2380
1887,10,21,2680
1887,10,22,2380
1887,10,23,2380
1887,10,24,2380
1887,10,25,2380
1887,10,26,2380
1887,10,27,2380
1887,10,28,2680
1887,10,29,2080
1887,10,30,2080
1887,10,31,2080
1887,11,1,2380
1887,11,2,2380
1887,11,3,2080
1887,11,4,2380
1887,11,5,2080
1887,11,6,2080
1887,11,7,2080
1887,11,8,2080
1887,11,9,2380
1887,11,10,2680
1887,11,11,2380
1887,11,12,2380
1887,11,13,2530
1887,11,14,2680
1887,11,15,4280
1887,11,16,3880
1887,11,17,3880
1887,11,18,3580
1887,11,19,5080
1887,11,20,4880
1887,11,21,4680
1887,11,22,4280
1887,11,23,4680
1887,11,24,3580
1887,11,25,6330
1887,11,26,8630
1887,11,27,10100
1887,11,28,11600
1887,11,29,5480
1887,11,30,8130
1887,12,1,5480
1887,12,2,7070
1887,12,3,7500
1887,12,4,7500
1887,12,5,9530
1887,12,6,8630
1887,12,7,8630
1887,12,8,8130
1887,12,9,7230
1887,12,10,17700
1887,12,11,17400
1887,12,12,17100
1887,12,13,15000
1887,12,14,8630
1887,12,15,12600
1887,12,16,10500
1887,12,17,7230
1887,12,18,5980
1887,12,19,4730
1887,12,20,3230
1887,12,21,5480
1887,12,22,4730
1887,12,23,4730
1887,12,24,5480
1887,12,25,5480
1887,12,26,5480
1887,12,27,5480
1887,12,28,5480
1887,12,29,5480
1887,12,30,5480
1887,12,31,5480
1888,1,1,5480
1888,1,2,5480
1888,1,3,10100
1888,1,4,10100
1888,1,5,8630
1888,1,6,8630
1888,1,7,8630
1888,1,8,8280
1888,1,9,8130
1888,1,10,8130
1888,1,11,8130
1888,1,12,8130
1888,1,13,8130
1888,1,14,8130
1888,1,15,7030
1888,1,16,5930
1888,1,17,5480
1888,1,18,4680
1888,1,19,5070
1888,1,20,4680
1888,1,21,5070
1888,1,22,5070
1888,1,23,5070
1888,1,24,5070
1888,1,25,5480
1888,1,26,5070
1888,1,27,5070
1888,1,28,5070
1888,1,29,3870
1888,1,30,2680
1888,1,31,2810
1888,2,1,2680
1888,2,2,2380
1888,2,3,2480
1888,2,4,2480
1888,2,5,3030
1888,2,6,3580
1888,2,7,3880
1888,2,8,3410
