"Union College, Schenectady, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/20 12:00 AM : 1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway,Gateway
,"Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled","Vantage Pro2 Plus, Cabled"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date & Time,Barometer - in Hg,Inside Temp - °F,Inside Hum - %,Inside Dew Point - °F,Inside Heat Index - °F,Inside EMC,Temp - °F,High Temp - °F,Low Temp - °F,Hum - %,Dew Point - °F,Wet Bulb - °F,Wind Speed - mph,Wind Direction,Wind Run - mi,High Wind Speed - mph,High Wind Direction,Wind Chill - °F,Heat Index - °F,THW Index - °F,THSW Index - °F,Rain - in,Rain Rate - in/h,Solar Rad - W/m^2,Solar Energy - Ly,High Solar Rad - W/m^2,ET - in,UV Index,UV Dose - MEDs,High UV Index,Heating Degree Days,Cooling Degree Days
1/1/2020 0:00,29.58,76,21,34,74,4.8,34,34,34,90,31,33,3,WNW,1.5,14,WNW,31,34,31,28,0,0,0,0,0,0,0,0,0,0.65,0
1/1/2020 0:30,29.58,76,21,34,74,4.8,34,34,34,85,30,32,2,WNW,1,12,W,33,34,33,30,0,0,0,0,0,0,0,0,0,0.646,0
1/1/2020 1:00,29.58,76,20,32,74,4.6,34,34,34,84,30,32,2,WNW,1,8,WNW,33,34,33,30,0,0,0,0,0,0,0,0,0,0.64,0
1/1/2020 1:30,29.58,77,20,33,74,4.6,34,34,34,80,29,32,5,W,2.5,14,W,30,34,30,26,0,0,0,0,0,0,0,0,0,0.637,0
1/1/2020 2:00,29.59,77,20,33,74,4.6,34,34,34,77,28,32,6,W,3,15,WNW,29,34,29,25,0,0,0,0,0,0,0,0,0,0.637,0
1/1/2020 2:30,29.59,77,20,33,74,4.6,34,34,34,77,28,32,5,WNW,2.5,14,W,30,34,29,26,0,0,0,0,0,0,0,0,0,0.637,0
1/1/2020 3:00,29.59,76,20,32,74,4.6,34,34,34,78,28,32,5,WNW,2.5,11,W,30,34,29,26,0,0,0,0,0,0,0,0,0,0.637,0
1/1/2020 3:30,29.6,76,20,32,74,4.6,34,34,34,77,28,32,5,W,2.5,12,W,30,34,29,26,0,0,0,0,0,0,0,0,0,0.637,0
1/1/2020 4:00,29.61,76,20,32,74,4.6,34,34,34,77,28,32,6,WNW,3,16,W,29,34,29,25,0,0,0,0,0,0,0,0,0,0.637,0
1/1/2020 4:30,29.61,77,19,31,74,4.3,34,34,34,78,28,32,5,W,2.5,15,WNW,30,34,29,26,0,0,0,0,0,0,0,0,0,0.637,0
1/1/2020 5:00,29.6,76,19,31,74,4.3,34,34,34,79,28,32,5,W,2.5,20,W,30,34,29,26,0,0,0,0,0,0,0,0,0,0.644,0
1/1/2020 5:30,29.6,76,19,31,74,4.3,34,34,34,80,28,31,6,WNW,3,18,W,28,33,28,25,0,0,0,0,0,0,0,0,0,0.65,0
1/1/2020 6:00,29.61,76,20,32,74,4.6,34,34,34,80,28,31,4,WNW,2,17,W,30,33,30,26,0,0,0,0,0,0,0,0,0,0.652,0
1/1/2020 6:30,29.61,76,20,32,74,4.6,34,34,34,80,28,31,4,WNW,2,15,WNW,30,33,30,26,0,0,0,0,0,0,0,0,0,0.652,0
1/1/2020 7:00,29.62,76,20,32,74,4.6,34,34,34,79,28,31,4,WNW,2,15,NNW,30,33,30,26,0,0,0,0,0,0,0,0,0,0.65,0
1/1/2020 7:30,29.62,76,19,31,74,4.3,34,34,34,76,27,31,5,WNW,2.5,16,WNW,29,33,29,25,0,0,0,0,0,0,0,0,0,0.65,0
1/1/2020 8:00,29.63,77,19,31,74,4.3,34,34,34,76,27,31,4,NW,2,13,W,30,33,30,27,0,0,20,0.86,37,0,0,0,0,0.652,0
1/1/2020 8:30,29.63,77,18,30,74,4.1,34,34,34,76,27,31,5,NW,2.5,14,WNW,29,33,29,27,0,0,89,3.83,162,0,0,0,1,0.65,0
1/1/2020 9:00,29.64,77,19,31,74,4.3,34,34,34,76,27,31,7,WNW,3.5,19,WNW,28,33,27,29,0,0,107,4.6,179,0,0,0,1,0.648,0
1/1/2020 9:30,29.65,77,19,31,74,4.3,34,34,34,76,27,31,6,WNW,3,18,WNW,29,34,28,29,0,0,88,3.79,116,0,0,0.1,1,0.644,0
