STNID,NAME,CTRY,COUNTRY_NAME,ISO2C,ISO3C,STATE,LATITUDE,LONGITUDE,ELEVATION,BEGIN,END,YEARMODA,YEAR,MONTH,DAY,YDAY,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,I_FOG,I_RAIN_DRIZZLE,I_SNOW_ICE,I_HAIL,I_THUNDER,I_TORNADO_FUNNEL,EA,ES,RH,ELEV(M)
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-01,2011,1,1,1,6.5,24,1.7,24,1017.8,24,16.8,24,15,24,3,24,6.2,8.8,13.3,NA,0.6,NA,0,G,NA,0,0,0,0,0,0,0.7,1,71.4,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-02,2011,1,2,2,7.6,24,5.6,24,1012.9,20,12.1,24,9.3,24,2.2,24,5.1,NA,13.3,NA,1.7,NA,0.51,G,NA,1,0,0,0,0,NA,0.9,1,87.2,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-03,2011,1,3,3,1.9,24,-7.9,24,1013.3,24,12,24,15.9,24,7.1,24,9.8,15.4,10.6,NA,-1.1,NA,3.3,G,NA,1,0,0,0,0,NA,0.3,0.7,48.2,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-04,2011,1,4,4,-0.4,24,-9.8,24,1014.7,24,13.8,24,16.1,24,4.7,24,7.7,9.8,3.9,NA,-3.9,NA,0,G,NA,0,0,0,0,0,0,0.3,0.6,49.1,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-05,2011,1,5,5,0.8,24,-8.4,24,1006.6,24,5.7,24,16.1,24,5,24,9.8,13.9,3.9,NA,-3.9,NA,0,G,NA,0,0,0,0,0,0,0.3,0.6,50.2,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-06,2011,1,6,6,-2,24,-12.4,24,1006.1,24,5.2,24,16.1,24,3.5,24,6.2,8.8,3.9,NA,-4.4,NA,0,G,NA,0,0,0,0,0,0,0.2,0.5,44.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-07,2011,1,7,7,-2.6,24,-8.7,24,1001.1,23,0,24,15.6,24,3.4,24,6.2,NA,1.7,NA,-5.6,NA,0,G,NA,1,0,0,0,NA,NA,0.3,0.5,62.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-08,2011,1,8,8,-1.1,24,-3.3,24,996.7,12,995.7,24,9.7,24,4.6,24,7.2,NA,1.7,NA,-5,NA,0.51,G,NA,1,0,1,0,0,0,0.5,0.6,85,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-09,2011,1,9,9,-0.5,24,-6.1,24,999.7,22,998,24,13.7,24,7,24,9.3,13.4,1.7,NA,-2.2,NA,2.79,G,NA,1,0,1,0,0,0,0.4,0.6,65.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-10,2011,1,10,10,-2.4,24,-10.7,24,1014.3,24,13.3,24,16.1,24,7.5,24,9.8,13.4,1.7,NA,-5,NA,3.3,G,NA,0,0,0,0,0,0,0.3,0.5,52.9,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-11,2011,1,11,11,-3.3,24,-9.7,24,1022,24,21,24,16.1,24,4,24,8.2,10.3,1.7,NA,-6.1,NA,0,G,NA,0,0,0,0,0,0,0.3,0.5,61.3,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-12,2011,1,12,12,-0.7,24,-2.6,24,999.7,11,0.5,24,5.6,24,9.1,24,15.4,19,2,*,-2.2,*,7.37,G,NA,1,0,1,0,0,0,0.5,0.6,87,3.3
725090-14739,GEN E L LOGAN INTERNATIONAL AIRPORT,US,UNITED STATES,US,USA,MA,42.361,-71.01,3.2,19431121,20241112,2011-01-13,2011,1,13,13,-1.7,24,-7.9,24,1009.2,24,8.3,24,14.8,24,8.3,24,10.3,14.9,1.1,NA,-3.9,NA,2.79,G,NA,1,0,0,0,NA,NA,0.3,0.5,62.6,3.3
