Year,Month,Precip_inches,state_cd
2015,1,4.03,MA
2015,2,2.99,MA
2015,3,2.84,MA
2015,4,2.55,MA
2015,5,0.96,MA
2015,6,6.57,MA
2015,7,3.15,MA
2015,8,2.95,MA
2015,9,4.19,MA
2015,10,3.86,MA
2015,11,2.48,MA
2015,12,4.82,MA
2016,1,2.48,MA
2016,2,4.69,MA
2016,3,3.04,MA
2016,4,2.94,MA
2016,5,2.98,MA
2016,6,1.77,MA
2016,7,2.27,MA
2016,8,3.18,MA
2016,9,2.36,MA
2016,10,4.91,MA
2016,11,2.58,MA
2016,12,3.63,MA
2017,1,4.03,MA
2017,2,2.68,MA
2017,3,3.21,MA
2017,4,5.51,MA
2017,5,5.78,MA
2017,6,4.45,MA
2017,7,3.47,MA
2017,8,2.89,MA
2017,9,3.42,MA
2017,10,6.94,MA
2017,11,1.82,MA
2017,12,2.62,MA
