Year,Month,Precip_inches,state_cd
2015,1,2.34,NY
2015,2,2,NY
2015,3,1.61,NY
2015,4,3.02,NY
2015,5,2.75,NY
2015,6,7.69,NY
2015,7,3.6,NY
2015,8,3.07,NY
2015,9,4.75,NY
2015,10,3.7,NY
2015,11,2.05,NY
2015,12,4.06,NY
2016,1,1.73,NY
2016,2,4.36,NY
2016,3,2.13,NY
2016,4,2.56,NY
2016,5,2.53,NY
2016,6,2.87,NY
2016,7,3.4,NY
2016,8,4.54,NY
2016,9,2.49,NY
2016,10,5.43,NY
2016,11,2.66,NY
2016,12,3.47,NY
2017,1,3.4,NY
2017,2,3,NY
2017,3,3.44,NY
2017,4,4.85,NY
2017,5,5.85,NY
2017,6,4.85,NY
2017,7,5.24,NY
2017,8,3.46,NY
2017,9,2.42,NY
2017,10,5.55,NY
2017,11,2.76,NY
2017,12,2.56,NY
