C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Pb
C-328965,96,AL,31.3146,-87.1166,02/18/09,Planted/Cultivated,Pasture/Hay,50-100,14
C-328951,208,AL,33.8523,-86.9041,02/26/09,Developed,Low Intensity Residential,60-100,9.9
C-328952,288,AL,31.2179,-85.8788,02/18/09,Planted/Cultivated,Fallow,30-100,12.6
C-328842,656,AL,33.0992,-86.9976,02/23/09,Forested Upland,Evergreen Forest,60-100,13.7
C-328880,912,AL,34.5501,-87.6779,02/25/09,Developed,Low Intensity Residential,60-70,17
C-328837,1232,AL,34.3577,-87.313,02/26/09,Forested Upland,Deciduous Forest,60-100,10.5
C-328896,1312,AL,31.0634,-85.6928,02/19/09,Planted/Cultivated,Fallow,25-100,10.6
C-328841,1488,AL,34.2848,-85.6099,02/24/09,Forested Upland,Mixed Forest,50-100,15.9
C-329009,1680,AL,32.7952,-86.9501,02/23/09,Forested Upland,Evergreen Forest,60-100,18
C-328881,1824,AL,31.7278,-87.1307,02/20/09,Developed,Low Intensity Residential,60-100,13.5
C-329012,2144,AL,30.4554,-87.5496,02/17/09,Developed,Low Intensity Residential,70-100,9.3
C-328958,2336,AL,32.1407,-85.5465,02/19/09,Planted/Cultivated,Fallow,70-100,15.1
C-329021,2704,AL,32.9905,-86.651,02/23/09,Forested Upland,Mixed Forest,30-60,15
C-328823,2768,AL,32.5952,-85.5658,02/20/09,Planted/Cultivated,Pasture/Hay,80-100,25.4
C-328950,2848,AL,32.392,-87.4686,02/21/09,Developed,Low Intensity Residential,70-100,23.6
C-329013,2960,AL,34.0736,-87.9234,02/25/09,Forested Upland,Deciduous Forest,60-100,9.9
C-328821,3052,AL,34.9852,-87.5194,02/25/09,Planted/Cultivated,Pasture/Hay,30-100,16.1
C-329008,3168,AL,31.3746,-88.0048,02/17/09,Developed,Low Intensity Residential,60-100,14.4
C-328848,3472,AL,33.3123,-87.8587,02/21/09,Planted/Cultivated,Pasture/Hay,50-75,6.1
C-329011,3536,AL,33.6629,-85.66,02/24/09,Planted/Cultivated,Fallow,80-100,19.9
C-328963,3616,AL,30.8919,-88.0869,02/17/09,Developed,Low Intensity Residential,85-100,2.9
C-328843,3728,AL,32.6467,-86.5986,02/23/09,Planted/Cultivated,Pasture/Hay,60-100,5.2
C-328889,3792,AL,33.0284,-85.6592,02/23/09,Developed,Low Intensity Residential,60-100,21.3
C-328852,3872,AL,31.9654,-87.0744,02/20/09,Planted/Cultivated,Pasture/Hay,60-100,13
C-328854,3984,AL,34.5247,-86.4085,02/24/09,Planted/Cultivated,Pasture/Hay,70-100,13.2
C-328894,4192,AL,31.0277,-87.061,02/18/09,Developed,Low Intensity Residential,20-100,13.3
C-328883,4304,AL,34.0374,-87.2118,02/26/09,Forested Upland,Evergreen Forest,50-100,3.6
C-328844,4384,AL,31.4932,-86.1309,02/18/09,Planted/Cultivated,Pasture/Hay,60-100,9.1
C-328855,4752,AL,33.491,-87.5339,02/26/09,Planted/Cultivated,Fallow,75-100,20.9
C-328832,4816,AL,32.8294,-86.1011,02/23/09,Developed,Low Intensity Residential,5-100,18.7
C-328845,5008,AL,34.3422,-87.9365,02/25/09,Developed,Low Intensity Residential,30-50,14.7
C-328959,5328,AL,34.3654,-87.0215,02/26/09,Planted/Cultivated,Pasture/Hay,60-100,39.4
C-328961,5408,AL,32.0066,-85.1349,02/19/09,Developed,Low Intensity Residential,60-100,5.4
C-328899,5472,AL,32.4912,-87.8568,02/21/09,Developed,Low Intensity Residential,60-100,30.5
C-328887,5520,AL,33.2135,-88.2789,02/21/09,Planted/Cultivated,Urban/Recreational Grasses,50-100,10.8
