Top5_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,Top5_Depth,Top5_Pb
C-328818,96,AL,31.3146,-87.1166,02/18/09,Planted/Cultivated,Pasture/Hay,0-5,6.8
C-328804,208,AL,33.8523,-86.9041,02/26/09,Developed,Low Intensity Residential,0-5,10.3
C-328805,288,AL,31.2179,-85.8788,02/18/09,Planted/Cultivated,Fallow,0-5,6.8
C-328864,656,AL,33.0992,-86.9976,02/23/09,Forested Upland,Evergreen Forest,0-5,12.6
C-328777,912,AL,34.5501,-87.6779,02/25/09,Developed,Low Intensity Residential,0-5,15.4
C-328859,1232,AL,34.3577,-87.313,02/26/09,Forested Upland,Deciduous Forest,0-5,15.5
C-328793,1312,AL,31.0634,-85.6928,02/19/09,Planted/Cultivated,Fallow,0-5,11.4
C-328863,1488,AL,34.2848,-85.6099,02/24/09,Forested Upland,Mixed Forest,0-5,24.9
C-329053,1680,AL,32.7952,-86.9501,02/23/09,Forested Upland,Evergreen Forest,0-5,11.6
C-328778,1824,AL,31.7278,-87.1307,02/20/09,Developed,Low Intensity Residential,0-5,18.7
C-329056,2144,AL,30.4554,-87.5496,02/17/09,Developed,Low Intensity Residential,0-5,16.4
C-328811,2336,AL,32.1407,-85.5465,02/19/09,Planted/Cultivated,Fallow,0-5,7
C-329065,2704,AL,32.9905,-86.651,02/23/09,Forested Upland,Mixed Forest,0-5,23.9
C-328992,2768,AL,32.5952,-85.5658,02/20/09,Planted/Cultivated,Pasture/Hay,0-5,12.4
C-328803,2848,AL,32.392,-87.4686,02/21/09,Developed,Low Intensity Residential,0-5,30.6
C-329057,2960,AL,34.0736,-87.9234,02/25/09,Forested Upland,Deciduous Forest,0-5,10.4
C-328990,3052,AL,34.9852,-87.5194,02/25/09,Planted/Cultivated,Pasture/Hay,0-5,21.1
C-329052,3168,AL,31.3746,-88.0048,02/17/09,Developed,Low Intensity Residential,0-5,15.9
C-328870,3472,AL,33.3123,-87.8587,02/21/09,Planted/Cultivated,Pasture/Hay,0-5,7.2
C-329055,3536,AL,33.6629,-85.66,02/24/09,Planted/Cultivated,Fallow,0-5,31.8
C-328816,3616,AL,30.8919,-88.0869,02/17/09,Developed,Low Intensity Residential,0-5,5.5
C-328865,3728,AL,32.6467,-86.5986,02/23/09,Planted/Cultivated,Pasture/Hay,0-5,7.4
C-328786,3792,AL,33.0284,-85.6592,02/23/09,Developed,Low Intensity Residential,0-5,13.5
C-328874,3872,AL,31.9654,-87.0744,02/20/09,Planted/Cultivated,Pasture/Hay,0-5,21.3
C-328876,3984,AL,34.5247,-86.4085,02/24/09,Planted/Cultivated,Pasture/Hay,0-5,13.4
C-328791,4192,AL,31.0277,-87.061,02/18/09,Developed,Low Intensity Residential,0-5,6.5
C-328780,4304,AL,34.0374,-87.2118,02/26/09,Forested Upland,Evergreen Forest,0-5,10.1
C-328866,4384,AL,31.4932,-86.1309,02/18/09,Planted/Cultivated,Pasture/Hay,0-5,9.9
C-328877,4752,AL,33.491,-87.5339,02/26/09,Planted/Cultivated,Fallow,0-5,12.1
C-329001,4816,AL,32.8294,-86.1011,02/23/09,Developed,Low Intensity Residential,0-5,17.1
C-328867,5008,AL,34.3422,-87.9365,02/25/09,Developed,Low Intensity Residential,0-5,8.7
C-328812,5328,AL,34.3654,-87.0215,02/26/09,Planted/Cultivated,Pasture/Hay,0-5,39.3
C-328814,5408,AL,32.0066,-85.1349,02/19/09,Developed,Low Intensity Residential,0-5,6
C-328796,5472,AL,32.4912,-87.8568,02/21/09,Developed,Low Intensity Residential,0-5,24.2
C-328784,5520,AL,33.2135,-88.2789,02/21/09,Planted/Cultivated,Urban/Recreational Grasses,0-5,10.3
C-328993,5776,AL,32.9087,-87.3015,02/21/09,Forested Upland,Mixed Forest,0-5,9
C-329066,5920,AL,31.44,-87.273,02/18/09,Planted/Cultivated,Pasture/Hay,0-5,10.5
C-328807,6240,AL,30.6595,-87.7096,02/17/09,Developed,Low Intensity Residential,0-5,10.2
C-329062,6432,AL,32.1404,-85.8959,02/20/09,Planted/Cultivated,Pasture/Hay,0-5,11.9
C-329058,6544,AL,33.0422,-87.5904,02/21/09,Planted/Cultivated,Pasture/Hay,0-5,7.9
C-329061,6688,AL,30.6134,-88.2555,02/17/09,Developed,Low Intensity Residential,0-5,5.5
C-328785,6800,AL,32.8959,-86.3391,02/23/09,Forested Upland,Evergreen Forest,0-5,13.3
C-328792,6864,AL,32.5015,-85.1717,02/19/09,Developed,Low Intensity Residential,0-5,5.4
C-328790,6944,AL,31.9466,-87.2578,02/20/09,Developed,Low Intensity Residential,0-5,11.8
