Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1961","1961","ha","16079","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1962","1962","ha","12000","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1963","1963","ha","17500","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1964","1964","ha","18200","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1965","1965","ha","19106","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1966","1966","ha","20600","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1967","1967","ha","20030","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1968","1968","ha","26450","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1969","1969","ha","23100","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1970","1970","ha","23100","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1971","1971","ha","15240","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1972","1972","ha","15230","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1973","1973","ha","15000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1974","1974","ha","15000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1975","1975","ha","14000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1976","1976","ha","15000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1977","1977","ha","16000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1978","1978","ha","14000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1979","1979","ha","10000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1980","1980","ha","12000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1981","1981","ha","13000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1982","1982","ha","14000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1983","1983","ha","15000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1984","1984","ha","16000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1985","1985","ha","18000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1986","1986","ha","19000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1987","1987","ha","19000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1988","1988","ha","19000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1989","1989","ha","20000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1990","1990","ha","21000","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","1991","1991","ha","22000","E","Estimated value"
