This is my header,
Header notes,
More header notes,
Even more header notes,
Year,CO2_ppm
1959.038356,315.62
1959.123288,316.38
1959.2,316.71
1959.284932,317.72
1959.367123,318.29
1959.452055,318.15
1959.534247,316.54
1959.619178,314.8
1959.70411,313.84
1959.786301,313.26
1959.871233,314.8
1959.953425,315.58
1960.038251,316.43
1960.122951,316.97
1960.202186,317.58
1960.286885,319.02
1960.368852,320.03
1960.453552,319.59
1960.535519,318.18
1960.620219,315.91
1960.704918,314.16
1960.786885,313.83
1960.871585,315
1960.953552,316.19
1961.038356,316.93
1961.123288,317.7
1961.2,318.54
1961.284932,319.48
1961.367123,320.58
1961.452055,319.77
1961.534247,318.57
1961.619178,316.79
1961.70411,314.8
1961.786301,315.38
1961.871233,316.1
1961.953425,317.01
1962.038356,317.94
1962.123288,318.56
1962.2,319.68
1962.284932,320.63
1962.367123,321.01
1962.452055,320.55
1962.534247,319.58
1962.619178,317.4
1962.70411,316.26
1962.786301,315.42
1962.871233,316.69
1962.953425,317.69
1963.038356,318.74
1963.123288,319.08
1963.2,319.86
1963.284932,321.39
1963.367123,322.25
1963.452055,321.47
1963.534247,319.74
1963.619178,317.77
1963.70411,316.21
1963.786301,315.99
1963.871233,317.12
1963.953425,318.31
1964.038251,319.57
1964.122951,320.07
1964.202186,320.73
1964.286885,321.77
1964.368852,322.25
1964.453552,321.89
1964.535519,320.44
1964.620219,318.7
1964.704918,316.7
1964.786885,316.79
1964.871585,317.79
1964.953552,318.71
1965.038356,319.44
1965.123288,320.44
1965.2,320.89
1965.284932,322.13
1965.367123,322.16
1965.452055,321.87
1965.534247,321.39
1965.619178,318.81
1965.70411,317.81
1965.786301,317.3
1965.871233,318.87
1965.953425,319.42
1966.038356,320.62
1966.123288,321.59
1966.2,322.39
1966.284932,323.87
1966.367123,324.01
1966.452055,323.75
1966.534247,322.39
1966.619178,320.37
1966.70411,318.64
1966.786301,318.1
1966.871233,319.79
1966.953425,321.08
1967.038356,322.07
1967.123288,322.5
1967.2,323.04
1967.284932,324.42
1967.367123,325
1967.452055,324.09
1967.534247,322.55
1967.619178,320.92
1967.70411,319.31
1967.786301,319.31
1967.871233,320.72
1967.953425,321.96
1968.038251,322.57
1968.122951,323.15
1968.202186,323.89
1968.286885,325.02
1968.368852,325.57
1968.453552,325.36
1968.535519,324.14
1968.620219,322.03
1968.704918,320.41
1968.786885,320.25
1968.871585,321.31
1968.953552,322.84
1969.038356,324
1969.123288,324.42
1969.2,325.64
1969.284932,326.66
1969.367123,327.34
1969.452055,326.76
1969.534247,325.88
1969.619178,323.67
1969.70411,322.38
1969.786301,321.78
1969.871233,322.85
1969.953425,324.11
1970.038356,325.03
1970.123288,325.99
1970.2,326.87
1970.284932,328.13
1970.367123,328.07
1970.452055,327.66
1970.534247,326.35
1970.619178,324.69
1970.70411,323.1
1970.786301,323.16
1970.871233,323.98
1970.953425,325.13
1971.038356,326.17
1971.123288,326.68
1971.2,327.18
1971.284932,327.78
1971.367123,328.92
1971.452055,328.57
1971.534247,327.34
1971.619178,325.46
1971.70411,323.36
1971.786301,323.57
1971.871233,324.8
1971.953425,326.01
1972.038251,326.77
1972.122951,327.63
1972.202186,327.75
1972.286885,329.72
1972.368852,330.07
1972.453552,329.09
1972.535519,328.05
1972.620219,326.32
1972.704918,324.93
1972.786885,325.06
1972.871585,326.5
1972.953552,327.55
1973.038356,328.54
1973.123288,329.56
1973.2,330.3
1973.284932,331.5
1973.367123,332.48
1973.452055,332.07
1973.534247,330.87
1973.619178,329.31
1973.70411,327.51
1973.786301,327.18
1973.871233,328.16
1973.953425,328.64
1974.038356,329.35
1974.123288,330.71
1974.2,331.48
1974.284932,332.65
1974.367123,333.19
1974.452055,332.12
1974.534247,330.99
1974.619178,329.17
1974.70411,327.41
1974.786301,327.21
1974.871233,328.34
1974.953425,329.5
1975.038356,330.68
1975.123288,331.41
1975.2,331.85
1975.284932,333.29
1975.367123,333.91
1975.452055,333.4
1975.534247,331.74
1975.619178,329.88
1975.70411,328.57
1975.786301,328.36
1975.871233,329.33
1975.953425,330.59
1976.038251,331.66
1976.122951,332.75
1976.202186,333.46
1976.286885,334.78
1976.368852,334.78
1976.453552,334.06
1976.535519,332.95
1976.620219,330.64
1976.704918,328.96
1976.786885,328.77
1976.871585,330.18
1976.953552,331.65
1977.038356,332.69
1977.123288,333.23
1977.2,334.97
1977.284932,336.03
1977.367123,336.82
1977.452055,336.1
1977.534247,334.79
1977.619178,332.53
1977.70411,331.19
1977.786301,331.21
1977.871233,332.35
1977.953425,333.47
1978.038356,335.1
1978.123288,335.26
1978.2,336.61
1978.284932,337.77
1978.367123,338.01
1978.452055,337.98
1978.534247,336.48
1978.619178,334.37
1978.70411,332.33
1978.786301,332.41
1978.871233,333.76
1978.953425,334.83
1979.038356,336.21
1979.123288,336.65
1979.2,338.13
1979.284932,338.94
1979.367123,339
1979.452055,339.2
1979.534247,337.6
1979.619178,335.56
1979.70411,333.93
1979.786301,334.12
1979.871233,335.26
1979.953425,336.78
1980.038251,337.8
1980.122951,338.28
1980.202186,340.04
1980.286885,340.86
1980.368852,341.47
1980.453552,341.26
1980.535519,339.34
1980.620219,337.45
1980.704918,336.1
1980.786885,336.05
1980.871585,337.21
1980.953552,338.29
1981.038356,339.36
1981.123288,340.51
1981.2,341.57
1981.284932,342.56
1981.367123,343.01
1981.452055,342.49
1981.534247,340.68
1981.619178,338.49
1981.70411,336.92
1981.786301,337.12
1981.871233,338.59
1981.953425,339.9
1982.038356,340.92
1982.123288,341.69
1982.2,342.85
1982.284932,343.92
1982.367123,344.67
1982.452055,343.78
1982.534247,342.23
1982.619178,340.11
1982.70411,338.32
1982.786301,338.39
1982.871233,339.48
1982.953425,340.88
1983.038356,341.64
1983.123288,342.87
1983.2,343.59
1983.284932,345.25
1983.367123,345.96
1983.452055,345.52
1983.534247,344.15
1983.619178,342.25
1983.70411,340.17
1983.786301,340.3
1983.871233,341.53
1983.953425,343.07
1984.038251,344.05
1984.122951,344.77
1984.202186,345.46
1984.286885,346.77
1984.368852,347.55
1984.453552,346.98
1984.535519,345.55
1984.620219,343.2
1984.704918,341.35
1984.786885,341.68
1984.871585,343.06
1984.953552,344.54
1985.038356,345.25
1985.123288,346.06
1985.2,347.66
1985.284932,348.2
1985.367123,348.92
1985.452055,348.4
1985.534247,346.66
1985.619178,344.85
1985.70411,343.2
1985.786301,343.08
1985.871233,344.4
1985.953425,345.82
1986.038356,346.54
1986.123288,347.13
1986.2,348.05
1986.284932,349.77
1986.367123,350.53
1986.452055,349.9
1986.534247,348.11
1986.619178,346.09
1986.70411,345.01
1986.786301,344.47
1986.871233,345.86
1986.953425,347.15
1987.038356,348.38
1987.123288,348.7
1987.2,349.72
1987.284932,351.32
1987.367123,352.14
1987.452055,351.61
1987.534247,349.91
1987.619178,347.84
1987.70411,346.52
1987.786301,346.65
1987.871233,347.96
1987.953425,349.18
1988.038251,350.38
1988.122951,351.68
1988.202186,352.24
1988.286885,353.66
1988.368852,354.18
1988.453552,353.68
1988.535519,352.58
1988.620219,350.66
1988.704918,349.03
1988.786885,349.08
1988.871585,350.15
1988.953552,351.44
1989.038356,352.89
1989.123288,353.24
1989.2,353.8
1989.284932,355.59
1989.367123,355.89
1989.452055,355.3
1989.534247,353.98
1989.619178,351.53
1989.70411,350.02
1989.786301,350.29
1989.871233,351.44
1989.953425,352.84
1990.038356,353.79
1990.123288,354.88
1990.2,355.65
1990.284932,356.28
1990.367123,357.29
1990.452055,356.32
1990.534247,354.88
1990.619178,352.89
1990.70411,351.28
1990.786301,351.59
1990.871233,353.05
1990.953425,354.27
1991.038356,354.87
1991.123288,355.68
1991.2,357.06
1991.284932,358.51
1991.367123,359.09
1991.452055,358.1
1991.534247,356.12
1991.619178,353.89
1991.70411,352.3
1991.786301,352.32
1991.871233,353.79
1991.953425,355.07
1992.038251,356.17
1992.122951,356.93
1992.202186,357.82
1992.286885,359
1992.368852,359.55
1992.453552,359.32
1992.535519,356.85
1992.620219,354.91
1992.704918,352.93
1992.786885,353.31
1992.871585,354.27
1992.953552,355.53
1993.038356,356.86
1993.123288,357.27
1993.2,358.36
1993.284932,359.27
1993.367123,360.19
1993.452055,359.52
1993.534247,357.42
1993.619178,355.46
1993.70411,354.1
1993.786301,354.12
1993.871233,355.4
1993.953425,356.84
1994.038356,358.22
1994.123288,358.98
1994.2,359.91
1994.284932,361.32
1994.367123,361.68
1994.452055,360.8
1994.534247,359.39
1994.619178,357.42
1994.70411,355.63
1994.786301,356.09
1994.871233,357.56
1994.953425,358.87
1995.038356,359.87
1995.123288,360.79
1995.2,361.77
1995.284932,363.23
1995.367123,363.77
1995.452055,363.22
1995.534247,361.7
1995.619178,359.11
1995.70411,358.11
1995.786301,357.97
1995.871233,359.4
1995.953425,360.61
1996.038251,362.04
1996.122951,363.17
1996.202186,364.17
1996.286885,364.51
1996.368852,365.16
1996.453552,364.93
1996.535519,363.53
1996.620219,361.38
1996.704918,359.6
1996.786885,359.54
1996.871585,360.84
1996.953552,362.18
1997.038356,363.04
1997.123288,364.09
1997.2,364.47
1997.284932,366.25
1997.367123,366.69
1997.452055,365.59
1997.534247,364.34
1997.619178,362.2
1997.70411,360.31
1997.786301,360.71
1997.871233,362.44
1997.953425,364.33
1998.038356,365.18
1998.123288,365.98
1998.2,367.13
1998.284932,368.61
1998.367123,369.49
1998.452055,368.95
1998.534247,367.74
1998.619178,365.79
1998.70411,364.01
1998.786301,364.35
1998.871233,365.52
1998.953425,367.08
1999.038356,368.12
1999.123288,368.98
1999.2,369.6
1999.284932,370.96
1999.367123,370.77
1999.452055,370.33
1999.534247,369.28
1999.619178,366.86
1999.70411,364.94
1999.786301,365.35
1999.871233,366.68
1999.953425,368.04
2000.038251,369.25
2000.122951,369.5
2000.202186,370.56
2000.286885,371.82
2000.368852,371.51
2000.453552,371.71
2000.535519,369.85
2000.620219,368.2
2000.704918,366.91
2000.786885,366.99
2000.871585,368.33
2000.953552,369.67
2001.038356,370.52
2001.123288,371.49
2001.2,372.53
2001.284932,373.37
2001.367123,373.82
2001.452055,373.18
2001.534247,371.57
2001.619178,369.63
2001.70411,368.16
2001.786301,368.42
2001.871233,369.69
2001.953425,371.18
2002.038356,372.45
2002.123288,373.14
2002.2,373.93
2002.284932,375
2002.367123,375.65
2002.452055,375.5
2002.534247,374
2002.619178,371.83
2002.70411,370.66
2002.786301,370.51
2002.871233,372.2
2002.953425,373.71
2003.038356,374.87
2003.123288,375.62
2003.2,376.48
2003.284932,377.74
2003.367123,378.5
2003.452055,378.18
2003.534247,376.72
2003.619178,374.31
2003.70411,373.2
2003.786301,373.1
2003.871233,374.64
2003.953425,375.93
2004.038251,377
2004.122951,377.87
2004.202186,378.73
2004.286885,380.41
2004.368852,380.63
2004.453552,379.56
2004.535519,377.61
2004.620219,376.15
2004.704918,374.11
2004.786885,374.44
2004.871585,375.93
2004.953552,377.45
2005.038356,378.47
2005.123288,379.76
2005.2,381.14
2005.284932,382.2
2005.367123,382.47
2005.452055,382.2
2005.534247,380.78
2005.619178,378.73
2005.70411,376.66
2005.786301,376.98
2005.871233,378.29
2005.953425,379.92
2006.038356,381.35
2006.123288,382.16
2006.2,382.66
2006.284932,384.73
2006.367123,384.98
2006.452055,384.09
2006.534247,382.38
2006.619178,380.45
2006.70411,378.92
2006.786301,379.16
2006.871233,380.18
2006.953425,381.79
2007.038356,382.93
2007.123288,383.81
2007.2,384.56
2007.284932,386.4
2007.367123,386.58
2007.452055,386.05
2007.534247,384.49
2007.619178,382
2007.70411,380.9
2007.786301,381.14
2007.871233,382.42
2007.953425,383.89
2008.038251,385.44
2008.122951,385.73
2008.202186,385.97
2008.286885,387.16
2008.368852,388.5
2008.453552,387.88
2008.535519,386.42
2008.620219,384.15
2008.704918,383.09
2008.786885,382.99
2008.871585,384.13
2008.953552,385.56
2009.038356,386.94
2009.123288,387.42
2009.2,388.77
2009.284932,389.44
2009.367123,390.19
2009.452055,389.45
2009.534247,387.78
2009.619178,385.92
2009.70411,384.79
2009.786301,384.39
2009.871233,386
2009.953425,387.31
2010.038356,388.5
2010.123288,389.94
2010.2,391.09
2010.284932,392.52
2010.367123,393.04
2010.452055,392.15
2010.534247,390.22
2010.619178,388.26
2010.70411,386.83
2010.786301,387.2
2010.871233,388.65
2010.953425,389.73
2011.038356,391.25
2011.123288,391.82
2011.2,392.49
2011.284932,393.34
2011.367123,394.21
2011.452055,393.72
2011.534247,392.42
2011.619178,390.19
2011.70411,389.04
2011.786301,388.96
2011.871233,390.24
2011.953425,391.83
2012.038251,393.12
2012.122951,393.6
2012.202186,394.45
2012.286885,396.18
2012.368852,396.78
2012.453552,395.83
2012.535519,394.3
2012.620219,392.41
2012.704918,391.06
2012.786885,391.01
2012.871585,392.81
2012.953552,394.28
2013.038356,395.54
2013.123288,396.8
2013.2,397.31
2013.284932,398.35
2013.367123,399.76
2013.452055,398.58
2013.534247,397.2
2013.619178,395.15
2013.70411,393.51
2013.786301,393.66
2013.871233,395.11
2013.953425,396.81
2014.038356,397.8
2014.123288,397.91
2014.2,399.59
2014.284932,401.27
2014.367123,401.83
2014.452055,401.15
2014.534247,399
2014.619178,397.01
2014.70411,395.28
2014.786301,395.93
2014.871233,397.13
